project_id,product_name,final_object_type,route,required_source_roles,observed_source_roles,prior_binding_missing_roles,application_assigned_roles,unassigned_source_roles,prior_binding_role_coverage_ratio,application_role_coverage_ratio,source_count,strong_source_examples,source_utilization_status,source_application_priority,distinctive_component_to_bolster,how_sources_should_bolster_project,claim_boundary,next_source_application_step
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source governance or packet-routing system,master_bundle,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | technical mechanism | adversarial model,method authority | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.286,1.0,3,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: 72-month master plan + Russian-language 12-month CSV + SF-86 prep,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-aigov-nav,AI Governance Navigator,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority,technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.167,1.0,1,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: AI Governance Navigator,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-aiintel-cycle,AI Intelligence Cycle,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority,technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.167,1.0,1,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006),application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: AI Intelligence Cycle,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-aiknowledge-prod,AI Knowledge Production,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority,technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.167,1.0,1,DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: AI Knowledge Production,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-aiprompt-eng,AI Prompt Engineering,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority,technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.167,1.0,1,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: AI Prompt Engineering,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-aishared-instruments,AI Shared Instruments,source governance or packet-routing system,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority,technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.143,1.0,1,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: AI Shared Instruments,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,application-complete but close-read or bibliographic verification remains,high,Structured-analytic technique replay: AR-SAT Room,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,research workflow software module,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,,0.333,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Actual code patch: 170 KB unified diff + changed files,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,research workflow software module,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,,0.333,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",research workflow software module,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,,0.333,1.0,2,Atlas of World Architecture Markus Sebastian Braun (2),application-complete but close-read or bibliographic verification remains,high,"Room instrument transition proof: Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7...","Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-analyst-assurance-desk,Analyst Assurance Desk,analytic method or human-AI evaluation module,analyst_assurance,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority,technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,,0.167,1.0,1,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Analyst Assurance Desk,"Use sources to test human-in-the-loop analytic value: structured technique selection, evidence weighting, confidence change, AI-output correction, residual disagreement, and release recommendation.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Annealed Refraction Chamber,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software module,nexus,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,domain grounding | technical mechanism | counter-source or limitation | close-read requirement,method authority | evaluation standard | source-to-output bridge,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.5,1.0,4,Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: Applied History - lab for using historical case study to inform conte...,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,"This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-applied-history-lab,Applied History Lab,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.333,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: Applied History Lab,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,The Nutritional Hierarchy of Importance Nutrient Timing PDOC,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-berlin,Berlin Occupation Zones and Refugee Crisis,retrieval or evidence-evaluation platform,poison_rag,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation,method authority | source-to-output bridge | close-read requirement,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.571,1.0,4,"Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC | Disinformation and Counternarratives in International Security Cognitive Competition Gustavo Díaz Matey, Pablo Moral | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy",application-complete but close-read or bibliographic verification remains,high,Adversarial retrieval replay demonstrator,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority,technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.2,1.0,1,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Bias Atlas,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Briefing-to-release proof: Briefing Forge,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.333,1.0,3,,application-complete but close-read or bibliographic verification remains,high,Briefing-to-release proof: Briefing Forge Room (code-ready),"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,source governance or packet-routing system,master_bundle,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | technical mechanism | counter-source or limitation | close-read requirement,method authority | adversarial model | evaluation standard | source-to-output bridge,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: CARE framework gray-zone counter-strategy + red-team critique,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority,technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.2,1.0,1,,application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: CI Tradecraft Chamber,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),analytic method or human-AI evaluation module,master_bundle,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,,0.2,1.0,1,,application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: CI red-cell methods reference architecture (post-integrity-correction...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority,technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.167,1.0,1,,application-complete but close-read or bibliographic verification remains,high,Structured-analytic technique replay: CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLU...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
