project_id,product_name,source_candidate,priority,required_close_read_output,blocked_claim_type
native-russia-history-room,Russia Historical Context Room,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
native-russia-security-desk,Russia Security Desk,Deception Counterdeception and Counterintelligence Robert M. Clark et al,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
native-russia-security-desk,Russia Security Desk,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",Atlas of World Architecture Markus Sebastian Braun (2),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
native-berlin,Berlin Occupation Zones and Refugee Crisis,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
native-berlin,Berlin Occupation Zones and Refugee Crisis,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
native-berlin,Berlin Occupation Zones and Refugee Crisis,"Disinformation and Counternarratives in International Security Cognitive Competition Gustavo Díaz Matey, Pablo Moral",normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
native-berlin,Berlin Occupation Zones and Refugee Crisis,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-chamber-of-record-handoff,Chamber of Record,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-chamber-of-record-handoff,Chamber of Record,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-chamber-handoff,Chamber of Refractions,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-chamber-handoff,Chamber of Refractions,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-codex-prism-handoff-v1,Codex Prism,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-codex-prism-handoff-v1,Codex Prism,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
native-africa,Colonial Encounter in Africa,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,Deception Counterdeception and Counterintelligence Robert M. Clark et al,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),The Oxford Handbook of Governance and Limited Statehood Thomas Risse et al,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-os-handoff-2026,Doctrine Forge Codex,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-os-handoff-2026,Doctrine Forge Codex,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
native-east-asia,East Asian War and Strategic Tradition,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,Documents on the Rape of Nanking Timothy Brook,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,A Tradecraft Primer Structured Analytic Techniques (2),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-os-glass-station-handoff,Glass Station,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-os-glass-station-handoff,Glass Station,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,Documents on the Rape of Nanking Timothy Brook PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
mb-muranoos-red-team-lab-handoff-package-2026-04-17,"Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore""",043 Historical Documents Harvard Classics PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
