project_id,product_name,role,role_plain_name,role_status,source_candidate_to_apply,source_assignment_status,application_rule,project_specific_application,output_it_must_change,test_or_check_it_must_govern,claim_ceiling,next_artifact_to_create,public_claim_allowed_now
analytical-methods,Structured Analytic Technique Studio,method authority,Method authority,observed,Pherso Counterintelligence Structured Analytic Techniques,observed_project_binding,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use Pherso Counterintelligence Structured Analytic Techniques as method authority for Structured Analytic Technique Studio: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is method-composition builder.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methods,Structured Analytic Technique Studio,technical mechanism,Technical mechanism,missing - assigned as next application need,Deception: Counterdeception and Counterintelligence,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use Deception: Counterdeception and Counterintelligence as technical mechanism for Structured Analytic Technique Studio: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Structured-analytic technique replay: Structured Analytic Technique Studio.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methods,Structured Analytic Technique Studio,adversarial model,Adversarial model,missing - assigned as next application need,Critical Thinking Skills,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.","Use Critical Thinking Skills as adversarial model for Structured Analytic Technique Studio: Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure. The immediate application target is Structured-analytic technique replay: Structured Analytic Technique Studio.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methods,Structured Analytic Technique Studio,evaluation standard,Evaluation standard,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Pherso Counterintelligence Structured Analytic Techniques as evaluation standard for Structured Analytic Technique Studio: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Structured-analytic technique replay: Structured Analytic Technique Studio.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methods,Structured Analytic Technique Studio,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use Pherso Counterintelligence Structured Analytic Techniques as counter-source or limitation for Structured Analytic Technique Studio: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Structured-analytic technique replay: Structured Analytic Technique Studio.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methods,Structured Analytic Technique Studio,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use Pherso Counterintelligence Structured Analytic Techniques as source-to-output bridge for Structured Analytic Technique Studio: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Structured-analytic technique replay: Structured Analytic Technique Studio.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
applied-history,Applied History - lab for using historical case study to inform contemporary policy,method authority,Method authority,missing - assigned as next application need,The Oxford Handbook of Political Methodology,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use The Oxford Handbook of Political Methodology as method authority for Applied History - lab for using historical case study to inform contemporary policy: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Room instrument transition proof: Applied History - lab for using historical case study to inform conte....","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
applied-history,Applied History - lab for using historical case study to inform contemporary policy,domain grounding,Domain grounding,observed,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,observed_project_binding,"Extract actor logic, historical constraint, domain vocabulary, empirical pattern, or case condition; then prevent generic page language.","Use Russia's Global Reach A Security and Statecraft Assessment 0 PDOC as domain grounding for Applied History - lab for using historical case study to inform contemporary policy: Extract actor logic, historical constraint, domain vocabulary, empirical pattern, or case condition; then prevent generic page language. The immediate application target is state model.","domain variables, case framing, project examples, terminology, or scenario fixtures",source test: metadata-routed sources require close reading before citation or quotation,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
applied-history,Applied History - lab for using historical case study to inform contemporary policy,technical mechanism,Technical mechanism,observed,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),observed_project_binding,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) as technical mechanism for Applied History - lab for using historical case study to inform contemporary policy: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is state model.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule",state-transition test: visible input changes recorded state and output,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
applied-history,Applied History - lab for using historical case study to inform contemporary policy,evaluation standard,Evaluation standard,missing - assigned as next application need,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Russia's Global Reach A Security and Statecraft Assessment 0 PDOC as evaluation standard for Applied History - lab for using historical case study to inform contemporary policy: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Room instrument transition proof: Applied History - lab for using historical case study to inform conte....","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
applied-history,Applied History - lab for using historical case study to inform contemporary policy,counter-source or limitation,Counter-source or limitation,observed,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,observed_project_binding,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC as counter-source or limitation for Applied History - lab for using historical case study to inform contemporary policy: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is state model.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",claim ceiling test: public claims cannot exceed built evidence,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
applied-history,Applied History - lab for using historical case study to inform contemporary policy,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC as source-to-output bridge for Applied History - lab for using historical case study to inform contemporary policy: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Room instrument transition proof: Applied History - lab for using historical case study to inform conte....","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method authority,Method authority,observed,A Military Atlas of the First World War Arthur S. Banks et al,observed_project_binding,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use A Military Atlas of the First World War Arthur S. Banks et al as method authority for Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is source registry.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,adversarial model,Adversarial model,missing - assigned as next application need,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.","Use Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis as adversarial model for Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman: Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure. The immediate application target is Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,evaluation standard,Evaluation standard,missing - assigned as next application need,A Military Atlas of the First World War Arthur S. Banks et al,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use A Military Atlas of the First World War Arthur S. Banks et al as evaluation standard for Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,A Military Atlas of the First World War Arthur S. Banks et al,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use A Military Atlas of the First World War Arthur S. Banks et al as counter-source or limitation for Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,A Military Atlas of the First World War Arthur S. Banks et al,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use A Military Atlas of the First World War Arthur S. Banks et al as source-to-output bridge for Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,close-read requirement,Close-read requirement,missing - assigned as next application need,Deception: Counterdeception and Counterintelligence,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.","Use Deception: Counterdeception and Counterintelligence as close-read requirement for Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman: Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed. The immediate application target is Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman.","close-read note, citation record, passage ledger, or blocked-claim release condition",No strong citation claim is released until passage-level evidence exists.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,method authority,Method authority,observed,Pherso Counterintelligence Structured Analytic Techniques,observed_project_binding,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use Pherso Counterintelligence Structured Analytic Techniques as method authority for Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is structured review.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,adversarial model,Adversarial model,missing - assigned as next application need,"Artificial Intelligence, Management and Trust",route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.","Use Artificial Intelligence, Management and Trust as adversarial model for Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption: Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure. The immediate application target is Cognitive-firewall instrument proof: Qualitative Capstone - qualitative analysis of analyst response to AI....","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,evaluation standard,Evaluation standard,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Pherso Counterintelligence Structured Analytic Techniques as evaluation standard for Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Cognitive-firewall instrument proof: Qualitative Capstone - qualitative analysis of analyst response to AI....","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use Pherso Counterintelligence Structured Analytic Techniques as counter-source or limitation for Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Cognitive-firewall instrument proof: Qualitative Capstone - qualitative analysis of analyst response to AI....","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use Pherso Counterintelligence Structured Analytic Techniques as source-to-output bridge for Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Cognitive-firewall instrument proof: Qualitative Capstone - qualitative analysis of analyst response to AI....","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
