project_id,product_name,prior_missing_role,candidate_source,source_assignment_status,why_it_matters,proof_component_to_strengthen,required_output,claim_risk_if_missing
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,source-to-output bridge,A Military Atlas of the First World War Arthur S. Banks et al,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,adversarial model,"Artificial Intelligence, Management and Trust",route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.",Cognitive-firewall instrument proof: Qualitative Capstone - qualitative analysis of analyst response to AI...,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","project may look impressive but under-supported, over-general, or untestable on this role"
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Cognitive-firewall instrument proof: Qualitative Capstone - qualitative analysis of analyst response to AI...,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Cognitive-firewall instrument proof: Qualitative Capstone - qualitative analysis of analyst response to AI...,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Cognitive-firewall instrument proof: Qualitative Capstone - qualitative analysis of analyst response to AI...,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,adversarial model,Principles of Microeconomics,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.",Cognitive-firewall instrument proof: Cognitive Firewall Instruments - authoring defensive instruments agai...,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,close-read requirement,Art and Fear,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Cognitive-firewall instrument proof: Cognitive Firewall Instruments - authoring defensive instruments agai...,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,counter-source or limitation,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Cognitive-firewall instrument proof: Cognitive Firewall Instruments - authoring defensive instruments agai...,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,evaluation standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Cognitive-firewall instrument proof: Cognitive Firewall Instruments - authoring defensive instruments agai...,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,source-to-output bridge,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Cognitive-firewall instrument proof: Cognitive Firewall Instruments - authoring defensive instruments agai...,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,technical mechanism,International Encyclopedia of Social & Behavioral Sciences,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.",Cognitive-firewall instrument proof: Cognitive Firewall Instruments - authoring defensive instruments agai...,"module contract, data contract, proof artifact, runtime trace, or failure-handling rule","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",counter-source or limitation,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Counterintelligence analytic-variable proof: Cognitive Warfare - counter-intelligence doctrine, operationalized in...","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",evaluation standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Counterintelligence analytic-variable proof: Cognitive Warfare - counter-intelligence doctrine, operationalized in...","test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",source-to-output bridge,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Counterintelligence analytic-variable proof: Cognitive Warfare - counter-intelligence doctrine, operationalized in...","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",technical mechanism,Critical Thinking Skills,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Counterintelligence analytic-variable proof: Cognitive Warfare - counter-intelligence doctrine, operationalized in...","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","project may look impressive but under-supported, over-general, or untestable on this role"
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,counter-source or limitation,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Room instrument transition proof: Critical Functions Observatory - defensive UAS / critical-infrastruct...,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,evaluation standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Room instrument transition proof: Critical Functions Observatory - defensive UAS / critical-infrastruct...,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source-to-output bridge,A Critical Companion to Beowulf Andy Orchard,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Room instrument transition proof: Critical Functions Observatory - defensive UAS / critical-infrastruct...,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,domain grounding,Historical Dictionary of Signals Intelligence,route_pack_candidate,"Extract actor logic, historical constraint, domain vocabulary, empirical pattern, or case condition; then prevent generic page language.",Counterintelligence analytic-variable proof: Decision Advantage System - operating architecture for intelligence a...,"domain variables, case framing, project examples, terminology, or scenario fixtures","project may look impressive but under-supported, over-general, or untestable on this role"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,evaluation standard,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Counterintelligence analytic-variable proof: Decision Advantage System - operating architecture for intelligence a...,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,method authority,The Handbook of Communication Skills,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.",Counterintelligence analytic-variable proof: Decision Advantage System - operating architecture for intelligence a...,"method rule, stage design, instrument behavior, or analytic procedure","project may look impressive but under-supported, over-general, or untestable on this role"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,source-to-output bridge,Deception Counterdeception and Counterintelligence Robert M. Clark et al,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Counterintelligence analytic-variable proof: Decision Advantage System - operating architecture for intelligence a...,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,adversarial model,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.",Comparative atrocity-analysis matrix: Comparative Genocide Lab - comparative analysis of mass political vio...,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","project may look impressive but under-supported, over-general, or untestable on this role"
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Comparative atrocity-analysis matrix: Comparative Genocide Lab - comparative analysis of mass political vio...,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,domain grounding,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,route_pack_candidate,"Extract actor logic, historical constraint, domain vocabulary, empirical pattern, or case condition; then prevent generic page language.",Comparative atrocity-analysis matrix: Comparative Genocide Lab - comparative analysis of mass political vio...,"domain variables, case framing, project examples, terminology, or scenario fixtures","project may look impressive but under-supported, over-general, or untestable on this role"
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Comparative atrocity-analysis matrix: Comparative Genocide Lab - comparative analysis of mass political vio...,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Comparative atrocity-analysis matrix: Comparative Genocide Lab - comparative analysis of mass political vio...,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",counter-source or limitation,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century - Germany and Beyond Thomas Mergel,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Packet promotion decision proof: Historical Studies - eleven historical and operational case studies,...","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",domain grounding,The Guatemalan Military Project: A Violence Called Democracy,route_pack_candidate,"Extract actor logic, historical constraint, domain vocabulary, empirical pattern, or case condition; then prevent generic page language.","Packet promotion decision proof: Historical Studies - eleven historical and operational case studies,...","domain variables, case framing, project examples, terminology, or scenario fixtures","project may look impressive but under-supported, over-general, or untestable on this role"
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",evaluation standard,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century - Germany and Beyond Thomas Mergel,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Packet promotion decision proof: Historical Studies - eleven historical and operational case studies,...","test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",method authority,The Routledge Handbook of Gender and Security,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Packet promotion decision proof: Historical Studies - eleven historical and operational case studies,...","method rule, stage design, instrument behavior, or analytic procedure","project may look impressive but under-supported, over-general, or untestable on this role"
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",source-to-output bridge,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century - Germany and Beyond Thomas Mergel,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Packet promotion decision proof: Historical Studies - eleven historical and operational case studies,...","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,counter-source or limitation,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Concept-to-theory lexicon proof: IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,evaluation standard,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Concept-to-theory lexicon proof: IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,method authority,The Oxford Handbook of Political Methodology,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.",Concept-to-theory lexicon proof: IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,"method rule, stage design, instrument behavior, or analytic procedure","project may look impressive but under-supported, over-general, or untestable on this role"
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,source-to-output bridge,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Concept-to-theory lexicon proof: IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,evaluation standard,The Routledge Handbook of European Security Law and Policy Elena Conde et al,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework - Beyond Surveillance Maxi...,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,method authority,Civilization and Its Discontents,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.",Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework - Beyond Surveillance Maxi...,"method rule, stage design, instrument behavior, or analytic procedure","project may look impressive but under-supported, over-general, or untestable on this role"
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,source-to-output bridge,"No Place for Russia European Security Institutions Since 1989 Hill, William H",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework - Beyond Surveillance Maxi...,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
master-bundle-atlas,Master Bundle Packet Promotion Atlas,adversarial model,Encyclopedia of World History,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.",Master Bundle packet promotion router,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","project may look impressive but under-supported, over-general, or untestable on this role"
master-bundle-atlas,Master Bundle Packet Promotion Atlas,counter-source or limitation,Intelligence and Information Policy for National Security: Key Terms and Concepts,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Master Bundle packet promotion router,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
master-bundle-atlas,Master Bundle Packet Promotion Atlas,evaluation standard,Intelligence and Information Policy for National Security: Key Terms and Concepts,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Master Bundle packet promotion router,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
master-bundle-atlas,Master Bundle Packet Promotion Atlas,source-to-output bridge,Critical Thinking Skills,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Master Bundle packet promotion router,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
