project_id,product_name,source_application_count,passage_contract_count,source_actions_before_claim,blocked_claim_until
master-bundle-atlas,Master Bundle Packet Promotion Atlas,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
personal-os,"Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation",5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,7,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,7,5,"Complete 5 close-read contract(s), update 15 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,7,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-russia-history-room,Russia Historical Context Room,6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-russia-security-desk,Russia Security Desk,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
applied-history,Applied History - lab for using historical case study to inform contemporary policy,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-berlin,Berlin Occupation Zones and Refugee Crisis,7,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-chamber-of-record-handoff,Chamber of Record,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-chamber-handoff,Chamber of Refractions,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-codex-prism-handoff-v1,Codex Prism,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-africa,Colonial Encounter in Africa,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),7,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces × 10 modes; claim-evidence-confidence governance,7,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-os-handoff-2026,Doctrine Forge Codex,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-east-asia,East Asian War and Strategic Tradition,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,5,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,7,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-os-glass-station-handoff,Glass Station,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-lab-handoff-package-2026-04-17,"Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore""",6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-mongol,Mongol Empire Military Systems,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-build02-final-proper-handoff-2026-04-11,Only one WITHOUT the 802 KB nested archive; Build 02 scope,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-package-2026-04-11,Only one with 07_Derivative_Handoff/; richest SQL DDL,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,7,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-execution-ready-handoff-archive-2026-04-11,Only one with Build_02-Build_05 sequenced operator guides,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-phase-iii-a-handoff-2026-04-11,"Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming",6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-mideast,Ottoman Palestine and Early Zionism,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-phaseii-handoff-2026-04-14,Posture Compass 5-axis instrument; framing_tensions/rival_framing columns,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-prism-chamber-murano-ready-package-2026-04-14,Prism Chamber,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-os-prism-foundry-handoff,Prism Foundry,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-room-handoff-v1,Room template v1,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-russia,Russia,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-phase-ii-handoff-2026-04-15,Smallest doc-pack; paired .md + .rs/.ts draft patches,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-speechcraft-studio-handoff,Speechcraft Studio,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,7,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-the-interval-handoff-v0-1,The Interval (remote violence),5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-western-myth-codex-phase-i-stub-pack,Western Myth Codex,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-western,Western Political Thought and the Ideal State,5,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-infragard-handoff,InfraGard preparatory note (minimal),6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-muranoos-red-team-continuation-handoff-2026-04-11,Smallest addendum wrapper; 5-surface Core Analytical Workflow,6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
