project_id,product_name,object_family,previous_status,new_status,fully_operational_after_capture,remaining_requirement,capture_href
native-trilogy-showcase-atlas,Book Trilogy Atlas,manuscript/publication,kit_built_execution_not_yet_captured,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.",capture_packets/native-trilogy-showcase-atlas/index.html
native-western,Western Political Thought and the Ideal State,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/reflexive-control-chamber/index.html
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,research/publication,kit_built_execution_not_yet_captured,package_capture_completed_publication_review_pending,no,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification.",capture_packets/row2/index.html
russia-desk,Russia Source-To-Judgment Desk,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
trilogy,Book Trilogy Manuscript Governance System,manuscript/publication,kit_built_execution_not_yet_captured,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.",capture_packets/trilogy/index.html
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/bias-atlas/index.html
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/genocide-lab/index.html
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,manuscript/publication,kit_built_execution_not_yet_captured,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.",capture_packets/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/index.html
native-aifailure-tax,AI Failure Taxonomy,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-aifailure-tax/index.html
native-aimodel-assess,AI Model Assessment,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-aimodel-assess/index.html
native-aiosintnarr,AI OSINT Narrative Analysis,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-aiosintnarr/index.html
native-atanalysis,Analysis Tradecraft,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-atanalysis/index.html
native-cmanalysis,Collection Management Analysis,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-cmanalysis/index.html
native-cyanalysis,Cyber Analysis,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-cyanalysis/index.html
native-ddianalysis,Directorate Analysis Method,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-ddianalysis/index.html
native-etanalysis,Emerging Technology Analysis,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-etanalysis/index.html
native-fwanalysis,Foreign Warning Analysis,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-fwanalysis/index.html
native-hsanalysis,Homeland Security Analysis,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-hsanalysis/index.html
native-icanalysis,Intelligence Community Analysis,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-icanalysis/index.html
native-psanalysis,Political Strategy Analysis,analytic instrument,kit_built_execution_not_yet_captured,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.",capture_packets/native-psanalysis/index.html
native-wargaming,Alliance Crisis Wargaming,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-wargaming/index.html
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/wargaming/index.html
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/critical-functions-observatory/index.html
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-russia-security-handoff-packet-done/index.html
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-russia-security-desk,Russia Security Desk,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-narrative-furnace-handoff-pack-2026-04-14/index.html
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-redteamlab-proper-handoff-zip-2026-04-14/index.html
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-six-project-hardening-handoff-done-v1/index.html
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-speechwriting-handoff-packet/index.html
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-cognitive-firewalls-foundry-handoff-v1/index.html
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-redteamlab-packet1-proper-handoff-done/index.html
native-london,Colonial Archive Explorer,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-london/index.html
mb-hearthglass-handoff-v1,HearthGlass,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-hearthglass-handoff-v1/index.html
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-isc-symposium-command-room-handoff-pass3-done/index.html
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-the-interval-chamber-of-refraction-handoff-v1/index.html
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-counter-idiom-lab-proper-handoff-done/index.html
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-foreign-affairs-lexicon-handoff-v1/index.html
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-georgetown-ic-handoff-done/index.html
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-gotham-lossless-replacement-archive-2026-04-15/index.html
mb-internal-operating-support-003,Internal Operating Support Packet 003,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-003/index.html
mb-internal-operating-support-004,Internal Operating Support Packet 004,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-004/index.html
mb-internal-operating-support-007,Internal Operating Support Packet 007,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-007/index.html
mb-internal-operating-support-008,Internal Operating Support Packet 008,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-008/index.html
mb-internal-operating-support-011,Internal Operating Support Packet 011,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-011/index.html
mb-internal-operating-support-012,Internal Operating Support Packet 012,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-012/index.html
mb-internal-operating-support-015,Internal Operating Support Packet 015,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-015/index.html
mb-internal-operating-support-016,Internal Operating Support Packet 016,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-016/index.html
mb-internal-operating-support-019,Internal Operating Support Packet 019,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-019/index.html
mb-internal-operating-support-020,Internal Operating Support Packet 020,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-020/index.html
mb-internal-operating-support-023,Internal Operating Support Packet 023,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-023/index.html
mb-internal-operating-support-024,Internal Operating Support Packet 024,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-024/index.html
mb-internal-operating-support-027,Internal Operating Support Packet 027,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-027/index.html
mb-internal-operating-support-028,Internal Operating Support Packet 028,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-028/index.html
mb-internal-operating-support-031,Internal Operating Support Packet 031,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-031/index.html
mb-internal-operating-support-032,Internal Operating Support Packet 032,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-032/index.html
mb-internal-operating-support-035,Internal Operating Support Packet 035,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-035/index.html
mb-internal-operating-support-036,Internal Operating Support Packet 036,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-036/index.html
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-sophisticated-expression-lexicon-handoff/index.html
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-ic-analyst-portfolio-handoff-pass1/index.html
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-individual-democratic-dialectic-final-handoff-done/index.html
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-ukraine-handoff-packet/index.html
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-briefingforgeroom-handoff-pass4-done/index.html
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-comparative-genocide-systems-lab-handoff-v1-0/index.html
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-comparative-rhetoric-final/index.html
mb-fractal-keep-handoff-v1,Fractal Keep,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-fractal-keep-handoff-v1/index.html
mb-infragard-handoff,InfraGard preparatory note (minimal),software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
mb-insinuationengineroom-handoff-done,Insinuation Engine,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
mb-internal-operating-support-001,Internal Operating Support Packet 001,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-001/index.html
mb-internal-operating-support-002,Internal Operating Support Packet 002,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-002/index.html
mb-internal-operating-support-005,Internal Operating Support Packet 005,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-005/index.html
mb-internal-operating-support-006,Internal Operating Support Packet 006,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-006/index.html
mb-internal-operating-support-009,Internal Operating Support Packet 009,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-009/index.html
mb-internal-operating-support-010,Internal Operating Support Packet 010,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-010/index.html
mb-internal-operating-support-013,Internal Operating Support Packet 013,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-013/index.html
mb-internal-operating-support-014,Internal Operating Support Packet 014,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-014/index.html
mb-internal-operating-support-017,Internal Operating Support Packet 017,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-017/index.html
mb-internal-operating-support-018,Internal Operating Support Packet 018,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-018/index.html
