capture_id,fixture_id,project_id,product_name,object_family,capture_type,capture_status,fully_operational_after_capture,blocking_items_remaining,claim_boundary_after_capture,capture_hash,capture_href
NOCAP-9DCF1CA40DA7,NOF-49F1560A6693,native-peace,Track II Diplomacy and Peacebuilding,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",24aecc23d72afe7ac5075b9ef24485d46221ee2bca17fed8be86a300b450ba37,capture_packets/native-peace/index.html
NOCAP-F228B394868F,NOF-F314F1A4CA0A,native-war-theory,War Theory and Strategic Culture,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",eb4a64fcdbdef70778587441b011b03d9cc0573767de8a5515cf661de5456983,capture_packets/native-war-theory/index.html
NOCAP-052741EF08BF,NOF-C9F424EE67DC,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,research/publication,deterministic_package_capture,package_capture_completed_publication_review_pending,no,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",69dc321a1c58bed5a02dcb529c1378524a20a48a719c92f0520b013de0ac7e5b,capture_packets/cognitive-firewall-instruments/index.html
NOCAP-06A003170A95,NOF-997565907125,master-bundle-atlas,Master Bundle Packet Promotion Atlas,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",ef262ea88fc93fcd12a81355099c2eb6d55984854871e6f35b9ae0db0f0c24bc,capture_packets/master-bundle-atlas/index.html
NOCAP-8379F613A419,NOF-F131F01E7A8A,native-amfp,Washington-Jefferson Era Foreign Policy,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",ee0084dcd9d7ce7103badb9f7f924fe237f61bd84e8e9608941bf63af9ae02ad,capture_packets/native-amfp/index.html
NOCAP-772E784EBF03,NOF-6A9E778DB98F,native-trilogy-showcase,Book Trilogy Showcase,manuscript/publication,deterministic_package_capture,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",929de4960393d7f158bdf3607c615d22743d23be019bdc9ef7d4eafdec4d9137,capture_packets/native-trilogy-showcase/index.html
NOCAP-7D5EDB2BDDF0,NOF-E53F7ABD47B2,native-trilogy-showcase-atlas,Book Trilogy Atlas,manuscript/publication,deterministic_package_capture,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",74eba003e0a0c00927c158f773c19a952f16227ccfbb2a956159f27df437716c,capture_packets/native-trilogy-showcase-atlas/index.html
NOCAP-D11324B37031,NOF-7BDB01E782F1,reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",fa11f74bbb92ddfa426f31658a7b61e4a997cdcf402f29e696a12f469571bfb7,capture_packets/reflexive-control-chamber/index.html
NOCAP-9195A832B187,NOF-2C4DF3EB500C,row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,research/publication,deterministic_package_capture,package_capture_completed_publication_review_pending,no,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",aa63f5ed1e6f84471d0a456b9d2b7159ca2b1b1eb91c2167504608209d97ad67,capture_packets/row2/index.html
NOCAP-9542F10563F7,NOF-34CC9A2E6472,trilogy,Book Trilogy Manuscript Governance System,manuscript/publication,deterministic_package_capture,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",d149ab3cd94c8f22cabd08ef755387ad9fd278dcfc2d53a858b801d5a6b09096,capture_packets/trilogy/index.html
NOCAP-D8F5A910AA7B,NOF-6316F10F74C1,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",0afa7d8456f764e1b90247de6d36c38ae52b9961aa45f0363a55e80f71901ed0,capture_packets/bias-atlas/index.html
NOCAP-41F58AFF71A2,NOF-90E4E5AC8BB9,genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",dff86cb562757cd2a496f99af22254a330ed194e8700fe1ec0f06f7d9a7836bd,capture_packets/genocide-lab/index.html
NOCAP-AEEDAFA707AD,NOF-3A7729108F34,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,manuscript/publication,deterministic_package_capture,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",643fd23d85629f34054376d909b1e8bfe4774a92be86cf8a72a08716deede3db,capture_packets/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/index.html
NOCAP-E9E9B917FAED,NOF-507EB3ED3CDB,native-aifailure-tax,AI Failure Taxonomy,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",d6dd463fe3d5e33b4e30573e2596af2aadce5a7e1d8eace5140da7125f4ee5ad,capture_packets/native-aifailure-tax/index.html
NOCAP-B32101D16224,NOF-35DC793BD921,native-aimodel-assess,AI Model Assessment,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",e281bbaef2e9ee2db64dac295dfe6d231f3d0c3293427fd88860d76f8f241020,capture_packets/native-aimodel-assess/index.html
NOCAP-72DE1D784E34,NOF-DAECF16F57DB,native-aiosintnarr,AI OSINT Narrative Analysis,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",c1a8f13aba0c73d17f4758ce54a07d892ee2bad80a32c56b0def3e3d01e4035a,capture_packets/native-aiosintnarr/index.html
NOCAP-24ED29ABA700,NOF-5ADB1A77681B,native-atanalysis,Analysis Tradecraft,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",a28875a09a293455b25c753858778df14c12afc6cda1d07fb17660f37dd7bdfc,capture_packets/native-atanalysis/index.html
NOCAP-22816DC992A9,NOF-F55615B19B5E,native-cmanalysis,Collection Management Analysis,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",8d1e97ba7a6bb9dc18f81a9eaf58efacf04fdae532c2ac4aa188a1fd1ac86087,capture_packets/native-cmanalysis/index.html
NOCAP-C55DF9A49E15,NOF-EBD54206717C,native-cyanalysis,Cyber Analysis,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",0987936268f1a35d4c2c06b589a98a201ddac7e1f8052d437904a96c69dea56d,capture_packets/native-cyanalysis/index.html
NOCAP-40C2C5AB8478,NOF-9E03D1304310,native-ddianalysis,Directorate Analysis Method,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",40b2bc52c02636dc5298acb4f96f292490d67525a27141314de324063e077c26,capture_packets/native-ddianalysis/index.html
NOCAP-46BE6DBFC22D,NOF-621928281FAA,native-etanalysis,Emerging Technology Analysis,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",825d6b657a0cf183fdbac07b2e1f3378a035c412ee7e21731ce85e6bd43b262c,capture_packets/native-etanalysis/index.html
NOCAP-BF00516994BE,NOF-492FDE97DB4B,native-fwanalysis,Foreign Warning Analysis,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",9261b3f1770064a0ba5cd0d2d8f49cc4b0388c33ec234a722a543bed3fb07e3b,capture_packets/native-fwanalysis/index.html
NOCAP-386B45E3D3D9,NOF-231358029DB5,native-hsanalysis,Homeland Security Analysis,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",6792fd617f9c28e8db22461548353ab32d26372dc3e12c34f394893698021466,capture_packets/native-hsanalysis/index.html
NOCAP-CA551CDB7EEC,NOF-739A1316BB57,native-icanalysis,Intelligence Community Analysis,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",5fdb054dd5db2ab8f3611be042e964bb33c72b81f431890d9000b2306c48bbe3,capture_packets/native-icanalysis/index.html
NOCAP-C81644327B37,NOF-C538A75BC6F9,native-psanalysis,Political Strategy Analysis,analytic instrument,deterministic_package_capture,package_capture_completed_calibration_pending,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",a42c2fe929149e08df727d3865dac438d66fe13a969d1d49f0635250794f293b,capture_packets/native-psanalysis/index.html
NOCAP-7B5325C7A66D,NOF-05D945426B82,native-wargaming,Alliance Crisis Wargaming,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",dbc0b5854b895b408a39c812aee2e0c73f546d9fa3e8036499d77b14a56fe260,capture_packets/native-wargaming/index.html
NOCAP-7549E000B75F,NOF-38A51B09456A,wargaming,Wargaming - theater-level alliance-crisis wargame workbench,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",2d068cb4903706800bead9a02a850fe33f58c432bec00bf211b3b4fd990b5f34,capture_packets/wargaming/index.html
NOCAP-8AD73768EEC2,NOF-C3503E6A8938,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",6e46ffcb3831ceb2fb41d615251134a6895575ab1fc0d1edb8f7e8954311cc7b,capture_packets/critical-functions-observatory/index.html
NOCAP-C893C63F86A8,NOF-2B09CAA9C2E3,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",556506728e014d678a4ff5737e02f5db23ac602f1550fd34da2e16a334bdf3d5,capture_packets/mb-russia-security-handoff-packet-done/index.html
NOCAP-41F256599481,NOF-C196AD9ADC04,mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",fbf30595ded7e22e3d34d6b237f3dc1f6880548f645a965899824a30d433c53f,capture_packets/mb-narrative-furnace-handoff-pack-2026-04-14/index.html
NOCAP-70A4E8AFF503,NOF-40FFA9C5C15E,mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",51bf1383964021ba7a4224be3c580f032b578d22c62f6b3b84bb43356bfbcb1d,capture_packets/mb-redteamlab-proper-handoff-zip-2026-04-14/index.html
NOCAP-A72E5075A6BF,NOF-79E11D281B8C,mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",3144bbda0e794f1c733cdec85110865cd4e8980d6bfd47eba110b8085a919508,capture_packets/mb-six-project-hardening-handoff-done-v1/index.html
NOCAP-C2C8AD0818B5,NOF-802A82FCE6C6,mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",a9911f89f44e65418a6e8d61b61572b119b7cc990e8c3b7fdfe11534d2fc5f7d,capture_packets/mb-speechwriting-handoff-packet/index.html
NOCAP-C4625F574678,NOF-F038D166A29D,mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",e38394c35868b57ce30a9b96c34d533bc3e4c126dd6a26d2c47d100aba485ebe,capture_packets/mb-cognitive-firewalls-foundry-handoff-v1/index.html
NOCAP-DD3A54B3F88B,NOF-E39277709BE2,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",d69cf2b11ef17008269abac2c4400c23e6007aa286d2a551320825b5bcc1092c,capture_packets/mb-redteamlab-packet1-proper-handoff-done/index.html
NOCAP-BF086CB900EF,NOF-072CC1FED20E,native-london,Colonial Archive Explorer,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",9425a9e628bfd48965090c7969908c5a8eb382b7b95399e7ad0d9f48c31cb7ec,capture_packets/native-london/index.html
NOCAP-D6CB26CDB939,NOF-B06D6DE98628,mb-hearthglass-handoff-v1,HearthGlass,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",77ff4efb856430f929ab63d25f825f3b8b1b928aa49e261bdcc18241896f6f20,capture_packets/mb-hearthglass-handoff-v1/index.html
NOCAP-24D539323E84,NOF-EC36E1861350,mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",9387e2993bbc27711253478a40a32a7c344ba584ab47ed9346c176f77d2c654c,capture_packets/mb-isc-symposium-command-room-handoff-pass3-done/index.html
NOCAP-BC0D8F1FD3B7,NOF-CDD746126471,mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",f1a91a958fecabd04ab6d8877d50b959b159e23322505eb3da1726868b4065ea,capture_packets/mb-the-interval-chamber-of-refraction-handoff-v1/index.html
NOCAP-9CE1CD82B2ED,NOF-01B39AA5898C,mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",bd4869891f941538b1b6b89e9ab55da1fa38e2574b02370215cfcf0c20a15b8c,capture_packets/mb-counter-idiom-lab-proper-handoff-done/index.html
NOCAP-58EE7281ECCB,NOF-7245156D6FC1,mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",7762132f9168a61338d867094d4d6f909737f68d583607739dea083eee46908f,capture_packets/mb-foreign-affairs-lexicon-handoff-v1/index.html
NOCAP-BB4A337F9F2B,NOF-9CD33ABE645D,mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",71168b6b8ac4fcb096b52a20bbb0760ea4cd2614d032a70e60c6b00c3486a8c4,capture_packets/mb-georgetown-ic-handoff-done/index.html
NOCAP-AF90281BE6D6,NOF-C2C2CE0C8127,mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",684ebaa8cfbc52d079198af7fd71c50da68e48d3d81d36f8194478fa9468832c,capture_packets/mb-gotham-lossless-replacement-archive-2026-04-15/index.html
NOCAP-47200E5153E4,NOF-F9C4D5D46B6C,mb-internal-operating-support-003,Internal Operating Support Packet 003,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",31deeaa81eedf58029f4c8dd2aaef9e244866a087a062939e4ac51fe91e1cf1c,capture_packets/mb-internal-operating-support-003/index.html
NOCAP-ACE8F189CE84,NOF-1873023BDBFE,mb-internal-operating-support-004,Internal Operating Support Packet 004,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",d3a08c0293230153dd4ff5537eac324824bb353aa04ef8494086cdd86d036afe,capture_packets/mb-internal-operating-support-004/index.html
NOCAP-54AA44C031BF,NOF-67E2F9C27EA5,mb-internal-operating-support-007,Internal Operating Support Packet 007,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",079dc3ba136165951d8e0b32b7d477fde2792d47196f5442310d8592955cfcad,capture_packets/mb-internal-operating-support-007/index.html
NOCAP-936A875A58BE,NOF-0A38DEDD3AB2,mb-internal-operating-support-008,Internal Operating Support Packet 008,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",75b16fe9e857a68ea6858a5cfff1ad922697a35170ffdbdcb46f0cc6f418913b,capture_packets/mb-internal-operating-support-008/index.html
NOCAP-C568BDBC0B70,NOF-A9A6C5F7A0CC,mb-internal-operating-support-011,Internal Operating Support Packet 011,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",cd105720d4ed946dfbfabc1983955d0fdbbf6e6e048df46c82ba10c24422fed9,capture_packets/mb-internal-operating-support-011/index.html
NOCAP-3D7AAE9D4E0F,NOF-9271BAA350BB,mb-internal-operating-support-012,Internal Operating Support Packet 012,source/archive governance,deterministic_package_capture,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.","May claim a package-level first capture exists. May not claim production deployment, external validation, or full operational standing.",9daef81345dc5faf0b6a5b93b6662cb5513de26d06156f4b0c3a8f6ccfb191dd,capture_packets/mb-internal-operating-support-012/index.html
