project_id,project_name,project_kind,runtime_target,instrument_id,instrument_name,purpose,input_contract,operation,output_contract,acceptance_condition,runtime_status,full_underlying_system_complete
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,miniature evaluation harness derived from the advisor annex,poison-rag-defense-annex-instrument-06,future-study claim boundary,Turn the `future-study claim boundary` module into a concrete input-operation-output step for Adversarial Evidence Corruption Technical Annex Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the future-study claim boundary step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The future-study claim boundary instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,source-family to analytic-variable board with uncertainty and judgment gates,russia-desk-instrument-01,source-family registry,Turn the `source-family registry` module into a concrete input-operation-output step for Russia Source-To-Judgment Desk.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the source-family registry step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The source-family registry instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,source-family to analytic-variable board with uncertainty and judgment gates,russia-desk-instrument-02,actor interest model,Turn the `actor interest model` module into a concrete input-operation-output step for Russia Source-To-Judgment Desk.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the actor interest model step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The actor interest model instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,source-family to analytic-variable board with uncertainty and judgment gates,russia-desk-instrument-03,institutional constraint model,Turn the `institutional constraint model` module into a concrete input-operation-output step for Russia Source-To-Judgment Desk.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the institutional constraint model step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The institutional constraint model instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,source-family to analytic-variable board with uncertainty and judgment gates,russia-desk-instrument-04,strategic culture and deception pattern fields,Turn the `strategic culture and deception pattern fields` module into a concrete input-operation-output step for Russia Source-To-Judgment Desk.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the strategic culture and deception pattern fields step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The strategic culture and deception pattern fields instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,source-family to analytic-variable board with uncertainty and judgment gates,russia-desk-instrument-05,force posture notes,Turn the `force posture notes` module into a concrete input-operation-output step for Russia Source-To-Judgment Desk.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the force posture notes step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The force posture notes instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,source-family to analytic-variable board with uncertainty and judgment gates,russia-desk-instrument-06,uncertainty limits,Turn the `uncertainty limits` module into a concrete input-operation-output step for Russia Source-To-Judgment Desk.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the uncertainty limits step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The uncertainty limits instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,source-family to analytic-variable board with uncertainty and judgment gates,russia-desk-instrument-07,judgment gate,Turn the `judgment gate` module into a concrete input-operation-output step for Russia Source-To-Judgment Desk.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the judgment gate step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The judgment gate instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",trilogy-instrument-01,chapter dossier registry,Turn the `chapter dossier registry` module into a concrete input-operation-output step for Book Trilogy Manuscript Governance System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the chapter dossier registry step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The chapter dossier registry instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",trilogy-instrument-02,argument backbone field,Turn the `argument backbone field` module into a concrete input-operation-output step for Book Trilogy Manuscript Governance System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the argument backbone field step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The argument backbone field instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",trilogy-instrument-03,source state and close-read queue,Turn the `source state and close-read queue` module into a concrete input-operation-output step for Book Trilogy Manuscript Governance System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the source state and close-read queue step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The source state and close-read queue instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",trilogy-instrument-04,voice/register constitution,Turn the `voice/register constitution` module into a concrete input-operation-output step for Book Trilogy Manuscript Governance System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the voice/register constitution step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The voice/register constitution instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",trilogy-instrument-05,visual-title governance,Turn the `visual-title governance` module into a concrete input-operation-output step for Book Trilogy Manuscript Governance System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the visual-title governance step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The visual-title governance instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",trilogy-instrument-06,cross-chapter handoff,Turn the `cross-chapter handoff` module into a concrete input-operation-output step for Book Trilogy Manuscript Governance System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the cross-chapter handoff step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The cross-chapter handoff instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",trilogy-instrument-07,revision status,Turn the `revision status` module into a concrete input-operation-output step for Book Trilogy Manuscript Governance System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the revision status step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The revision status instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
analytical-methods,Structured Analytic Technique Studio,analysis method / workstation,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects",analytical-methods-instrument-01,SAT taxonomy,Turn the `SAT taxonomy` module into a concrete input-operation-output step for Structured Analytic Technique Studio.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the SAT taxonomy step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The SAT taxonomy instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
analytical-methods,Structured Analytic Technique Studio,analysis method / workstation,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects",analytical-methods-instrument-02,method-composition builder,Turn the `method-composition builder` module into a concrete input-operation-output step for Structured Analytic Technique Studio.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the method-composition builder step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The method-composition builder instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
analytical-methods,Structured Analytic Technique Studio,analysis method / workstation,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects",analytical-methods-instrument-03,task-method fit checker,Turn the `task-method fit checker` module into a concrete input-operation-output step for Structured Analytic Technique Studio.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the task-method fit checker step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The task-method fit checker instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
analytical-methods,Structured Analytic Technique Studio,analysis method / workstation,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects",analytical-methods-instrument-04,baseline/method comparison,Turn the `baseline/method comparison` module into a concrete input-operation-output step for Structured Analytic Technique Studio.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the baseline/method comparison step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The baseline/method comparison instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
analytical-methods,Structured Analytic Technique Studio,analysis method / workstation,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects",analytical-methods-instrument-05,sequencing experiment ledger,Turn the `sequencing experiment ledger` module into a concrete input-operation-output step for Structured Analytic Technique Studio.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the sequencing experiment ledger step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The sequencing experiment ledger instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
analytical-methods,Structured Analytic Technique Studio,analysis method / workstation,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects",analytical-methods-instrument-06,human-AI collaboration result board,Turn the `human-AI collaboration result board` module into a concrete input-operation-output step for Structured Analytic Technique Studio.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the human-AI collaboration result board step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The human-AI collaboration result board instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-capstone-quantitative,Quantitative Capstone Workbench,future quantitative experiment apparatus,"packet registry, routing table, and promotion decision board",native-capstone-quantitative-instrument-01,source registry,Turn the `source registry` module into a concrete input-operation-output step for Quantitative Capstone Workbench.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the source registry step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The source registry instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-capstone-quantitative,Quantitative Capstone Workbench,future quantitative experiment apparatus,"packet registry, routing table, and promotion decision board",native-capstone-quantitative-instrument-02,output mapping,Turn the `output mapping` module into a concrete input-operation-output step for Quantitative Capstone Workbench.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the output mapping step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The output mapping instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-capstone-quantitative,Quantitative Capstone Workbench,future quantitative experiment apparatus,"packet registry, routing table, and promotion decision board",native-capstone-quantitative-instrument-03,claim boundary,Turn the `claim boundary` module into a concrete input-operation-output step for Quantitative Capstone Workbench.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the claim boundary step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The claim boundary instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-capstone-quantitative,Quantitative Capstone Workbench,future quantitative experiment apparatus,"packet registry, routing table, and promotion decision board",native-capstone-quantitative-instrument-04,close-read queue,Turn the `close-read queue` module into a concrete input-operation-output step for Quantitative Capstone Workbench.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the close-read queue step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The close-read queue instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,retrieval / evidence software,"local corpus service with index, retrieval trace, scoring, negative-space, abstention, and citation/export layer",native-magnum-opus-instrument-01,corpus registry,Turn the `corpus registry` module into a concrete input-operation-output step for Magnum Opus Scholarly Retrieval And Warrant System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the corpus registry step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The corpus registry instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,retrieval / evidence software,"local corpus service with index, retrieval trace, scoring, negative-space, abstention, and citation/export layer",native-magnum-opus-instrument-02,index and retrieval service,Turn the `index and retrieval service` module into a concrete input-operation-output step for Magnum Opus Scholarly Retrieval And Warrant System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the index and retrieval service step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The index and retrieval service instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,retrieval / evidence software,"local corpus service with index, retrieval trace, scoring, negative-space, abstention, and citation/export layer",native-magnum-opus-instrument-03,passage trace viewer,Turn the `passage trace viewer` module into a concrete input-operation-output step for Magnum Opus Scholarly Retrieval And Warrant System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the passage trace viewer step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The passage trace viewer instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,retrieval / evidence software,"local corpus service with index, retrieval trace, scoring, negative-space, abstention, and citation/export layer",native-magnum-opus-instrument-04,evidence scoring,Turn the `evidence scoring` module into a concrete input-operation-output step for Magnum Opus Scholarly Retrieval And Warrant System.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the evidence scoring step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The evidence scoring instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
