project_id,project_name,project_kind,build_mode,runtime_target,instrument_count,acceptance_test_count,stateful_runtime,exportable_receipt,package_runtime_status,full_underlying_system_complete,claim_boundary
native-berlin,Berlin Occupation Zones and Refugee Crisis,retrieval / evidence software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-cicc,ICC Complementarity Case Room,historical / policy case room,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-crusades,Crusades and Mediterranean Order,historical / policy case room,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-peace,Track II Diplomacy and Peacebuilding,historical / policy case room,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-war-theory,War Theory and Strategic Culture,historical / policy case room,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),retrieval / evidence software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,retrieval / evidence software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aigov-nav,AI Governance Navigator,navigation / governance instrument,analytic instrument build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiintel-cycle,AI Intelligence Cycle,AI assurance / analysis room,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiknowledge-prod,AI Knowledge Production,AI assurance / analysis room,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiprompt-eng,AI Prompt Engineering,AI assurance / analysis room,software or application build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-analyst-assurance-desk,Analyst Assurance Desk,analysis method / workstation,software or application build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia,Russia,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia-history-room,Russia Historical Context Room,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row1,Quantitative Capstone - quantitative arm of the AI-corruption capstone study,research study,research publication build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-africa,Colonial Encounter in Africa,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-east-asia,East Asian War and Strategic Tradition,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-mideast,Ottoman Palestine and Early Zionism,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-mongol,Mongol Empire Military Systems,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-western,Western Political Thought and the Ideal State,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,software operating environment,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,policy / governance proposal,research publication build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-iscproposals,Counterintelligence Surveillance Framework,policy / governance proposal,research publication build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,research study,research publication build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,archive / packet router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aisatvis,AI Structured Analysis Visualization,AI assurance / analysis room,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-amfp,Washington-Jefferson Era Foreign Policy,historical / policy case room,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-capstone-defense,Cognitive Firewalls Capstone Defense,capstone defense / research presentation,research publication build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-capstone-defense-noland,Cognitive Firewalls Defense Room,research study,research publication build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-trilogy-showcase,Book Trilogy Showcase,book / manuscript system,manuscript and publication system,static and data-backed chapter dossier system,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-trilogy-showcase-atlas,Book Trilogy Atlas,method atlas / taxonomy,manuscript and publication system,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,domain analysis desk,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,retrieval / evidence software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,retrieval / evidence software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,policy / governance proposal,research publication build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,retrieval / evidence software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,master-bundle artifact / archive router,software or application build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",master-bundle artifact / archive router,research publication build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia-security-desk,Russia Security Desk,research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method atlas / taxonomy,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,master-bundle artifact / archive router,manuscript and publication system,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aifailure-tax,AI Failure Taxonomy,method atlas / taxonomy,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aimodel-assess,AI Model Assessment,AI assurance / analysis room,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiosintnarr,AI OSINT Narrative Analysis,AI assurance / analysis room,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-hsanalysis,Homeland Security Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-wargaming,Alliance Crisis Wargaming,strategic simulation / planning tool,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
planning,"Development Process - how projects move from idea to built, reviewed work",public project blueprint,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",AI assurance / analysis room,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,strategic simulation / planning tool,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
warrant-chamber,Source & Evidence Review - tracking what supports each claim and what still needs review,software operating environment,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-hearthglass-handoff-v1,HearthGlass,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-london,Colonial Archive Explorer,archive / packet router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",research workflow software,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,structured analysis room,research publication build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-003,Internal Operating Support Packet 003,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-004,Internal Operating Support Packet 004,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-007,Internal Operating Support Packet 007,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-008,Internal Operating Support Packet 008,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-011,Internal Operating Support Packet 011,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-012,Internal Operating Support Packet 012,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-015,Internal Operating Support Packet 015,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-016,Internal Operating Support Packet 016,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-019,Internal Operating Support Packet 019,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
