surface_capture_id,project_id,product_name,launch_target,section_found,visible_character_count,surface_capture_status,runtime_status,what_this_proves,what_this_does_not_prove,next_runtime_evidence_required,claim_boundary
BSC-0CB1A56422D2,native-africa,Colonial Encounter in Africa,index.html#native-africa,yes,34159,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-D94C031177D3,native-east-asia,East Asian War and Strategic Tradition,index.html#native-east-asia,yes,34023,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-A32157ADEB5B,native-mideast,Ottoman Palestine and Early Zionism,index.html#native-mideast,yes,35455,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-CA2FF55D6343,native-mongol,Mongol Empire Military Systems,index.html#native-mongol,yes,34375,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-61D589D760C1,native-western,Western Political Thought and the Ideal State,index.html#native-western,yes,34525,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-C0022583C1E3,russia-desk,Russia Source-To-Judgment Desk,index.html#russia-desk,yes,44364,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-FC6D31BF1375,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",index.html#analytical-methodology,yes,48766,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-CB440FAAAC8B,regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",index.html#regional-studies,yes,46591,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-FAD2589E1D8B,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,index.html#decision-advantage-system,yes,43863,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-0CB306D76B40,mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,index.html#mb-dialectic-engine-room-pass1-handoff,yes,33057,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-DF53674B5145,native-russia-security-desk,Russia Security Desk,index.html#native-russia-security-desk,yes,40179,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-6F5D3FC6CB38,mb-infragard-handoff,InfraGard preparatory note (minimal),index.html#mb-infragard-handoff,yes,22074,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
BSC-60A3C79504E8,mb-insinuationengineroom-handoff-done,Insinuation Engine,index.html#mb-insinuationengineroom-handoff-done,yes,33233,browser_surface_capture_ready,still_requires_live_runtime_trace,"The public static room surface exists and exposes reviewer-readable structure, mechanism/evidence language, and a hash route.","It does not prove a stateful application workflow, backend persistence, export behavior, or live user interaction.","Open or run the actual local/web application slice, execute the fixture, and capture input, state, output, export, and acceptance-test evidence.",May claim browser-surface availability if gates pass. May not claim complete runtime operation until live runtime trace is captured.
