project_id,project_title,project_kind,proof_tier,component_count,quality_gate_counts,upgrade_class_counts,source_strategy,distinctiveness_component_to_build,distinctiveness_component_operation,distinctiveness_component_output,acceptance_test,best_improvement,build_status
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",research workflow software,specified-proof-plan-needs-demo,10,READY_FOR_CAPTURE: 10,runtime state trace: 10,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",specified proof plan; needs live or replayable demonstrator
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,policy / governance proposal,specified-proof-plan-needs-demo,11,READY_FOR_CAPTURE: 11,implementation scenario: 11,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.",specified proof plan; needs live or replayable demonstrator
master-bundle-atlas,Master Bundle Atlas - 152 source and handoff packets,method atlas / taxonomy,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to govern packet promotion: identity, provenance, extraction status, authority level, project route, duplicate risk, and the next build decision for each bundle item.",Master Bundle packet promotion router,"Move one packet through identity, extraction status, authority level, duplicate risk, project route, canonical/derivative/archive/build-now decision, and next action.",Promotion decision record proving that 152 packets are governed as build inputs rather than an undifferentiated archive.,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,Demonstrate packet promotion from raw bundle item to project-specific build decision.,source-backed proof build; needs source-to-output capture and close-read strengthening
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-fractal-keep-handoff-v1,Fractal Keep,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-hearthglass-handoff-v1,HearthGlass,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-infragard-handoff,InfraGard preparatory note (minimal),master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-insinuationengineroom-handoff-done,Insinuation Engine,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-internal-operating-support-001,Internal Operating Support Packet 001,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-002,Internal Operating Support Packet 002,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-003,Internal Operating Support Packet 003,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
