project_id,closure_lane,local_automated_status,underlying_project_fully_operational,evidence_hash
mb-redteamlab-proper-handoff-zip-2026-04-14,source_verification_external_review,source_work_order_ready_external_review_open,False,7c3bb37c75106bf4
mb-six-project-hardening-handoff-done-v1,source_verification_external_review,source_work_order_ready_external_review_open,False,309971edc523c980
mb-speechwriting-handoff-packet,source_verification_external_review,source_work_order_ready_external_review_open,False,4e6ce34d5135993b
mb-cognitive-firewalls-foundry-handoff-v1,source_verification_external_review,source_work_order_ready_external_review_open,False,ba176cbdbcea578a
mb-redteamlab-packet1-proper-handoff-done,source_verification_external_review,source_work_order_ready_external_review_open,False,cbd976889643a46a
native-london,source_verification_external_review,source_work_order_ready_external_review_open,False,4b8ea86f911c1bc7
mb-hearthglass-handoff-v1,source_verification_external_review,source_work_order_ready_external_review_open,False,c5a533c7285360c0
mb-isc-symposium-command-room-handoff-pass3-done,source_verification_external_review,source_work_order_ready_external_review_open,False,360d2c8aed07ee9c
mb-the-interval-chamber-of-refraction-handoff-v1,source_verification_external_review,source_work_order_ready_external_review_open,False,b85d533b3942fa72
mb-counter-idiom-lab-proper-handoff-done,source_verification_external_review,source_work_order_ready_external_review_open,False,2274c3c221d5f617
mb-foreign-affairs-lexicon-handoff-v1,source_verification_external_review,source_work_order_ready_external_review_open,False,540d6be73cc9a01c
mb-georgetown-ic-handoff-done,source_verification_external_review,source_work_order_ready_external_review_open,False,df509a978228388b
mb-gotham-lossless-replacement-archive-2026-04-15,source_verification_external_review,source_work_order_ready_external_review_open,False,1457759c8bd5ef51
mb-internal-operating-support-003,source_verification_external_review,source_work_order_ready_external_review_open,False,e5b49dc760149c5b
mb-internal-operating-support-004,source_verification_external_review,source_work_order_ready_external_review_open,False,4afe48ca3f9a28aa
mb-internal-operating-support-007,source_verification_external_review,source_work_order_ready_external_review_open,False,6f188fde5a6970ad
mb-internal-operating-support-008,source_verification_external_review,source_work_order_ready_external_review_open,False,feeba7a9057b17c2
mb-internal-operating-support-011,source_verification_external_review,source_work_order_ready_external_review_open,False,4a1d8e3fb78fc0d8
mb-internal-operating-support-012,source_verification_external_review,source_work_order_ready_external_review_open,False,1485bca1a6384fc2
mb-internal-operating-support-015,source_verification_external_review,source_work_order_ready_external_review_open,False,1ffb32a57653f1b6
mb-internal-operating-support-016,source_verification_external_review,source_work_order_ready_external_review_open,False,49c1018e50383fd2
mb-internal-operating-support-019,source_verification_external_review,source_work_order_ready_external_review_open,False,31f8a27f5ed3a9a7
mb-internal-operating-support-020,source_verification_external_review,source_work_order_ready_external_review_open,False,50cd7c32d4092eb9
mb-internal-operating-support-023,source_verification_external_review,source_work_order_ready_external_review_open,False,541e9f74d733dcc6
mb-internal-operating-support-024,source_verification_external_review,source_work_order_ready_external_review_open,False,9d4a352c33c73aa6
mb-internal-operating-support-027,source_verification_external_review,source_work_order_ready_external_review_open,False,50de53c69945e061
mb-internal-operating-support-028,source_verification_external_review,source_work_order_ready_external_review_open,False,7c1c7abaaefc9438
mb-internal-operating-support-031,source_verification_external_review,source_work_order_ready_external_review_open,False,3810e816a248cc08
mb-internal-operating-support-032,source_verification_external_review,source_work_order_ready_external_review_open,False,a18195059014957d
mb-internal-operating-support-035,source_verification_external_review,source_work_order_ready_external_review_open,False,b7941fc64c32fdf7
mb-internal-operating-support-036,source_verification_external_review,source_work_order_ready_external_review_open,False,b116888f15f87999
mb-sophisticated-expression-lexicon-handoff,source_verification_external_review,source_work_order_ready_external_review_open,False,991b67ff7ad2487c
mb-ic-analyst-portfolio-handoff-pass1,source_verification_external_review,source_work_order_ready_external_review_open,False,0ac57b0eb7db4211
mb-individual-democratic-dialectic-final-handoff-done,source_verification_external_review,source_work_order_ready_external_review_open,False,e10a2386d352d7dc
mb-ukraine-handoff-packet,source_verification_external_review,source_work_order_ready_external_review_open,False,69f11f0fcc64763a
mb-briefingforgeroom-handoff-pass4-done,source_verification_external_review,source_work_order_ready_external_review_open,False,02d1441928fbdd35
mb-comparative-genocide-systems-lab-handoff-v1-0,source_verification_external_review,source_work_order_ready_external_review_open,False,a5dfda2b080e492e
mb-comparative-rhetoric-final,source_verification_external_review,source_work_order_ready_external_review_open,False,8be0f8811f711b4c
mb-fractal-keep-handoff-v1,source_verification_external_review,source_work_order_ready_external_review_open,False,5bce5ffd3130dd88
mb-internal-operating-support-001,source_verification_external_review,source_work_order_ready_external_review_open,False,66af28826ecd8841
mb-internal-operating-support-002,source_verification_external_review,source_work_order_ready_external_review_open,False,d21daf09b9b350e7
mb-internal-operating-support-005,source_verification_external_review,source_work_order_ready_external_review_open,False,4f2c6fb77ccdc2b6
mb-internal-operating-support-006,source_verification_external_review,source_work_order_ready_external_review_open,False,6f6ed08db71beb63
mb-internal-operating-support-009,source_verification_external_review,source_work_order_ready_external_review_open,False,d0afe6e624b6a370
mb-internal-operating-support-010,source_verification_external_review,source_work_order_ready_external_review_open,False,1a3ae1be598493fc
mb-internal-operating-support-013,source_verification_external_review,source_work_order_ready_external_review_open,False,400fded3c35bcbb3
mb-internal-operating-support-014,source_verification_external_review,source_work_order_ready_external_review_open,False,675cab4be5a5b5ed
mb-internal-operating-support-017,source_verification_external_review,source_work_order_ready_external_review_open,False,a3031d8703127a97
mb-internal-operating-support-018,source_verification_external_review,source_work_order_ready_external_review_open,False,830a6f01b6853f7d
mb-internal-operating-support-021,source_verification_external_review,source_work_order_ready_external_review_open,False,2979dbc3210cd0de
mb-internal-operating-support-022,source_verification_external_review,source_work_order_ready_external_review_open,False,60c952074ba0188f
mb-internal-operating-support-025,source_verification_external_review,source_work_order_ready_external_review_open,False,ae0954f945c254a9
mb-internal-operating-support-026,source_verification_external_review,source_work_order_ready_external_review_open,False,b9447f6b7ace2f92
mb-internal-operating-support-029,source_verification_external_review,source_work_order_ready_external_review_open,False,129a57bea4ffb489
mb-internal-operating-support-030,source_verification_external_review,source_work_order_ready_external_review_open,False,e5b087d5d89d5556
mb-internal-operating-support-033,source_verification_external_review,source_work_order_ready_external_review_open,False,0cea2fed0d7532ad
mb-internal-operating-support-034,source_verification_external_review,source_work_order_ready_external_review_open,False,4c7588a850b5664a
mb-redteamlab-proper-handoff-package-2026-04-14,source_verification_external_review,source_work_order_ready_external_review_open,False,fdec514063f37823
mb-rfp-handoff-ch01-02-done,manuscript_editorial_completion,local_editorial_control_ready_not_closed,False,7a8a5950b8c7acfa
mb-wargaming-handoff-pass1,source_verification_external_review,source_work_order_ready_external_review_open,False,6e3e0246a7e88207
native-applied-history-lab,source_verification_external_review,source_work_order_ready_external_review_open,False,197614262fdaed87
native-emt,source_verification_external_review,source_work_order_ready_external_review_open,False,c547ef7fa28a2fbb
native-habitat,source_verification_external_review,source_work_order_ready_external_review_open,False,1385bb7edee8d42e
native-master-bundle-pages,source_verification_external_review,source_work_order_ready_external_review_open,False,c93f75dc1587d1b7
native-pharm,source_verification_external_review,source_work_order_ready_external_review_open,False,6f24db628bfd19ba
native-respite,source_verification_external_review,source_work_order_ready_external_review_open,False,2f53d340b341e19b
native-uscri,source_verification_external_review,source_work_order_ready_external_review_open,False,d35efe8f52b277f7
red-team-lab,source_verification_external_review,source_work_order_ready_external_review_open,False,9605dd84e5101eeb
