runtime_slice_id,project_id,product_name,instrument_name,runtime_href,state_model,input_model,operation_model,output_model,acceptance_standard,runtime_claim_status,not_full_operational_reason
RTS-0CB1A56422D2,native-africa,Colonial Encounter in Africa,Regional case-analysis workbench,apps/native-africa/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Region, case, and analytical question",Regional analysis operation,Regional analytical note,"The output must connect place, historical mechanism, evidence limit, and comparative implication.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-D94C031177D3,native-east-asia,East Asian War and Strategic Tradition,Regional case-analysis workbench,apps/native-east-asia/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Region, case, and analytical question",Regional analysis operation,Regional analytical note,"The output must connect place, historical mechanism, evidence limit, and comparative implication.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-A32157ADEB5B,native-mideast,Ottoman Palestine and Early Zionism,Regional case-analysis workbench,apps/native-mideast/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Region, case, and analytical question",Regional analysis operation,Regional analytical note,"The output must connect place, historical mechanism, evidence limit, and comparative implication.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-CA2FF55D6343,native-mongol,Mongol Empire Military Systems,Regional case-analysis workbench,apps/native-mongol/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Region, case, and analytical question",Regional analysis operation,Regional analytical note,"The output must connect place, historical mechanism, evidence limit, and comparative implication.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-61D589D760C1,native-western,Western Political Thought and the Ideal State,Regional case-analysis workbench,apps/native-western/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Region, case, and analytical question",Regional analysis operation,Regional analytical note,"The output must connect place, historical mechanism, evidence limit, and comparative implication.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-C0022583C1E3,russia-desk,Russia Source-To-Judgment Desk,Russia source-to-judgment workbench,apps/russia-desk/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Russia-related claim, source, or case",Source-to-judgment operation,Bounded Russia judgment,"The output must separate source signal, interpretive claim, uncertainty, and next evidence need.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-FC6D31BF1375,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",Methodology room router,apps/analytical-methodology/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,Analytical task and method need,Methodology operation,Method selection and review note,"The output must match task to method, state why, identify failure mode, and specify review gate.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-CB440FAAAC8B,regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",Russia source-to-judgment workbench,apps/regional-studies/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Russia-related claim, source, or case",Source-to-judgment operation,Bounded Russia judgment,"The output must separate source signal, interpretive claim, uncertainty, and next evidence need.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-FAD2589E1D8B,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,Decision-advantage architecture workbench,apps/decision-advantage-system/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,Decision environment and uncertainty,Decision architecture operation,Decision-support architecture note,"The output must define decision, information need, feedback loop, and organizational implication.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-0CB306D76B40,mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,Dialectic movement workbench,apps/mb-dialectic-engine-room-pass1-handoff/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Claim, counterclaim, or conceptual tension",Dialectic operation,Dialectic movement record,"The output must show thesis, counterpressure, synthesis or unresolved tension, and next inquiry.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-DF53674B5145,native-russia-security-desk,Russia Security Desk,Russia source-to-judgment workbench,apps/native-russia-security-desk/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Russia-related claim, source, or case",Source-to-judgment operation,Bounded Russia judgment,"The output must separate source signal, interpretive claim, uncertainty, and next evidence need.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-6F5D3FC6CB38,mb-infragard-handoff,InfraGard preparatory note (minimal),Public-private security preparation workbench,apps/mb-infragard-handoff/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,Security partnership question or preparedness task,Preparedness operation,Partnership readiness note,"The output must identify stakeholder, risk, action, and readiness evidence.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-60A3C79504E8,mb-insinuationengineroom-handoff-done,Insinuation Engine,Insinuation-pattern analysis workbench,apps/mb-insinuationengineroom-handoff-done/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Ambiguous message, frame, or indirect influence pattern",Insinuation analysis operation,Indirect-influence analysis note,"The output must separate literal statement, implied frame, audience effect, and evidentiary caution.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
