task_id,priority,project_id,project_title,source_role,source_title,close_read_question,passage_target_needed,proof_component_to_strengthen,expected_output,claim_unlocked_if_completed
CR-0014,P0,native-magnum-opus,Magnum Opus,domain grounding,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0015,P0,native-magnum-opus,Magnum Opus,adversarial model,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,What adversary behavior or failure mode should the proof test?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0016,P1,native-aifailure-tax,AI Failure Taxonomy,method authority,A Military Atlas of the First World War Arthur S. Banks et al,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0017,P1,native-aifailure-tax,AI Failure Taxonomy,technical mechanism,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0018,P1,native-aifailure-tax,AI Failure Taxonomy,counter-source or limitation,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"What claim must be narrowed, qualified, or held back unless further evidence appears?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0019,P0,native-murano,Murano,technical mechanism,A Companion to Environmental Thought Peter Hay,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0020,P0,native-murano,Murano,domain grounding,Designing Your Work Life Nik Murano,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0021,P0,native-murano,Murano,source-to-output bridge,"God, Time, and Knowledge William Hasker",What part of the final output should this source directly alter or constrain?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0022,P1,row10,Analyst Workstation - eight-page interactive AI-augmented intelligence-analysis handbook,method authority,Pherso Counterintelligence Structured Analytic Techniques,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0023,P1,row10,Analyst Workstation - eight-page interactive AI-augmented intelligence-analysis handbook,technical mechanism,Routledge Handbook of Psychoanalytic Political Theory Yannis Stavrakakis,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0024,P1,row10,Analyst Workstation - eight-page interactive AI-augmented intelligence-analysis handbook,domain grounding,Routledge Handbook of Psychoanalytic Political Theory Yannis Stavrakakis (2),"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0025,P0,trilogy,"Book Trilogy - Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",technical mechanism,Deception Counterdeception and Counterintelligence Robert M. Clark et al,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0026,P0,trilogy,"Book Trilogy - Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",adversarial model,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),What adversary behavior or failure mode should the proof test?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0027,P0,trilogy,"Book Trilogy - Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",domain grounding,Intelligence and Information Policy for National Security Jan Goldman PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0028,P1,native-capstone-quantitative,Quantitative Capstone Workbench,method authority,Cooking as a Chemical Reaction Culinary Science With Experiments Z. Sibel Ozilgen,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0029,P1,native-capstone-quantitative,Quantitative Capstone Workbench,technical mechanism,Experiments on Mass Communication C. I. Hovland et al,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0030,P1,native-capstone-quantitative,Quantitative Capstone Workbench,evaluation standard,OceanofPDF.com Experiments on Mass Communication C I Hovland PDOC,What observable pass/fail condition does this source justify?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0031,P1,native-aigov-nav,AI Governance Navigator,technical mechanism,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0032,P1,native-aigov-nav,AI Governance Navigator,counter-source or limitation,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),"What claim must be narrowed, qualified, or held back unless further evidence appears?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0033,P1,native-aigov-nav,AI Governance Navigator,method authority,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0034,P1,row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,method authority,"No Place for Russia European Security Institutions Since 1989 Hill, William H","What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0035,P1,row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,technical mechanism,The Routledge Handbook of European Security Law and Policy Elena Conde et al,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0036,P1,row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,counter-source or limitation,The Routledge Handbook of European Security Law and Policy Elena Conde et al (2),"What claim must be narrowed, qualified, or held back unless further evidence appears?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0037,P1,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method authority,A Military Atlas of the First World War Arthur S. Banks et al,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0038,P1,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,technical mechanism,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0039,P1,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,counter-source or limitation,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"What claim must be narrowed, qualified, or held back unless further evidence appears?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0040,P1,native-iscproposals,Counterintelligence Surveillance Framework,adversarial model,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,What adversary behavior or failure mode should the proof test?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0041,P1,native-iscproposals,Counterintelligence Surveillance Framework,counter-source or limitation,National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva,"What claim must be narrowed, qualified, or held back unless further evidence appears?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0042,P1,native-iscproposals,Counterintelligence Surveillance Framework,domain grounding,"No Place for Russia European Security Institutions Since 1989 Hill, William H","What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0043,P1,native-aiintel-cycle,AI Intelligence Cycle,method authority,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006),"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0044,P1,native-aiintel-cycle,AI Intelligence Cycle,technical mechanism,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (2),"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0045,P1,native-aiintel-cycle,AI Intelligence Cycle,domain grounding,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3),"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0046,P1,native-aiknowledge-prod,AI Knowledge Production,method authority,DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0047,P1,native-aiknowledge-prod,AI Knowledge Production,technical mechanism,DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0048,P1,native-aiknowledge-prod,AI Knowledge Production,domain grounding,"DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown","What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0049,P1,native-aimodel-assess,AI Model Assessment,method authority,2020 10 06 homeland threat assessment,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0050,P1,native-aimodel-assess,AI Model Assessment,technical mechanism,2020 10 06 homeland threat assessment PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0051,P1,native-aimodel-assess,AI Model Assessment,evaluation standard,A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,What observable pass/fail condition does this source justify?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0052,P1,native-aiosintnarr,AI OSINT Narrative Analysis,method authority,A Companion to Narrative Theory James Phelan et al,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0053,P1,native-aiosintnarr,AI OSINT Narrative Analysis,technical mechanism,A Companion to Narrative Theory James Phelan et al (2),"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0054,P1,native-aiosintnarr,AI OSINT Narrative Analysis,domain grounding,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0055,P1,native-aiprompt-eng,AI Prompt Engineering,method authority,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0056,P1,native-aiprompt-eng,AI Prompt Engineering,technical mechanism,Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0057,P1,native-aiprompt-eng,AI Prompt Engineering,domain grounding,"Workforce Development and Intelligence Analysis for National Security Purposes Proceedings of a Workshop National Academies of Sciences, Engineering et al","What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0058,P1,native-aishared-instruments,AI Shared Instruments,method authority,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0059,P1,native-aishared-instruments,AI Shared Instruments,technical mechanism,Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0060,P1,native-aishared-instruments,AI Shared Instruments,domain grounding,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0061,P1,native-aisatvis,AI Structured Analysis Visualization,method authority,Pherso Counterintelligence Structured Analytic Techniques,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0062,P1,native-aisatvis,AI Structured Analysis Visualization,technical mechanism,A Tradecraft Primer Structured Analytic Techniques,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0063,P1,native-aisatvis,AI Structured Analysis Visualization,domain grounding,A Tradecraft Primer Structured Analytic Techniques (2),"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0064,P1,applied-history,Applied History - lab for using historical case study to inform contemporary policy,technical mechanism,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0065,P1,applied-history,Applied History - lab for using historical case study to inform contemporary policy,counter-source or limitation,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,"What claim must be narrowed, qualified, or held back unless further evidence appears?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
