crosswalk_id,project_id,project_title,component,component_source_role,assigned_source_candidate,source_use_action,close_read_task,proof_gate_check,claim_ceiling,current_source_status
CW-0011,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / An Abstract,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / An Abstract.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / An Abstract.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0012,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Methods Section,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Methods Section.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Methods Section.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0013,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / A 243,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / A 243.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / A 243.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0014,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Item Shared Intelligence Dataset Described In The Manuscript,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Item Shared Intelligence Dataset Described In The Manuscript.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Item Shared Intelligence Dataset Described In The Manuscript.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0015,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / team/blue,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / team/blue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / team/blue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0016,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Team Role Architecture,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Team Role Architecture.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Team Role Architecture.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0017,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / China and Russia target datasets,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / China and Russia target datasets.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / China and Russia target datasets.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0018,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Runtime Or Interface Surface",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Runtime Or Interface Surface.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Runtime Or Interface Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0019,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Data And State Model",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Data And State Model.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Data And State Model.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0020,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Core Instrument Panel",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Core Instrument Panel.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Core Instrument Panel.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0021,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Workflow Orchestration",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Workflow Orchestration.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Workflow Orchestration.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0022,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Review And Governance Gate",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Review And Governance Gate.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Review And Governance Gate.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0023,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Export Or Integration Surface",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Export Or Integration Surface.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Export Or Integration Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0024,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Build Verification Queue",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Build Verification Queue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Build Verification Queue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0025,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Meridian Network",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Meridian Network.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Meridian Network.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0026,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Operation GRAY DAWN",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Operation GRAY DAWN.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Operation GRAY DAWN.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0027,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Caracas Question",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Caracas Question.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Caracas Question.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0028,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / A Georgetown Applied Intelligence",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / A Georgetown Applied Intelligence.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / A Georgetown Applied Intelligence.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0029,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Counterintelligence",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Counterintelligence.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Counterintelligence.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0030,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Crisis Management",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Crisis Management.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Analytical Methodology — eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface / Crisis Management.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
