project_id,project_title,project_kind,proof_tier,source_priority,source_strategy,component_count,routed_source_count,source_role_coverage,top_source_candidates,source_gap,next_source_actions,claim_rule
native-aigov-nav,AI Governance Navigator,navigation / governance instrument,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,policy / governance proposal,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"No Place for Russia European Security Institutions Since 1989 Hill, William H | The Routledge Handbook of European Security Law and Policy Elena Conde et al | The Routledge Handbook of European Security Law and Policy Elena Conde et al (2) | the routledge handbook of european security law and policy 9781138609990 9780429465918 compress","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method atlas / taxonomy,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"A Military Atlas of the First World War Arthur S. Banks et al | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods, Practices, Tactics, and Techniques Robert J. Girod Sr.","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-iscproposals,Counterintelligence Surveillance Framework,policy / governance proposal,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC | National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva | No Place for Russia European Security Institutions Since 1989 Hill, William H | The Routledge Handbook of European Security Law and Policy Elena Conde et al","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-aiintel-cycle,AI Intelligence Cycle,AI assurance / analysis room,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) | (Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (2) | (Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3) | (Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (4),"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-aiknowledge-prod,AI Knowledge Production,AI assurance / analysis room,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown (2)","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-aimodel-assess,AI Model Assessment,AI assurance / analysis room,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,2020 10 06 homeland threat assessment | 2020 10 06 homeland threat assessment PDOC | A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC | A Guide to Clinical Assessment and Professional Report Writing in Speech Language Pathology Cyndi Stein Rubin et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-aiosintnarr,AI OSINT Narrative Analysis,AI assurance / analysis room,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,A Companion to Narrative Theory James Phelan et al | A Companion to Narrative Theory James Phelan et al (2) | A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC | A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-aiprompt-eng,AI Prompt Engineering,AI assurance / analysis room,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,3,4,"OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Workforce Development and Intelligence Analysis for National Security Purposes Proceedings of a Workshop National Academies of Sciences, Engineering et al","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-aishared-instruments,AI Shared Instruments,AI assurance / analysis room,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,2,4,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-aisatvis,AI Structured Analysis Visualization,AI assurance / analysis room,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software,source-backed-proof-build,P1,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,17,6,4,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-mideast,Ottoman Palestine and Early Zionism,research workflow software,source-backed-proof-build,P1,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,17,6,4,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC | Creativity Research Nik Murano,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-atanalysis,Analysis Tradecraft,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-cmanalysis,Collection Management Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
row8,Counter-Terror Analysis - 13-page counter-terror analytical narrative arc,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-cianalysis,Counterintelligence Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-coanalysis,Counterintelligence Operations Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,"Pherso Counterintelligence Structured Analytic Techniques | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods, Practices, Tactics, and Techniques Robert J. Girod Sr.","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-cyanalysis,Cyber Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-ddianalysis,Directorate Analysis Method,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-etanalysis,Emerging Technology Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-fwanalysis,Foreign Warning Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-hsanalysis,Homeland Security Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-icanalysis,Intelligence Community Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-psanalysis,Political Strategy Analysis,structured analysis room,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
native-wargaming,Alliance Crisis Wargaming,strategic simulation / planning tool,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936-1991 Willard C. Matthias | Basic Methods of Policy Analysis and Planning Carl V. Patton et al","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
