project_id,product_name,project_kind,build_mode,instrument_count,acceptance_test_count,package_operational_slice_built,full_underlying_system_complete,engine_href,runner_href
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-dialectic-engine-room-pass1-handoff/engine_spec.json,runner.html?project=mb-dialectic-engine-room-pass1-handoff
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",master-bundle artifact / archive router,research publication build,4,4,yes,no,project_engines/mb-georgetown-technique-registry-master-50-bundle/engine_spec.json,runner.html?project=mb-georgetown-technique-registry-master-50-bundle
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-narrative-furnace-handoff-pack-2026-04-14/engine_spec.json,runner.html?project=mb-narrative-furnace-handoff-pack-2026-04-14
native-russia-security-desk,Russia Security Desk,research workflow software,software or application build,4,4,yes,no,project_engines/native-russia-security-desk/engine_spec.json,runner.html?project=native-russia-security-desk
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method atlas / taxonomy,analytic instrument build,4,3,yes,no,project_engines/bias-atlas/engine_spec.json,runner.html?project=bias-atlas
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/genocide-lab/engine_spec.json,runner.html?project=genocide-lab
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,master-bundle artifact / archive router,manuscript and publication system,4,4,yes,no,project_engines/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/engine_spec.json,runner.html?project=mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-red-team-prism-observatory-handoff-package-v1/engine_spec.json,runner.html?project=mb-muranoos-red-team-prism-observatory-handoff-package-v1
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-red-team-proper-handoff-package-pass-1/engine_spec.json,runner.html?project=mb-muranoos-red-team-proper-handoff-package-pass-1
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-redteamlab-packet1-proper-handoff-done/engine_spec.json,runner.html?project=mb-redteamlab-packet1-proper-handoff-done
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-six-project-hardening-handoff-done-v1/engine_spec.json,runner.html?project=mb-six-project-hardening-handoff-done-v1
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-speechwriting-handoff-packet/engine_spec.json,runner.html?project=mb-speechwriting-handoff-packet
native-aifailure-tax,AI Failure Taxonomy,method atlas / taxonomy,analytic instrument build,4,3,yes,no,project_engines/native-aifailure-tax/engine_spec.json,runner.html?project=native-aifailure-tax
native-aimodel-assess,AI Model Assessment,AI assurance / analysis room,source governance build,4,3,yes,no,project_engines/native-aimodel-assess/engine_spec.json,runner.html?project=native-aimodel-assess
native-aiosintnarr,AI OSINT Narrative Analysis,AI assurance / analysis room,source governance build,4,3,yes,no,project_engines/native-aiosintnarr/engine_spec.json,runner.html?project=native-aiosintnarr
native-hsanalysis,Homeland Security Analysis,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/native-hsanalysis/engine_spec.json,runner.html?project=native-hsanalysis
native-wargaming,Alliance Crisis Wargaming,strategic simulation / planning tool,source governance build,4,3,yes,no,project_engines/native-wargaming/engine_spec.json,runner.html?project=native-wargaming
planning,"Development Process - how projects move from idea to built, reviewed work",public project blueprint,source governance build,4,3,yes,no,project_engines/planning/engine_spec.json,runner.html?project=planning
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",research workflow software,software or application build,4,4,yes,no,project_engines/regional-studies/engine_spec.json,runner.html?project=regional-studies
row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",AI assurance / analysis room,source governance build,4,3,yes,no,project_engines/row3/engine_spec.json,runner.html?project=row3
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,strategic simulation / planning tool,source governance build,4,3,yes,no,project_engines/wargaming/engine_spec.json,runner.html?project=wargaming
warrant-chamber,Source & Evidence Review - tracking what supports each claim and what still needs review,software operating environment,software or application build,4,4,yes,no,project_engines/warrant-chamber/engine_spec.json,runner.html?project=warrant-chamber
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-ukraine-handoff-packet/engine_spec.json,runner.html?project=mb-ukraine-handoff-packet
mb-hearthglass-handoff-v1,HearthGlass,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-hearthglass-handoff-v1/engine_spec.json,runner.html?project=mb-hearthglass-handoff-v1
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-isc-symposium-command-room-handoff-pass3-done/engine_spec.json,runner.html?project=mb-isc-symposium-command-room-handoff-pass3-done
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-red-team-handoff-hardened-2026-04-15/engine_spec.json,runner.html?project=mb-muranoos-red-team-handoff-hardened-2026-04-15
mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-red-team-handoff-package-v1-2026-04-11/engine_spec.json,runner.html?project=mb-muranoos-red-team-handoff-package-v1-2026-04-11
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-the-interval-chamber-of-refraction-handoff-v1/engine_spec.json,runner.html?project=mb-the-interval-chamber-of-refraction-handoff-v1
native-london,Colonial Archive Explorer,archive / packet router,source governance build,4,4,yes,no,project_engines/native-london/engine_spec.json,runner.html?project=native-london
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",research workflow software,software or application build,4,4,yes,no,project_engines/analytical-methodology/engine_spec.json,runner.html?project=analytical-methodology
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,structured analysis room,research publication build,4,4,yes,no,project_engines/capstone-orig/engine_spec.json,runner.html?project=capstone-orig
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-ar-sat-room-handoff-v0-1/engine_spec.json,runner.html?project=mb-ar-sat-room-handoff-v0-1
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-cia-do-career-handoff-v1/engine_spec.json,runner.html?project=mb-cia-do-career-handoff-v1
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-counter-idiom-lab-proper-handoff-done/engine_spec.json,runner.html?project=mb-counter-idiom-lab-proper-handoff-done
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-foreign-affairs-lexicon-handoff-v1/engine_spec.json,runner.html?project=mb-foreign-affairs-lexicon-handoff-v1
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-georgetown-ic-handoff-done/engine_spec.json,runner.html?project=mb-georgetown-ic-handoff-done
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-gotham-lossless-replacement-archive-2026-04-15/engine_spec.json,runner.html?project=mb-gotham-lossless-replacement-archive-2026-04-15
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-ic-analyst-portfolio-handoff-pass1/engine_spec.json,runner.html?project=mb-ic-analyst-portfolio-handoff-pass1
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-individual-democratic-dialectic-final-handoff-done/engine_spec.json,runner.html?project=mb-individual-democratic-dialectic-final-handoff-done
mb-internal-operating-support-003,Internal Operating Support Packet 003,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-003/engine_spec.json,runner.html?project=mb-internal-operating-support-003
mb-internal-operating-support-004,Internal Operating Support Packet 004,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-004/engine_spec.json,runner.html?project=mb-internal-operating-support-004
mb-internal-operating-support-007,Internal Operating Support Packet 007,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-007/engine_spec.json,runner.html?project=mb-internal-operating-support-007
mb-internal-operating-support-008,Internal Operating Support Packet 008,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-008/engine_spec.json,runner.html?project=mb-internal-operating-support-008
mb-internal-operating-support-011,Internal Operating Support Packet 011,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-011/engine_spec.json,runner.html?project=mb-internal-operating-support-011
mb-internal-operating-support-012,Internal Operating Support Packet 012,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-012/engine_spec.json,runner.html?project=mb-internal-operating-support-012
mb-internal-operating-support-015,Internal Operating Support Packet 015,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-015/engine_spec.json,runner.html?project=mb-internal-operating-support-015
mb-internal-operating-support-016,Internal Operating Support Packet 016,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-016/engine_spec.json,runner.html?project=mb-internal-operating-support-016
mb-internal-operating-support-019,Internal Operating Support Packet 019,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-019/engine_spec.json,runner.html?project=mb-internal-operating-support-019
mb-internal-operating-support-020,Internal Operating Support Packet 020,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-020/engine_spec.json,runner.html?project=mb-internal-operating-support-020
mb-internal-operating-support-023,Internal Operating Support Packet 023,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-023/engine_spec.json,runner.html?project=mb-internal-operating-support-023
mb-internal-operating-support-024,Internal Operating Support Packet 024,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-024/engine_spec.json,runner.html?project=mb-internal-operating-support-024
mb-internal-operating-support-027,Internal Operating Support Packet 027,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-027/engine_spec.json,runner.html?project=mb-internal-operating-support-027
mb-internal-operating-support-028,Internal Operating Support Packet 028,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-028/engine_spec.json,runner.html?project=mb-internal-operating-support-028
mb-internal-operating-support-031,Internal Operating Support Packet 031,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-031/engine_spec.json,runner.html?project=mb-internal-operating-support-031
mb-internal-operating-support-032,Internal Operating Support Packet 032,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-032/engine_spec.json,runner.html?project=mb-internal-operating-support-032
mb-internal-operating-support-035,Internal Operating Support Packet 035,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-035/engine_spec.json,runner.html?project=mb-internal-operating-support-035
mb-internal-operating-support-036,Internal Operating Support Packet 036,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-internal-operating-support-036/engine_spec.json,runner.html?project=mb-internal-operating-support-036
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-culinary-atelier-handoff-package-2026-04-15/engine_spec.json,runner.html?project=mb-muranoos-culinary-atelier-handoff-package-2026-04-15
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-redteam-tranche1-handoff-2026-04-15/engine_spec.json,runner.html?project=mb-muranoos-redteam-tranche1-handoff-2026-04-15
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-sophisticated-expression-lexicon-handoff/engine_spec.json,runner.html?project=mb-sophisticated-expression-lexicon-handoff
native-atanalysis,Analysis Tradecraft,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/native-atanalysis/engine_spec.json,runner.html?project=native-atanalysis
native-cianalysis,Counterintelligence Analysis,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/native-cianalysis/engine_spec.json,runner.html?project=native-cianalysis
native-cmanalysis,Collection Management Analysis,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/native-cmanalysis/engine_spec.json,runner.html?project=native-cmanalysis
native-coanalysis,Counterintelligence Operations Analysis,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/native-coanalysis/engine_spec.json,runner.html?project=native-coanalysis
native-cyanalysis,Cyber Analysis,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/native-cyanalysis/engine_spec.json,runner.html?project=native-cyanalysis
