project_id,product_name,component_runs,package_verifiable_runs,instrumented_runs_needing_capture,source_or_passage_gated_runs,strongest_next_proof_action
native-cyanalysis,Cyber Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-ddianalysis,Directorate Analysis Method,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-east-asia,East Asian War and Strategic Tradition,17,17,0,3,Complete the linked source passage update and revise operation_to_run and source_bound_test.
native-etanalysis,Emerging Technology Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-fwanalysis,Foreign Warning Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-hsanalysis,Homeland Security Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-icanalysis,Intelligence Community Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-mideast,Ottoman Palestine and Early Zionism,17,17,0,3,Complete the linked source passage update and revise operation_to_run and source_bound_test.
native-mongol,Mongol Empire Military Systems,17,17,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
native-peace,Track II Diplomacy and Peacebuilding,17,17,0,3,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-psanalysis,Political Strategy Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-russia,Russia,17,17,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
native-war-theory,War Theory and Strategic Culture,17,17,0,3,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-wargaming,Alliance Crisis Wargaming,17,17,0,0,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review."
native-western,Western Political Thought and the Ideal State,17,17,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
planning,"Development Process - how projects move from idea to built, reviewed work",17,17,0,0,Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,17,17,0,0,"Add one source-to-judgment chain: source family, analytic variable, competing interpretation, confidence boundary, and policy implication."
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",17,17,0,0,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
row1,Quantitative Capstone - quantitative arm of the AI-corruption capstone study,17,17,0,3,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication."
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,17,17,0,0,"Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger."
row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),17,17,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
row8,Counter-Terror Analysis - 13-page counter-terror analytical narrative arc,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,17,17,0,0,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,17,16,1,3,"Capture a live or simulated run for state transition proof record; preserve fixture, trace, output, acceptance result, and claim boundary."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,17,15,2,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",17,15,2,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,17,15,2,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,17,14,3,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,17,14,3,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,17,13,4,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,17,13,4,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",17,12,5,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,17,12,5,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",11,11,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),17,11,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
native-iscproposals,Counterintelligence Surveillance Framework,17,11,6,3,"Capture a live or simulated run for implementation scenario trace; preserve fixture, trace, output, acceptance result, and claim boundary."
native-murano,MuranoOS Research Operating Environment,11,11,0,0,"Show MuranoOS as a research operating environment that builds workstations, not as a private dashboard."
native-trilogy-showcase,Book Trilogy Showcase,11,11,0,0,"Add chapter-level dossiers showing title logic, argument skeleton, source role, rewrite decision, and visual specificity for representative chapters."
native-trilogy-showcase-atlas,Book Trilogy Atlas,11,11,0,0,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation."
personal-os,"Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation",11,11,0,0,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
trilogy,Book Trilogy Manuscript Governance System,11,11,0,0,"Show the 72-chapter trilogy as a governed manuscript system: argument, source, title, visual identity, and chapter handoff."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",10,10,0,0,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,17,10,7,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",17,10,7,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,10,10,0,0,"Show Magnum Opus as a local scholarly warrant system, not merely a query interface."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,10,10,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,9,9,0,0,"Build the adversarial replay as a visible chain so the project is understood as retrieval-security engineering, not a general AI-risk page."
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,9,9,0,0,"Use the annex as a future-work technical architecture, not as completed empirical results."
analytical-methods,Structured Analytic Technique Studio,8,8,0,0,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
native-analyst-assurance-desk,Analyst Assurance Desk,8,8,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
native-russia-history-room,Russia Historical Context Room,8,8,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
row10,Structured Human-AI Analyst Workstation,8,8,0,0,Demonstrate exactly what human structured analysis changed in an AI-supported analytic workflow.
russia-desk,Russia Source-To-Judgment Desk,8,8,0,0,Show how the desk converts regional knowledge into bounded analytic judgments rather than commentary.
structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,8,8,0,0,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,11,7,4,3,"Capture a live or simulated run for implementation scenario trace; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,17,6,11,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
native-russia-security-desk,Russia Security Desk,8,6,2,3,Complete the linked source passage update and revise operation_to_run and source_bound_test.
mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),17,5,12,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",17,5,12,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces × 10 modes; claim-evidence-confidence governance,17,5,12,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,17,5,12,3,"Capture a live or simulated run for state transition proof record; preserve fixture, trace, output, acceptance result, and claim boundary."
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,9,5,4,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,9,5,4,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,17,4,13,3,"Capture a live or simulated run for state transition proof record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,17,4,13,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
native-london,Colonial Archive Explorer,17,4,13,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-hearthglass-handoff-v1,HearthGlass,17,3,14,3,Complete the linked source passage update and revise inspection_protocol and acceptance_test.
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,17,3,14,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,17,3,14,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
warrant-chamber,Source & Evidence Review - tracking what supports each claim and what still needs review,3,3,0,0,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,17,2,15,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),17,2,15,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,17,2,15,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,17,2,15,3,Complete the linked source passage update and revise inspection_protocol and acceptance_test.
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,17,2,15,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,17,2,15,3,Complete the linked source passage update and revise inspection_protocol and acceptance_test.
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,17,2,15,3,"Capture a live or simulated run for state transition proof record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",17,2,15,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,17,1,16,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,17,1,16,3,Complete the linked source passage update and revise inspection_protocol and acceptance_test.
mb-internal-operating-support-003,Internal Operating Support Packet 003,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-004,Internal Operating Support Packet 004,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-007,Internal Operating Support Packet 007,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-008,Internal Operating Support Packet 008,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-011,Internal Operating Support Packet 011,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-012,Internal Operating Support Packet 012,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-015,Internal Operating Support Packet 015,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-016,Internal Operating Support Packet 016,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-019,Internal Operating Support Packet 019,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-020,Internal Operating Support Packet 020,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-023,Internal Operating Support Packet 023,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-024,Internal Operating Support Packet 024,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-027,Internal Operating Support Packet 027,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-028,Internal Operating Support Packet 028,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-031,Internal Operating Support Packet 031,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-032,Internal Operating Support Packet 032,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-035,Internal Operating Support Packet 035,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-036,Internal Operating Support Packet 036,7,1,6,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),17,1,16,3,"Capture a live or simulated run for state transition proof record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,17,1,16,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
native-portfolio-index,Full Project Catalogue,17,1,16,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),17,0,17,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",17,0,17,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),17,0,17,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,17,0,17,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-fractal-keep-handoff-v1,Fractal Keep,17,0,17,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,17,0,17,3,"Capture a live or simulated run for state transition proof record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-infragard-handoff,InfraGard preparatory note (minimal),7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-insinuationengineroom-handoff-done,Insinuation Engine,17,0,17,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-001,Internal Operating Support Packet 001,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-002,Internal Operating Support Packet 002,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-005,Internal Operating Support Packet 005,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-006,Internal Operating Support Packet 006,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-009,Internal Operating Support Packet 009,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-010,Internal Operating Support Packet 010,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-013,Internal Operating Support Packet 013,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-014,Internal Operating Support Packet 014,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
mb-internal-operating-support-017,Internal Operating Support Packet 017,7,0,7,3,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary."
