execution_run_id,proof_capsule_id,project_id,product_name,proof_artifact,package_verification_result,next_strengthening_action,claim_allowed_now
PER-1F5127920B77,PC-B010EA75F5BE,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-431476814856,PC-93054FEFBDED,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,state transition proof record,instrumented proof run awaiting live capture,"Capture a live or simulated run for state transition proof record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-AAC0F7921AC0,PC-EC361DAEE76C,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise operation_to_run and source_bound_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-C03A209D9941,PC-D3511025A79C,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise operation_to_run and source_bound_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-101B53BB9682,PC-D0262FB302C7,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise operation_to_run and source_bound_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-FDC3D44E951A,PC-B7E0B53B9B4B,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise operation_to_run and source_bound_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-6E0273A142C2,PC-D953A527EE66,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise operation_to_run and source_bound_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-A653C32E2EF2,PC-F852A8DCC1F1,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise operation_to_run and source_bound_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-0268F6900606,PC-0D6B67C3918D,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,implementation scenario trace,instrumented proof run awaiting live capture,"Capture a live or simulated run for implementation scenario trace; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-2AE95D1C58AC,PC-F2089FBB015E,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,implementation scenario trace,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-614C325F4B21,PC-8D1F811117E3,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,implementation scenario trace,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-D00CC76A23D2,PC-9ACBDAA486A4,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,implementation scenario trace,instrumented proof run awaiting live capture,"Capture a live or simulated run for implementation scenario trace; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-CEE8B3E6A8BB,PC-AD8F197FBB53,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,implementation scenario trace,instrumented proof run awaiting live capture,"Capture a live or simulated run for implementation scenario trace; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-D276A781AB6D,PC-A8B61CC4306A,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,implementation scenario trace,instrumented proof run awaiting live capture,"Capture a live or simulated run for implementation scenario trace; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-5BE844B45171,PC-DC2B91E40927,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,implementation scenario trace,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-5B7EF05FE79E,PC-94A04DA7E577,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-2CD0130B1F4D,PC-81D915971C01,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-BA16D1DA5C00,PC-0F30893502DD,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-8D42251AF051,PC-83AFB2D2D3E6,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-F23B4B7964E4,PC-C28BF8805C85,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-1E19A7B5C935,PC-C73C80B107F0,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-A7BE5E89D24F,PC-DD5BEAA93744,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-50A7E2861797,PC-148ABA1AFB8C,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-0853FF9A47E7,PC-538C88BDABFB,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-083DA8381A6F,PC-429E8354930E,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-20081FFC1ADB,PC-645BCEB35BCA,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-75A68885E695,PC-D24904AF391F,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-60149640E740,PC-58D53067E886,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-AFEC4FAB02D3,PC-D6B0DE7E1D5B,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-16B12EAF7451,PC-313A33A7752C,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-F273C8A006F9,PC-98E2F95EA10A,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-8D88AA7900DC,PC-C52DA55C744F,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-06102BF3D1AE,PC-D9C8A366C181,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-10BC9224FB90,PC-B7BF43F8B76F,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-3FE6422C6CCE,PC-058518C9FF13,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-032E04B3CAB5,PC-BF6747CE9A2F,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-12E5BC1B0586,PC-67DCEAFF9F95,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-DBDF70F3C447,PC-CF61EF0B2001,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-BDCBEE16A312,PC-A55A3B4DE05B,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-4E571459616B,PC-C3E5D5E2C1FB,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-5E40F41CDC4A,PC-E5384B6E8874,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-5E7F95ACFDD0,PC-3AC009BC1E93,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-EBA0DB5346FC,PC-E8E9EECA040B,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-26F59F476D8B,PC-888D0E6DC9EB,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-585339289000,PC-05F568E713FA,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-3AA96B8727F7,PC-9574289E664E,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-17CF5165B401,PC-D5EE0E2E25EB,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-F70760338047,PC-C7E7D3407AA6,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-356442B12A01,PC-5737561054BE,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-8949E568FAEE,PC-E4D038DC236E,mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-CC98CEBC7E16,PC-E6B223C15E66,mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-90C579F0DA78,PC-F2FCA578CF66,mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-C0C242E8D62B,PC-56F8B23DD808,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-3699A50484F6,PC-427D9791877E,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-B8C0A0D83BC2,PC-D1354C3966BE,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-CBBF192728BB,PC-EAEB58E41F48,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-65E4AE733990,PC-3F2BDEB2E415,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-08FA7B7460DC,PC-DF8901136774,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-E8C75361231F,PC-EA41F1AE81AF,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-69321D491A1E,PC-5B1757B3ACCC,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-C49BE5A0AC17,PC-5DF6F515B399,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-8BB999EB809E,PC-6E533D78BB8C,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-85C09B37EEE5,PC-54A39D066202,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-566DA1637DC8,PC-4F3051AFB8F6,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-E3DBC5755EF2,PC-DBE24ADC1962,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-C9AC6AF6FE55,PC-286EA25407B0,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-8D86F80C3792,PC-A9DFA24800AA,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-42F5E6C86B77,PC-0406BAA42EED,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-99AD85F61DA5,PC-7D20E098D20A,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-6E6C1842D253,PC-D481AE1B7AAC,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-3D749D7ABBEB,PC-DA0C1D4D0F40,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-94E00A9FEF2A,PC-FF59B8BCCBB0,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-8EEF9689E31D,PC-A4FEF1B1E6F1,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-A9741BA9D005,PC-8977476EE6AA,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-2CC5F3DDB7D9,PC-7565F65B9060,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-F7F260A9B004,PC-DA23A0D8CA37,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-B8B7A9660872,PC-E6FD51887BA3,mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-14AEB301FA4A,PC-F48FFE2427E1,mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
