project_id,project_title,product_name,project_kind,final_object_type,runtime_target,operational_end_state,build_tranche,priority_score,proof_tier,component_count,core_modules,source_strategy,source_requirement,source_gap,test_suite,current_build_status,proof_to_full_build_gap,first_full_build,next_implementation_steps,claim_boundary
master-bundle-atlas,Master Bundle Atlas - 152 source and handoff packets,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,source packet governance and project-routing system,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields","A large archive can be converted into governed build inputs by assigning each packet identity, source state, authority, project route, and next action.",T1 flagship operational demonstrator,81.7,source-backed-proof-build,17,packet registry | extraction status | authority and supersession classifier | duplicate-risk checker | project route selector | promotion decision board,"Use sources to govern packet promotion: identity, provenance, extraction status, authority level, project route, duplicate risk, and the next build decision for each bundle item.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | promotion test: item cannot advance without identity, authority, route, and next action",source-backed proof build; needs source-to-output capture and close-read strengthening,Bind at least one close-read source to one output-changing component and capture the source-to-output trace.,Run one packet through canonical/derivative/archive/build-now classification and capture the next action.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments","Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software,research workflow software module,local-first web application or desktop module with persistent project state,"A researcher can enter a project, use named instruments, observe state changes, and export a governed work product.",T2 platform module,66.1,specified-proof-plan-needs-demo,11,state model | instrument action | before/after trace | export gate,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
personal-os,"Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation","Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation",software operating environment,research workflow software module,local-first web application or desktop module with persistent project state,"A researcher can enter a project, use named instruments, observe state changes, and export a governed work product.",T2 platform module,66.1,specified-proof-plan-needs-demo,11,state model | instrument action | before/after trace | export gate,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy","Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",research workflow software,research workflow software module,local-first web application or desktop module with persistent project state,"A researcher can enter a project, use named instruments, observe state changes, and export a governed work product.",T2 platform module,66.0,specified-proof-plan-needs-demo,10,state model | instrument action | before/after trace | export gate,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,retrieval / evidence software,retrieval or evidence-evaluation platform,local-first web application or desktop module with persistent project state,"A reviewer can inspect what the project is, what it produces, what is built now, and what must be built next.",T2 platform module,66.0,specified-proof-plan-needs-demo,10,fixture registry | retrieval trace | answer comparator | defense decision,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,retrieval / evidence software,retrieval or evidence-evaluation platform,local-first web application or desktop module with persistent project state,"A reviewer can inspect what the project is, what it produces, what is built now, and what must be built next.",T2 platform module,65.9,specified-proof-plan-needs-demo,9,fixture registry | retrieval trace | answer comparator | defense decision,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,retrieval / evidence software,retrieval or evidence-evaluation platform,local-first web application or desktop module with persistent project state,"A reviewer can inspect what the project is, what it produces, what is built now, and what must be built next.",T2 platform module,65.9,specified-proof-plan-needs-demo,9,fixture registry | retrieval trace | answer comparator | defense decision,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia-history-room,Russia Historical Context Room,Russia Historical Context Room,research workflow software,research workflow software module,local-first web application or desktop module with persistent project state,"A researcher can enter a project, use named instruments, observe state changes, and export a governed work product.",T2 platform module,65.8,specified-proof-plan-needs-demo,8,state model | instrument action | before/after trace | export gate,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia-security-desk,Russia Security Desk,Russia Security Desk,research workflow software,research workflow software module,local-first web application or desktop module with persistent project state,"A researcher can enter a project, use named instruments, observe state changes, and export a governed work product.",T2 platform module,65.8,specified-proof-plan-needs-demo,8,state model | instrument action | before/after trace | export gate,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,retrieval / evidence software,retrieval or evidence-evaluation platform,local-first web application or desktop module with persistent project state,"A reviewer can inspect what the project is, what it produces, what is built now, and what must be built next.",T2 platform module,65.8,specified-proof-plan-needs-demo,8,fixture registry | retrieval trace | answer comparator | defense decision,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces,specified proof plan; needs live or replayable demonstrator,Build the first runnable or inspectable demo rather than leaving the project at protocol level.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,master-bundle artifact / archive router,research workflow software module,local-first web application or desktop module with persistent project state,"A researcher can enter a project, use named instruments, observe state changes, and export a governed work product.",T2 platform module,56.7,source-backed-proof-build,17,state model | instrument action | before/after trace | export gate,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,source-backed proof build; needs source-to-output capture and close-read strengthening,Bind at least one close-read source to one output-changing component and capture the source-to-output trace.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"This is a full-build plan, not a claim that the full operational system has already been completed."
