fixture_id,project_id,product_name,object_family,operationalization_score,first_run_action,expected_output,falsifier,kit_href,completion_status
NOF-B61429581353,russia-desk,Russia Source-To-Judgment Desk,software/app,92,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/russia-desk/index.html,kit_built_execution_not_yet_captured
NOF-34CC9A2E6472,trilogy,Book Trilogy Manuscript Governance System,manuscript/publication,92,"Recover the argument skeleton, apply the project register, attach sources or source gaps, and produce a revision-ready section packet.","A manuscript unit with argument backbone, prose target, source boundary, continuity check, and revision instruction.","The fixture fails if the text is only summarized, if source gaps are hidden, or if the argument role is not preserved.",fixture_kits/trilogy/index.html,kit_built_execution_not_yet_captured
NOF-9DAC8D0BC3D3,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",software/app,91,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/analytical-methodology/index.html,kit_built_execution_not_yet_captured
NOF-6316F10F74C1,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/bias-atlas/index.html,kit_built_execution_not_yet_captured
NOF-90E4E5AC8BB9,genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/genocide-lab/index.html,kit_built_execution_not_yet_captured
NOF-3A7729108F34,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,manuscript/publication,91,"Recover the argument skeleton, apply the project register, attach sources or source gaps, and produce a revision-ready section packet.","A manuscript unit with argument backbone, prose target, source boundary, continuity check, and revision instruction.","The fixture fails if the text is only summarized, if source gaps are hidden, or if the argument role is not preserved.",fixture_kits/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/index.html,kit_built_execution_not_yet_captured
NOF-507EB3ED3CDB,native-aifailure-tax,AI Failure Taxonomy,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-aifailure-tax/index.html,kit_built_execution_not_yet_captured
NOF-35DC793BD921,native-aimodel-assess,AI Model Assessment,source/archive governance,91,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-aimodel-assess/index.html,kit_built_execution_not_yet_captured
NOF-DAECF16F57DB,native-aiosintnarr,AI OSINT Narrative Analysis,source/archive governance,91,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-aiosintnarr/index.html,kit_built_execution_not_yet_captured
NOF-5ADB1A77681B,native-atanalysis,Analysis Tradecraft,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-atanalysis/index.html,kit_built_execution_not_yet_captured
NOF-F55615B19B5E,native-cmanalysis,Collection Management Analysis,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-cmanalysis/index.html,kit_built_execution_not_yet_captured
NOF-EBD54206717C,native-cyanalysis,Cyber Analysis,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-cyanalysis/index.html,kit_built_execution_not_yet_captured
NOF-9E03D1304310,native-ddianalysis,Directorate Analysis Method,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-ddianalysis/index.html,kit_built_execution_not_yet_captured
NOF-621928281FAA,native-etanalysis,Emerging Technology Analysis,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-etanalysis/index.html,kit_built_execution_not_yet_captured
NOF-492FDE97DB4B,native-fwanalysis,Foreign Warning Analysis,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-fwanalysis/index.html,kit_built_execution_not_yet_captured
NOF-231358029DB5,native-hsanalysis,Homeland Security Analysis,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-hsanalysis/index.html,kit_built_execution_not_yet_captured
NOF-739A1316BB57,native-icanalysis,Intelligence Community Analysis,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-icanalysis/index.html,kit_built_execution_not_yet_captured
NOF-C538A75BC6F9,native-psanalysis,Political Strategy Analysis,analytic instrument,91,"Apply the method rule, generate the structured output, score or review the result, and record a falsifier.","An analytical record with input, method action, output, review gate, confidence or limitation note, and falsification condition.",The fixture fails if the method does not change the analyst action or if there is no way to tell whether the result improved.,fixture_kits/native-psanalysis/index.html,kit_built_execution_not_yet_captured
NOF-05D945426B82,native-wargaming,Alliance Crisis Wargaming,source/archive governance,91,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-wargaming/index.html,kit_built_execution_not_yet_captured
NOF-F2BE0960E558,regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",software/app,91,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/regional-studies/index.html,kit_built_execution_not_yet_captured
NOF-38A51B09456A,wargaming,Wargaming - theater-level alliance-crisis wargame workbench,source/archive governance,91,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/wargaming/index.html,kit_built_execution_not_yet_captured
NOF-B0F0E4B678F4,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,software/app,80,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/decision-advantage-system/index.html,kit_built_execution_not_yet_captured
NOF-C3503E6A8938,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source/archive governance,78,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/critical-functions-observatory/index.html,kit_built_execution_not_yet_captured
NOF-2B09CAA9C2E3,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,source/archive governance,76,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-russia-security-handoff-packet-done/index.html,kit_built_execution_not_yet_captured
NOF-1B2FFD3DEBF1,mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,software/app,74,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/mb-dialectic-engine-room-pass1-handoff/index.html,kit_built_execution_not_yet_captured
NOF-CAC03EA352A7,native-russia-security-desk,Russia Security Desk,software/app,74,"Execute the workflow, preserve state, export or display the result, and record acceptance checks.","A visible result record containing input summary, action trace, output artifact, error state if any, and claim boundary.","The fixture fails if the workflow cannot be repeated, if output is not inspectable, or if the page only describes a system without demonstrating the operation.",fixture_kits/native-russia-security-desk/index.html,kit_built_execution_not_yet_captured
NOF-C196AD9ADC04,mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,source/archive governance,72,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-narrative-furnace-handoff-pack-2026-04-14/index.html,kit_built_execution_not_yet_captured
NOF-40FFA9C5C15E,mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),source/archive governance,70,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-redteamlab-proper-handoff-zip-2026-04-14/index.html,kit_built_execution_not_yet_captured
NOF-79E11D281B8C,mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,source/archive governance,67,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-six-project-hardening-handoff-done-v1/index.html,kit_built_execution_not_yet_captured
NOF-802A82FCE6C6,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",source/archive governance,67,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-speechwriting-handoff-packet/index.html,kit_built_execution_not_yet_captured
NOF-F038D166A29D,mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,source/archive governance,61,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-cognitive-firewalls-foundry-handoff-v1/index.html,kit_built_execution_not_yet_captured
NOF-E39277709BE2,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,source/archive governance,56,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-redteamlab-packet1-proper-handoff-done/index.html,kit_built_execution_not_yet_captured
NOF-072CC1FED20E,native-london,Colonial Archive Explorer,source/archive governance,56,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/native-london/index.html,kit_built_execution_not_yet_captured
NOF-B06D6DE98628,mb-hearthglass-handoff-v1,HearthGlass,source/archive governance,54,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-hearthglass-handoff-v1/index.html,kit_built_execution_not_yet_captured
NOF-EC36E1861350,mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,source/archive governance,54,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-isc-symposium-command-room-handoff-pass3-done/index.html,kit_built_execution_not_yet_captured
NOF-CDD746126471,mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,source/archive governance,54,"Classify the item, assign authority status, detect duplicate or supersession risk, route it to a project purpose, and set its claim ceiling.","A promotion record with identity, provenance, authority decision, route, source boundary, and next build action.","The fixture fails if an item can advance without identity, authority, route, and claim-ceiling fields.",fixture_kits/mb-the-interval-chamber-of-refraction-handoff-v1/index.html,kit_built_execution_not_yet_captured
