project_id,product_name,final_object_type,capsule_count,stage_distribution,execution_ready_capsules,instrumented_capsules,source_application_status,source_roles_assigned,distinctive_component_to_capture,what_distinctive_component_must_prove,observable_distinctive_output,next_project_proof_build,claim_boundary
native-aimodel-assess,AI Model Assessment,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI Model Assessment,"Select one artifact from AI Model Assessment and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiosintnarr,AI OSINT Narrative Analysis,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI OSINT Narrative Analysis,"Select one artifact from AI OSINT Narrative Analysis and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiprompt-eng,AI Prompt Engineering,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Room instrument transition proof: AI Prompt Engineering,"Select one room or instrument promise from AI Prompt Engineering and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,research project or professional workbench,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI Rigor Detection - framework that detects performative rigor in AI-...,"Select one artifact from AI Rigor Detection - framework that detects performative rigor in AI-generated an... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aishared-instruments,AI Shared Instruments,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI Shared Instruments,"Select one artifact from AI Shared Instruments and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aisatvis,AI Structured Analysis Visualization,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI Structured Analysis Visualization,"Select one artifact from AI Structured Analysis Visualization and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Active-measures-to-data-poisoning case bridge,"Translate a counterintelligence active-measures pattern into an AI-mediated evidence-corruption scenario, then show analytic uptake, human review, and bounded warning.","Actor objective, poisoned evidence pathway, analytic deformation, human correction or failure, and final warning boundary.",Make the public-safe bridge from tradecraft to data poisoning explicit enough that the study's distinctive mechanism is visible.,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-wargaming,Alliance Crisis Wargaming,research project or professional workbench,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Alliance Crisis Wargaming,"Select one artifact from Alliance Crisis Wargaming and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-atanalysis,Analysis Tradecraft,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Analysis Tradecraft,"Select one artifact from Analysis Tradecraft and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",research workflow software module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap...,"Select one method or template from Analytical Methodology - eleven discipline pages from a Georgetown Applied Intell... and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software module,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Room instrument transition proof: Applied History - lab for using historical case study to inform conte...,"Select one room or instrument promise from Applied History - lab for using historical case study to inform contemporary policy and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-berlin,Berlin Occupation Zones and Refugee Crisis,retrieval or evidence-evaluation platform,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,"Select one artifact from Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","This is a full-build plan, not a claim that the full operational system has already been completed."
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Cognitive-firewall instrument proof: Cognitive Firewall Instruments - authoring defensive instruments agai...,"Convert one defensive instrument from Cognitive Firewall Instruments - authoring defensive instruments against AI-media... into an input-output test that shows corruption pressure, detection surface, analyst check, and allowed claim.","corruption fixture, detection cue, analyst validation step, decision gate, and claim ceiling","Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-capstone-defense,Cognitive Firewalls Capstone Defense,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Cognitive-firewall instrument proof: Cognitive Firewalls Capstone Defense,"Convert one defensive instrument from Cognitive Firewalls Capstone Defense into an input-output test that shows corruption pressure, detection surface, analyst check, and allowed claim.","corruption fixture, detection cue, analyst validation step, decision gate, and claim ceiling",Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-capstone-defense-noland,Cognitive Firewalls Defense Room,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Cognitive-firewall instrument proof: Cognitive Firewalls Defense Room,"Convert one defensive instrument from Cognitive Firewalls Defense Room into an input-output test that shows corruption pressure, detection surface, analyst check, and allowed claim.","corruption fixture, detection cue, analyst validation step, decision gate, and claim ceiling","Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-cmanalysis,Collection Management Analysis,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Collection Management Analysis,"Select one artifact from Collection Management Analysis and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-africa,Colonial Encounter in Africa,research workflow software module,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Colonial Encounter in Africa,"Select one artifact from Colonial Encounter in Africa and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Comparative atrocity-analysis matrix: Comparative Genocide Lab - comparative analysis of mass political vio...,"Route one case or variable from Comparative Genocide Lab - comparative analysis of mass political violence across... through comparison dimensions, rival interpretation, evidence sufficiency, and public-claim restraint.","case variable, comparison dimension, rival explanation, evidence boundary, and approved judgment","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Structured-analytic technique replay: Conversation capture with structured JSON handoff,"Select one method or template from Conversation capture with structured JSON handoff and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
row8,Counter-Terror Analysis - 13-page counter-terror analytical narrative arc,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Counter-Terror Analysis - 13-page counter-terror analytical narrative...,"Select one artifact from Counter-Terror Analysis - 13-page counter-terror analytical narrative arc and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-cianalysis,Counterintelligence Analysis,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Counterintelligence analytic-variable proof: Counterintelligence Analysis,"Take one intelligence or counterintelligence artifact from Counterintelligence Analysis and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-coanalysis,Counterintelligence Operations Analysis,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Counterintelligence analytic-variable proof: Counterintelligence Operations Analysis,"Take one intelligence or counterintelligence artifact from Counterintelligence Operations Analysis and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Professional capability evidence-router: Credential stack + 90-day plan + Competency Tracker CSV,"Translate one capability item from Credential stack + 90-day plan + Competency Tracker CSV into skill evidence, proof artifact, readiness gap, and next work product without making unsupported employment claims.","skill claim, evidence artifact, readiness gap, next proof object, and public wording boundary","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-crusades,Crusades and Mediterranean Order,portfolio room or research surface,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Crusades and Mediterranean Order,"Select one artifact from Crusades and Mediterranean Order and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,research workflow software module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Culinary Atelier,"Select one artifact from Culinary Atelier and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-cyanalysis,Cyber Analysis,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Cyber Analysis,"Select one artifact from Cyber Analysis and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),retrieval or evidence-evaluation platform,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
planning,"Development Process - how projects move from idea to built, reviewed work",source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,"Packet promotion decision proof: Development Process - how projects move from idea to built, reviewed...","Select one artifact from Development Process - how projects move from idea to built, reviewed work and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action",Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-ddianalysis,Directorate Analysis Method,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Directorate Analysis Method,"Select one artifact from Directorate Analysis Method and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-east-asia,East Asian War and Strategic Tradition,research workflow software module,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: East Asian War and Strategic Tradition,"Select one artifact from East Asian War and Strategic Tradition and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-etanalysis,Emerging Technology Analysis,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Emerging Technology Analysis,"Select one artifact from Emerging Technology Analysis and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-fwanalysis,Foreign Warning Analysis,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Foreign Warning Analysis,"Select one artifact from Foreign Warning Analysis and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-hsanalysis,Homeland Security Analysis,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Homeland Security Analysis,"Select one artifact from Homeland Security Analysis and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
