proof_capsule_id,project_id,product_name,component,capsule_stage,capture_requirement,evidence_to_capture,claim_blocked_until_capture,next_build_step
PC-B010EA75F5BE,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab Proof Boundary,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-98E2F95EA10A,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room Proof Boundary,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-313A33A7752C,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room Next Build Test,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-C73C80B107F0,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / prototype/index.html,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-83AFB2D2D3E6,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / docs/RoomView_UIUX_Spec.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-429E8354930E,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / schemas/idea_object.schema.json,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-DD5BEAA93744,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / prototype/room-view_prototype_singlefile.html,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-C28BF8805C85,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / index.html,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-81D915971C01,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / RoomView_UIUX_Spec.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-538C88BDABFB,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / schema.json,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-148ABA1AFB8C,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / room-view_prototype_singlefile.html,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-94A04DA7E577,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,AR-SAT Room / Room View,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-888D0E6DC9EB,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) Handoff Identity,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-5737561054BE,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) Room Task Model,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-E8E9EECA040B,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) Data Schema And Persistence Plan,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-9574289E664E,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) Interface And Instrument Plane,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-05F568E713FA,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) Integration Path,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-C7E7D3407AA6,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) Proof Boundary,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-D5EE0E2E25EB,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) Next Build Test,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-BF6747CE9A2F,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / backend/frontend,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-67DCEAFF9F95,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / docs/02_PhaseI_Room_Spec.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-CF61EF0B2001,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / docs/04_PhaseIII_Data_Model.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-3AC009BC1E93,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / src/rooms/briefingForge/BriefingForgeRoom.tsx,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-A55A3B4DE05B,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / docs/06_Master_Command_Registry.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-C3E5D5E2C1FB,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / docs/07_Hub_Manifest_Addition.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-E5384B6E8874,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / src/rooms/briefingForge,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-058518C9FF13,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / README.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-D9C8A366C181,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / 02_PhaseI_Room_Spec.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-B7BF43F8B76F,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Briefing Forge Room (code-ready) / 04_PhaseIII_Data_Model.md,instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-4F3051AFB8F6,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) Handoff Identity",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-7D20E098D20A,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) Room Task Model",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-54A39D066202,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) Data Schema And Persistence Plan",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-286EA25407B0,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) Interface And Instrument Plane",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-DBE24ADC1962,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) Integration Path",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-0406BAA42EED,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) Proof Boundary",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-A9DFA24800AA,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) Next Build Test",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-3F2BDEB2E415,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) / List Of Analytic Techniques",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-EAEB58E41F48,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) / Kill Chain",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-427D9791877E,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) / Diamond Model",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-5B1757B3ACCC,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) / Meta Content Library",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-6E533D78BB8C,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) / Red Team",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
PC-56F8B23DD808,mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)","CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203) / CSVs. Referenced",instrumented proof capsule awaiting live capture,"Turn the instrumented path into a captured run: before state, action, after state, source-governed test, claim ceiling, and reviewer-visible artifact.",fixture | operation trace | output artifact | source role | acceptance result | falsifier check | claim ceiling,"Blocks claims of live execution, completed validation, or user-ready software.","Capture one reviewer-visible run: input, operation, output, source boundary, pass/fail result, and blocked claim."
