passage_contract_id,project_id,product_name,source_candidate,priority,locator_status,public_file_label,extension,collection_hint,match_score,matched_tokens,source_role,project_specific_application,output_it_must_change,test_or_check_it_must_govern,proof_capsules_to_update,proof_artifacts_to_update,field_to_update,passage_note_required,claim_unlocked_after_close_read,blocked_claim_type,required_close_read_output,next_project_update,public_claim_allowed_now
PCU-2AB13F192CCF,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,candidate_file_found,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"caforio, giuseppe, military, pdoc, social, sociology, springer",method authority,"Use (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC as method authority for Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is state model.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,PC-E2BA9EF991FA | PC-C459DFF03739 | PC-BD6DF94827B1,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-2DA6BB314F78,mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,Documents on the Rape of Nanking Timothy Brook PDOC,normal,candidate_file_found,Documents on the Rape of Nanking - Timothy Brook PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"brook, nanking, pdoc, rape, timothy",method authority,"Use Encyclopedia of World History as method authority for RC1 wrapper; front-loaded 00_RC_Handoff/: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: RC1 wrapper; front-loaded 00_RC_Handoff/.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-FD422ADB503F | PC-E7C8A7BE5D5F | PC-AE274B0591F9,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for RC1 wrapper; front-loaded 00_RC_Handoff/ and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-F99250DD09AE,mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,Documents on the Rape of Nanking Timothy Brook PDOC,normal,candidate_file_found,Documents on the Rape of Nanking - Timothy Brook PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"brook, nanking, pdoc, rape, timothy",method authority,"Use Libraries of the Mind as method authority for Reflexive Control Chamber: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Reflexive Control Chamber.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-E7B5258D9623 | PC-DF8D82DC68D9 | PC-DA9F8F3B7D7C,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Reflexive Control Chamber and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-B503F253132C,mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,043 Historical Documents Harvard Classics PDOC,normal,candidate_file_found,043 Historical Documents Harvard Classics PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"classics, harvard, historical, pdoc",method authority,"Use Libraries of the Mind as method authority for Reflexive Control Chamber: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Reflexive Control Chamber.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-E7B5258D9623 | PC-DF8D82DC68D9 | PC-DA9F8F3B7D7C,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Reflexive Control Chamber and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-29397E917169,mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,Documents on the Rape of Nanking Timothy Brook PDOC,normal,candidate_file_found,Documents on the Rape of Nanking - Timothy Brook PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"brook, nanking, pdoc, rape, timothy",method authority,"Use Libraries of the Mind as method authority for Rhetorium: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Rhetorium.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-D7A03B9EEDD5 | PC-CDCB9C5D401E | PC-A620A873BF22,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Rhetorium and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-3EE6D8924B1D,mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,043 Historical Documents Harvard Classics PDOC,normal,candidate_file_found,043 Historical Documents Harvard Classics PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"classics, harvard, historical, pdoc",method authority,"Use Libraries of the Mind as method authority for Rhetorium: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Rhetorium.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-D7A03B9EEDD5 | PC-CDCB9C5D401E | PC-A620A873BF22,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Rhetorium and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-DDADECD428C7,mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),043 Historical Documents Harvard Classics PDOC,normal,candidate_file_found,043 Historical Documents Harvard Classics PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"classics, harvard, historical, pdoc",method authority,"Use Creating a Constitution Transcrip (2021 01 02 03 51 07 UTC) as method authority for Room Master (constitution): Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is state model.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,PC-E744E346FF41 | PC-8D444B5D27A3 | PC-40F7FA7847FE,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Room Master (constitution) and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-B3D3587770F6,mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),Creating a Constitution Transcrip (2021 01 02 03 51 07 UTC),normal,candidate_file_found,Creating a Constitution - Transcrip (2021 01 02 03 51 07 UTC).pdf,.pdf,Kindle/PDF source library candidate,146.0,"constitution, creating, transcrip",method authority,"Use Creating a Constitution Transcrip (2021 01 02 03 51 07 UTC) as method authority for Room Master (constitution): Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is state model.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,PC-E744E346FF41 | PC-8D444B5D27A3 | PC-40F7FA7847FE,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Room Master (constitution) and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-43BE801C9F78,mb-murano-room-handoff-v1,Room template v1,043 Historical Documents Harvard Classics PDOC,normal,candidate_file_found,043 Historical Documents Harvard Classics PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"classics, harvard, historical, pdoc",method authority,"Use Building Imaginary Worlds as method authority for Room template v1: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Room instrument transition proof: Room template v1.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-DD96354091D9 | PC-D4C41B648EA9 | PC-C3DFAB0B2342,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Room template v1 and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-E5404285E790,mb-murano-room-handoff-v1,Room template v1,Documents on the Rape of Nanking Timothy Brook PDOC,normal,candidate_file_found,Documents on the Rape of Nanking - Timothy Brook PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"brook, nanking, pdoc, rape, timothy",method authority,"Use Building Imaginary Worlds as method authority for Room template v1: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Room instrument transition proof: Room template v1.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-DD96354091D9 | PC-D4C41B648EA9 | PC-C3DFAB0B2342,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Room template v1 and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-3A494B506F32,native-russia,Russia,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,candidate_file_found,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"caforio, giuseppe, military, pdoc, social, sociology, springer",domain grounding,"Use (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC as domain grounding for Russia: Extract actor logic, historical constraint, domain vocabulary, empirical pattern, or case condition; then prevent generic page language. The immediate application target is state model.","domain variables, case framing, project examples, terminology, or scenario fixtures",source test: metadata-routed sources require close reading before citation or quotation,PC-F800261BEEB8 | PC-F1705C0A0515 | PC-EA1D80B51B44,state transition proof record | state transition proof record | state transition proof record,input_fixture and observable_output,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update input_fixture and observable_output for Russia and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-A2E400B5F56D,native-russia,Russia,(Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,normal,candidate_file_found,(Praeger Security International) Richard D. Fisher Jr. - China's Military Modernization Building for Regional and Global Reach - Praeger (2008) PDOC.pdf,.pdf,Kindle/PDF source library candidate,246.0,"building, china, fisher, global, international, military, modernization, pdoc, praeger, reach, regional, richard",evaluation standard,"Use (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC as evaluation standard for Russia: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Counterintelligence analytic-variable proof: Russia.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,PC-F800261BEEB8 | PC-F1705C0A0515 | PC-EA1D80B51B44,state transition proof record | state transition proof record | state transition proof record,acceptance_test and capture_requirement,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update acceptance_test and capture_requirement for Russia and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-BDF039E23443,native-russia,Russia,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),normal,candidate_file_found,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010).pdf,.pdf,Kindle/PDF source library candidate,216.0,"contemporary, guide, issues, justice, lawrence, military, morris, praeger, security, strategic",technical mechanism,"Use (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) as technical mechanism for Russia: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is state model.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule",state-transition test: visible input changes recorded state and output,PC-F800261BEEB8 | PC-F1705C0A0515 | PC-EA1D80B51B44,state transition proof record | state transition proof record | state transition proof record,operation_to_run and source_bound_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update operation_to_run and source_bound_test for Russia and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-8CBDEEA26561,native-russia,Russia,Innovation and the Arms Race How the United States and the Soviet Union Develop New Military Technologies Matthew Evangelista,normal,candidate_file_found,Innovation and the Arms Race How the United States and the Soviet Union Develop New Military Technologies - Matthew Evangelista.pdf,.pdf,Kindle/PDF source library candidate,236.0,"arms, develop, evangelista, innovation, matthew, military, race, soviet, states, technologies, union, united",counter-source or limitation,"Use Innovation and the Arms Race How the United States and the Soviet Union Develop New Military Technologies Matthew Evangelista as counter-source or limitation for Russia: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Counterintelligence analytic-variable proof: Russia.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,PC-F800261BEEB8 | PC-F1705C0A0515 | PC-EA1D80B51B44,state transition proof record | state transition proof record | state transition proof record,claim_ceiling and claim_blocked_until_capture,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update claim_ceiling and claim_blocked_until_capture for Russia and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-AEB24E192ADB,mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),043 Historical Documents Harvard Classics PDOC,normal,candidate_file_found,043 Historical Documents Harvard Classics PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"classics, harvard, historical, pdoc",method authority,"Use Libraries of the Mind as method authority for Script Atelier (v0): Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Script Atelier (v0).","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-E78B29947583 | PC-E3EA3CD4417A | PC-C95E9C2947C9,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Script Atelier (v0) and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-D9EBAE89ECFD,mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),Documents on the Rape of Nanking Timothy Brook PDOC,normal,candidate_file_found,Documents on the Rape of Nanking - Timothy Brook PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"brook, nanking, pdoc, rape, timothy",method authority,"Use Libraries of the Mind as method authority for Script Atelier (v0): Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Script Atelier (v0).","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-E78B29947583 | PC-E3EA3CD4417A | PC-C95E9C2947C9,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Script Atelier (v0) and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-231090957495,mb-muranoos-red-team-phase-ii-handoff-2026-04-15,Smallest doc-pack; paired .md + .rs/.ts draft patches,043 Historical Documents Harvard Classics PDOC,normal,candidate_file_found,043 Historical Documents Harvard Classics PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"classics, harvard, historical, pdoc",method authority,"Use Principles of Microeconomics as method authority for Smallest doc-pack; paired .md + .rs/.ts draft patches: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Smallest doc-pack; paired .md + .rs/.ts draft patches.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-FAF150A577B4 | PC-F539F0F57EC7 | PC-EC665A42682B,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Smallest doc-pack; paired .md + .rs/.ts draft patches and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-39BAFC70343A,mb-muranoos-red-team-phase-ii-handoff-2026-04-15,Smallest doc-pack; paired .md + .rs/.ts draft patches,Documents on the Rape of Nanking Timothy Brook PDOC,normal,candidate_file_found,Documents on the Rape of Nanking - Timothy Brook PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"brook, nanking, pdoc, rape, timothy",method authority,"Use Principles of Microeconomics as method authority for Smallest doc-pack; paired .md + .rs/.ts draft patches: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Smallest doc-pack; paired .md + .rs/.ts draft patches.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-FAF150A577B4 | PC-F539F0F57EC7 | PC-EC665A42682B,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Smallest doc-pack; paired .md + .rs/.ts draft patches and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-3B14C0135B09,mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",043 Historical Documents Harvard Classics PDOC,normal,candidate_file_found,043 Historical Documents Harvard Classics PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"classics, harvard, historical, pdoc",method authority,"Use Hybrid Intelligence for Image Analysis and Understanding as method authority for Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A"": Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Counterintelligence analytic-variable proof: Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PL....","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-E25C1746E012 | PC-CA84F6FB261B | PC-B4E3FB06DFED,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A"" and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
