source_candidate,locator_status,public_file_label,extension,collection_hint,match_score,matched_tokens,alternate_public_labels
2aMassage Techniques and Effects Presentation,candidate_file_found,2aMassage - Techniques - and - Effects - Presentation.pdf,.pdf,Kindle/PDF source library candidate,156.0,"2amassage, effects, presentation, techniques",2aMassage - Techniques - and - Effects - Presentation PDOC.pdf | Techniques of Healthy Cooking - Culinary Institute Of America.pdf
2aMassage Techniques and Effects Presentation PDOC,candidate_file_found,2aMassage - Techniques - and - Effects - Presentation PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"2amassage, effects, pdoc, presentation, techniques",2aMassage - Techniques - and - Effects - Presentation.pdf | Techniques of Healthy Cooking - 4th Edition (2013) PDOC.pdf
6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown,candidate_file_found,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC - Sean Brown.pdf,.pdf,Kindle/PDF source library candidate,216.0,"6e72397078c34c7486448cd590cb0df7, brown, historical, pdoc, putin, russians, sean, ukranians, unity, vladimir",6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC - Sean Brown (2).pdf | vladimir putin historical unity of the russians and ukranians PDOC.pdf
6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown (2),candidate_file_found,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC - Sean Brown (2).pdf,.pdf,Kindle/PDF source library candidate,216.0,"6e72397078c34c7486448cd590cb0df7, brown, historical, pdoc, putin, russians, sean, ukranians, unity, vladimir",6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC - Sean Brown.pdf | vladimir putin historical unity of the russians and ukranians PDOC.pdf
A Companion to Middle High German Literature to the 14th Century Francis G. Gentry,candidate_file_found,A Companion to Middle High German Literature to the 14th Century - Francis G. Gentry.pdf,.pdf,Kindle/PDF source library candidate,206.0,"14th, century, companion, francis, gentry, german, high, literature, middle",OceanofPDF.com A Companion to Middle High German Literature to the 14th Century - Francis G Gentry PDOC.pdf | The Routledge Companion to Twenty - First Century Literary Fiction - Robert Eaglestone et al.pdf
A Companion to Narrative Theory James Phelan et al,candidate_file_found,A Companion to Narrative Theory - James Phelan et al.pdf,.pdf,Kindle/PDF source library candidate,156.0,"companion, james, narrative, phelan",A Companion to Narrative Theory - James Phelan et al (2).pdf | OceanofPDF.com A Companion to Narrative Theory - James Phelan PDOC.pdf
A Companion to Narrative Theory James Phelan et al (2),candidate_file_found,A Companion to Narrative Theory - James Phelan et al (2).pdf,.pdf,Kindle/PDF source library candidate,156.0,"companion, james, narrative, phelan",A Companion to Narrative Theory - James Phelan et al.pdf | OceanofPDF.com A Companion to Narrative Theory - James Phelan PDOC.pdf
A Critical Cinema PDOC,candidate_file_found,A Critical Cinema PDOC.pdf,.pdf,Kindle/PDF source library candidate,146.0,"cinema, critical, pdoc",OceanofPDF.com The Routledge Companion to World Cinema - Rob Stone PDOC.pdf | OceanofPDF.com The Routledge Companion to World Cinema - Rob Stone PDOC.pdf
A Critical Companion to Beowulf Andy Orchard,candidate_file_found,A Critical Companion to Beowulf - Andy Orchard.pdf,.pdf,Kindle/PDF source library candidate,166.0,"andy, beowulf, companion, critical, orchard",OceanofPDF.com A Critical Companion to Beowulf - Andy Orchard PDOC.pdf | A Critical Companion to Beowulf - Andy Orchard (2).pdf
A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar,candidate_file_found,A Historical Companion to Postcolonial Literatures - Continental Europe and Its Empires - Prem Poddar.pdf,.pdf,Kindle/PDF source library candidate,206.0,"companion, continental, empires, europe, historical, literatures, poddar, postcolonial, prem",OceanofPDF.com A Historical Companion to Postcolonial Literatures - Continental Europe and its Empires - Prem Poddar PDOC.pdf | Historical Atlas of Central Europe Third Revised and Expanded Edition - Paul Robert Magocsi.pdf
A History of Western Political Thought J. S. McClelland et al,candidate_file_found,A History of Western Political Thought - J. S. McClelland et al.pdf,.pdf,Kindle/PDF source library candidate,166.0,"history, mcclelland, political, thought, western",A History of Western Political Thought - J. S. McClelland et al (2).pdf | A History of Western Political Thought PDOC.pdf
A History of Western Political Thought J. S. McClelland et al (2),candidate_file_found,A History of Western Political Thought - J. S. McClelland et al (2).pdf,.pdf,Kindle/PDF source library candidate,166.0,"history, mcclelland, political, thought, western",A History of Western Political Thought - J. S. McClelland et al.pdf | A History of Western Political Thought PDOC.pdf
A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC,candidate_file_found,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning - Candace Schlein PDOC.pdf,.pdf,Kindle/PDF source library candidate,216.0,"candace, critical, intercultural, learning, lenses, narrative, pdoc, reader, schlein, teaching",A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning - Candace Schlein et al.pdf | OceanofPDF.com The Routledge Critical and Cultural Theory Reader - Neil Badmington PDOC.pdf
A Tradecraft Primer Structured Analytic Techniques,candidate_file_found,A Tradecraft Primer Structured Analytic Techniques.pdf,.pdf,Kindle/PDF source library candidate,166.0,"analytic, primer, structured, techniques, tradecraft",A Tradecraft Primer Structured Analytic Techniques (2).pdf | A Tradecraft Primer Structured Analytic Techniques PDOC.pdf
A Tradecraft Primer Structured Analytic Techniques (2),candidate_file_found,A Tradecraft Primer Structured Analytic Techniques (2).pdf,.pdf,Kindle/PDF source library candidate,166.0,"analytic, primer, structured, techniques, tradecraft",A Tradecraft Primer Structured Analytic Techniques.pdf | A Tradecraft Primer Structured Analytic Techniques PDOC.pdf
AID Framework - Statement Builder,candidate_file_found,AID Framework - Statement Builder.pdf,.pdf,Kindle/PDF source library candidate,146.0,"builder, framework, statement",comparative - grand - strategy - a - framework - and - cases - 0198840845 - 9780198840848 compress.pdf | comparative - grand - strategy - a - framework - and - cases - 0198840845 - 9780198840848 compress PDOC.pdf
"America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936-1991 Willard C. Matthias",candidate_file_found,"America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936 - 1991 - Willard C. Matthias.pdf",.pdf,Kindle/PDF source library candidate,206.0,"america, blunders, intelligence, matthias, national, policy, security, strategic, willard",OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf | Strategic Intelligence for American National Security - Bruce D. Berkowitz et al.pdf
American Cancer Research Food Nutrition Physical Activity,candidate_file_found,American Cancer Research Food Nutrition Physical Activity.pdf,.pdf,Kindle/PDF source library candidate,176.0,"activity, american, cancer, food, nutrition, physical",American Cancer Research Food Nutrition Physical Activity PDOC.pdf | Encyclopedia of Human Nutrition - Benjamin Caballero (2).pdf
American Cancer Research Food Nutrition Physical Activity PDOC,candidate_file_found,American Cancer Research Food Nutrition Physical Activity PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"activity, american, cancer, food, nutrition, pdoc, physical",American Cancer Research Food Nutrition Physical Activity.pdf | OceanofPDF.com The Oxford Companion to American Food and - Andrew F Smith PDOC.pdf
American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick,candidate_file_found,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,.pdf,Kindle/PDF source library candidate,216.0,"against, american, cold, espionage, michael, present, spies, states, sulick, united",American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick.pdf | American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC.pdf
American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2),candidate_file_found,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,.pdf,Kindle/PDF source library candidate,216.0,"against, american, cold, espionage, michael, present, spies, states, sulick, united",American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick.pdf | American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC.pdf
American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC,candidate_file_found,American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC.pdf,.pdf,Kindle/PDF source library candidate,216.0,"against, american, cold, espionage, pdfdrive, pdoc, present, spies, states, united",American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC.pdf | American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf
Atlas of World Architecture Markus Sebastian Braun (2),candidate_file_found,Atlas of World Architecture - Markus Sebastian Braun (2).pdf,.pdf,Kindle/PDF source library candidate,176.0,"architecture, atlas, braun, markus, sebastian, world",Atlas of World Architecture - Markus Sebastian Braun.pdf | Atlas of World Architecture PDOC.pdf
Attachment and Bonding A New Synthesis C. Sue Carter,candidate_file_found,Attachment and Bonding A New Synthesis - C. Sue Carter.pdf,.pdf,Kindle/PDF source library candidate,156.0,"attachment, bonding, carter, synthesis",epdf.pub attachment - and - bonding - a - new - synthesis - dahlem - workshop - reports PDOC.pdf | The Sage Handbook of Peace and Conflict Studies - Maia Carter Hallward et al (2).pdf
"Battle Ready (2004) Clancy, Tom Nf Commanders",candidate_file_found,"Battle Ready (2004) - Clancy, Tom - Nf - Commanders (2021 01 02 03 51 07 UTC).pdf",.pdf,Kindle/PDF source library candidate,156.0,"battle, clancy, commanders, ready","Battle Ready (2004) - Clancy, Tom - Nf - Commanders.epub | Clancy, Tom - Nf - Commanders - Battle Ready (2004) (2021 01 02 03 51 07 UTC).pdf"
Beekeeping for Dummies David Wiscombe et al,candidate_file_found,Beekeeping for Dummies - David Wiscombe et al.pdf,.pdf,Kindle/PDF source library candidate,156.0,"beekeeping, david, dummies, wiscombe",beekeeping - for - dummies PDOC.pdf | Massage for Dummies - Steve Capellini et al.pdf
"Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond",candidate_file_found,"Beyond Hegel and Dialectic Speculation, Cult, and Comedy - William Desmond.pdf",.pdf,Kindle/PDF source library candidate,196.0,"beyond, comedy, cult, desmond, dialectic, hegel, speculation, william",beyond - hegel - and - dialectic - speculation - cult - and - comedy compress PDOC.pdf | A Companion to Heritage Studies - William Logan (2).pdf
Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,candidate_file_found,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy.pdf,.pdf,Kindle/PDF source library candidate,206.0,"arpad, between, bridging, collection, governance, information, intelligence, palfy, processing",Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy (2).pdf | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC.pdf
Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),candidate_file_found,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy (2).pdf,.pdf,Kindle/PDF source library candidate,206.0,"arpad, between, bridging, collection, governance, information, intelligence, palfy, processing",Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy.pdf | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC.pdf
Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,candidate_file_found,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC.pdf,.pdf,Kindle/PDF source library candidate,196.0,"between, bridging, collection, governance, information, intelligence, pdoc, processing",Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC.pdf | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy.pdf
Brief Answers to the Big Questions by Stephen Hawking (2021 01 02 03 51 07 UTC),candidate_file_found,Brief Answers to the Big Questions by Stephen Hawking (2021 01 02 03 51 07 UTC).pdf,.pdf,Kindle/PDF source library candidate,166.0,"answers, brief, hawking, questions, stephen",Brief Answers to the Big Questions by Stephen Hawking .epub | Gerard Delanty editor Stephen P Turner editor - Routledge International Handbook of Contemporary Social and Political Theory Routledge International Handbooks - Routledge 2022Z...
Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,candidate_file_found,Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth - Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World - Palgrav...,.pdf,Kindle/PDF source library candidate,285.944,"auth, central, eastern, empire, eurocentric, european, identity, international, morozov, palgrave, perspectives, postcolonial",Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth - Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World - Palgrav... | European Security in a Post - Brexit World - Stefania Paladini et al.pdf
Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,candidate_file_found,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive - Sharon Kangisser Cohen et al.pdf,.pdf,Kindle/PDF source library candidate,226.0,"aftermath, archive, children, cohen, historical, holocaust, kangisser, kestenberg, psychological, sharon, studies",Children in the Holocaust and its Aftermath - Sharon Kangisser Cohen PDOC.pdf | Persistent Legacy The Holocaust and German Studies - Erin Heather McGlothlin et al.pdf
Cognitive Linguistics Basic Readings Dirk Geeraerts,candidate_file_found,Cognitive Linguistics Basic Readings - Dirk Geeraerts.pdf,.pdf,Kindle/PDF source library candidate,176.0,"basic, cognitive, dirk, geeraerts, linguistics, readings",Cognitive Linguistics Basic Readings - Dirk Geeraerts (2).pdf | Cognitive Linguistics - Dirk Geeraerts PDOC.pdf
Cognitive Linguistics Basic Readings Dirk Geeraerts (2),candidate_file_found,Cognitive Linguistics Basic Readings - Dirk Geeraerts (2).pdf,.pdf,Kindle/PDF source library candidate,176.0,"basic, cognitive, dirk, geeraerts, linguistics, readings",Cognitive Linguistics Basic Readings - Dirk Geeraerts.pdf | Cognitive Linguistics - Dirk Geeraerts PDOC.pdf
Cognitive Linguistics Dirk Geeraerts PDOC,candidate_file_found,Cognitive Linguistics - Dirk Geeraerts PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"cognitive, dirk, geeraerts, linguistics, pdoc",Cognitive Linguistics - Dirk Geeraerts PDOC.pdf | Cognitive Linguistics Basic Readings - Dirk Geeraerts.pdf
Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),candidate_file_found,Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ).pdf,.pdf,Kindle/PDF source library candidate,246.0,"action, century, cold, covert, history, intelligence, international, library, operations, pdfdrive, policy, twentieth",Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) PDOC.pdf | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ) (2).pdf
Creating a Constitution Transcrip (2021 01 02 03 51 07 UTC),candidate_file_found,Creating a Constitution - Transcrip (2021 01 02 03 51 07 UTC).pdf,.pdf,Kindle/PDF source library candidate,146.0,"constitution, creating, transcrip",Creating a Constitution - Transcrip.epub | Empire and Constitution in Modern Japan Why Could War With China Not Be Prevented - Junji Banno.pdf
DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC,candidate_file_found,DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC.pdf,.pdf,Kindle/PDF source library candidate,226.0,"american, cold, david, kaiser, manpower, pdoc, physicists, production, requisitions, scientific, world","DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC.pdf | DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II - Unknown.pdf"
Deception Counterdeception and Counterintelligence Robert M. Clark et al,candidate_file_found,Deception Counterdeception and Counterintelligence - Robert M. Clark et al.pdf,.pdf,Kindle/PDF source library candidate,166.0,"clark, counterdeception, counterintelligence, deception, robert",Deception Counterdeception and Counterintelligence - Robert M. Clark et al (2).pdf | Intelligence Analysis - Robert M. Clark.pdf
Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),candidate_file_found,Deception Counterdeception and Counterintelligence - Robert M. Clark et al (2).pdf,.pdf,Kindle/PDF source library candidate,166.0,"clark, counterdeception, counterintelligence, deception, robert",Deception Counterdeception and Counterintelligence - Robert M. Clark et al.pdf | Intelligence Analysis - Robert M. Clark.pdf
Dialectic of Enlightenment Theodor W. Adorno et al,candidate_file_found,Dialectic of Enlightenment - Theodor W. Adorno et al (2).pdf,.pdf,Kindle/PDF source library candidate,156.0,"adorno, dialectic, enlightenment, theodor",Dialectic of Enlightenment - Theodor W. Adorno et al.pdf | Dialectic of Enlightenment - Theodor W. Adorno et al (3).pdf
Dialectic of Enlightenment Theodor W. Adorno et al (2),candidate_file_found,Dialectic of Enlightenment - Theodor W. Adorno et al (2).pdf,.pdf,Kindle/PDF source library candidate,156.0,"adorno, dialectic, enlightenment, theodor",Dialectic of Enlightenment - Theodor W. Adorno et al.pdf | Dialectic of Enlightenment - Theodor W. Adorno et al (3).pdf
Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,candidate_file_found,Discourse of Race in Modern China - Frank Dikotter Dikotter PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"china, dikotter, discourse, frank, modern, pdoc, race",The Discourse of Race in Modern China - Frank Dikötter.pdf | China After Mao - Frank Dikotter PDOC.pdf
"Disinformation and Counternarratives in International Security Cognitive Competition Gustavo Díaz Matey, Pablo Moral",candidate_file_found,"Disinformation and Counternarratives in International Security - Cognitive Competition - Gustavo Díaz Matey, Pablo Moral.epub",.epub,Bookshare source library candidate,216.0,"cognitive, competition, counternarratives, disinformation, gustavo, international, matey, moral, pablo, security",The Routledge International Handbook of Changes in Human Perceptions and Behaviors - Kanako Taku et al.pdf | The Routledge International Handbook of Changes in Human Perceptions and Behaviors - Kanako Taku et al (2).pdf
Documents on the Rape of Nanking Timothy Brook,candidate_file_found,Documents on the Rape of Nanking - Timothy Brook.pdf,.pdf,Kindle/PDF source library candidate,156.0,"brook, nanking, rape, timothy",Documents on the Rape of Nanking - Timothy Brook PDOC.pdf | Economics 3rd Edition - Timothy Taylor (2).pdf
Documents on the Rape of Nanking Timothy Brook PDOC,candidate_file_found,Documents on the Rape of Nanking - Timothy Brook PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"brook, nanking, pdoc, rape, timothy",Documents on the Rape of Nanking - Timothy Brook.pdf | The Road to Unfreedom - Timothy Snyder PDOC.pdf
"God, Time, and Knowledge William Hasker",candidate_file_found,"God, Time, and Knowledge - William Hasker.pdf",.pdf,Kindle/PDF source library candidate,156.0,"hasker, knowledge, time, william",OceanofPDF.com God Time and Knowledge - William Hasker PDOC.pdf | The - Silver - Palate - Good - time - Cook - book.pdf
Human Rights and War Through Civilian Eyes Thomas W Smith,candidate_file_found,Human Rights and War Through Civilian Eyes - Thomas W Smith.pdf,.pdf,Kindle/PDF source library candidate,176.0,"civilian, eyes, human, rights, smith, thomas",OceanofPDF.com Human Rights and War Through Civilian Eyes - Thomas W Smith PDOC.pdf | State Consent to Foreign Military Intervention During Civil Wars - Seyfullah Hasar et al (2).pdf
Innovation and the Arms Race How the United States and the Soviet Union Develop New Military Technologies Matthew Evangelista,candidate_file_found,Innovation and the Arms Race How the United States and the Soviet Union Develop New Military Technologies - Matthew Evangelista.pdf,.pdf,Kindle/PDF source library candidate,236.0,"arms, develop, evangelista, innovation, matthew, military, race, soviet, states, technologies, union, united","Innovation and the Arms Race - Matthew Evangelista PDOC.pdf | For the Soul of Mankind The United States, the Soviet Union, and the Cold War - Melvyn P. Leffler.pdf"
National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,candidate_file_found,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"counterintelligence, cyber, espionage, national, pdfdrive, pdoc, security",National Security and Counterintelligence in the Era of Cyber Espionage - Eugenie de Silva.pdf | National Security Intelligence ( PDFDrive ) PDOC.pdf
National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva,candidate_file_found,National Security and Counterintelligence in the Era of Cyber Espionage - Eugenie de Silva.pdf,.pdf,Kindle/PDF source library candidate,186.0,"counterintelligence, cyber, espionage, eugenie, national, security, silva",National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC.pdf | Seeing the Invisible National Security Intelligence in an Uncertain Age - Thomas Quiggin.pdf
"No Place for Russia European Security Institutions Since 1989 Hill, William H",candidate_file_found,"No Place for Russia - European Security Institutions Since 1989 - Hill, William H.epub",.epub,Bookshare source library candidate,196.0,"european, hill, institutions, place, russia, security, since, william",The Routledge Handbook of European Security - Sven Biscop PDOC.pdf | the - routledge - handbook - of - european - security - 1nbsped - 9781136226953 - 9780415588287 PDOC.pdf
OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 1991 Willard C Matthias PDOC,candidate_file_found,OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,.pdf,Kindle/PDF source library candidate,226.0,"americas, blunders, intelligence, matthias, national, oceanofpdf, pdoc, policy, security, strategic, willard","America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936 - 1991 - Willard C. Matthias.pdf | strategic - intelligence - for - american - national - security - updated - edition - 9780691219684 compress PDOC.pdf"
OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,candidate_file_found,OceanofPDF.com Security Assurances and Nuclear Nonproliferation - Jeffrey W Knopf PDOC.pdf,.pdf,Kindle/PDF source library candidate,196.0,"assurances, jeffrey, knopf, nonproliferation, nuclear, oceanofpdf, pdoc, security",Security Assurances and Nuclear Nonproliferation - Jeffrey W. Knopf.pdf | OceanofPDF.com The Bar Book - Jeffrey Morgenthaler PDOC.pdf
OceanofPDF.com The Sources of Military Doctrine France Britain and Germany Between the World Wars Barry R Posen PDOC,candidate_file_found,OceanofPDF.com The Sources of Military Doctrine France Britain and Germany Between the World Wars - Barry R Posen PDOC.pdf,.pdf,Kindle/PDF source library candidate,246.0,"barry, between, britain, doctrine, france, germany, military, oceanofpdf, pdoc, posen, sources, wars",The Sources of Military Doctrine France Britain and Germany Between the World Wars - Barry R Posen PDOC.pdf | OceanofPDF.com State Consent to Foreign Military Intervention during Civil Wars - Seyfullah Hasar PDOC.pdf
Omega and the End of the Universe,candidate_file_found,Omega and the End of the Universe - (2021 01 02 03 51 07 UTC).pdf,.pdf,Kindle/PDF source library candidate,136.0,"omega, universe",Omega and the End of the Universe - .epub | Take Arms Against a Sea of Troubles The Power of the Reader's Mind Over a Universe of Death - Harold Bloom.pdf
