project_id,product_name,final_object_type,build_tranche,component_count,average_maturity_score,minimum_maturity_score,level_distribution,execution_ready_components,instrumented_or_better_components,proof_status,distinctive_component_to_build,distinctive_component_operation,distinctive_component_output,weakest_components,next_full_build_step,claim_boundary,engine_page
native-aiosintnarr,AI OSINT Narrative Analysis,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",AI OSINT Narrative Analysis Runtime Or Interface Surface | AI OSINT Narrative Analysis Data And State Model | AI OSINT Narrative Analysis Core Instrument Panel | AI OSINT Narrative Analysis Workflow Orchestration | AI OSINT Narrative Analysis Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-aiprompt-eng,AI Prompt Engineering,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",AI Prompt Engineering Runtime Or Interface Surface | AI Prompt Engineering Data And State Model | AI Prompt Engineering Core Instrument Panel | AI Prompt Engineering Workflow Orchestration | AI Prompt Engineering Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,research project or professional workbench,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status Runtime Or Interface Surface | AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status Data And State Model | AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status Core Instrument Panel | AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status Workflow Orchestration | AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status Review And Governance Gate,"Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-aishared-instruments,AI Shared Instruments,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",AI Shared Instruments Runtime Or Interface Surface | AI Shared Instruments Data And State Model | AI Shared Instruments Core Instrument Panel | AI Shared Instruments Workflow Orchestration | AI Shared Instruments Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-aisatvis,AI Structured Analysis Visualization,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",AI Structured Analysis Visualization Runtime Or Interface Surface | AI Structured Analysis Visualization Data And State Model | AI Structured Analysis Visualization Core Instrument Panel | AI Structured Analysis Visualization Workflow Orchestration | AI Structured Analysis Visualization Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,future-work technical evaluation architecture,T1 flagship operational demonstrator,9,5.0,5,L5 execution-ready proof capsule: 9,9,9,execution-ready flagship proof capsule,Adversarial evidence-corruption evaluation capsule,"Convert the advisor annex into a replayable mini-evaluation: adversarial packet, retrieval trace, analyst validation step, defensive gate, replay record, and claim boundary.","Evaluation capsule showing what was attacked, what was retrieved, what the analyst checked, and what the system allowed, narrowed, or blocked.",Clean / Poisoned Evidence Admission | Slow-Poison Track | Fast-Injection Track | Authority-Wrapper And Omission Attack Track | Index Perturbation And Retrieval Trace,Convert the advisor annex into one runnable evaluation capsule without representing it as completed empirical results.,"This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/annex_source_engine.html
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,analytic method or human-AI evaluation module,T1 flagship operational demonstrator,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,execution-ready flagship proof capsule,Active-measures-to-data-poisoning case bridge,"Translate a counterintelligence active-measures pattern into an AI-mediated evidence-corruption scenario, then show analytic uptake, human review, and bounded warning.","Actor objective, poisoned evidence pathway, analytic deformation, human correction or failure, and final warning boundary.",Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Runtime Or Interface Surface | Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Data And State Model | Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Core Instrument Panel | Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Workflow Orchestration | Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Review And Governance Gate,Make the public-safe bridge from tradecraft to data poisoning explicit enough that the study's distinctive mechanism is visible.,"This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/algorithmic_active_measures_source_engine.html
native-wargaming,Alliance Crisis Wargaming,research project or professional workbench,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Alliance Crisis Wargaming Runtime Or Interface Surface | Alliance Crisis Wargaming Data And State Model | Alliance Crisis Wargaming Core Instrument Panel | Alliance Crisis Wargaming Workflow Orchestration | Alliance Crisis Wargaming Review And Governance Gate,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-atanalysis,Analysis Tradecraft,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Analysis Tradecraft Runtime Or Interface Surface | Analysis Tradecraft Data And State Model | Analysis Tradecraft Core Instrument Panel | Analysis Tradecraft Workflow Orchestration | Analysis Tradecraft Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-analyst-assurance-desk,Analyst Assurance Desk,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,8,5.0,5,L5 execution-ready proof capsule: 8,8,8,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Task And Method Assignment | Evidence And Assumption Intake | ACH / Alternatives Matrix | Red-Team / Devil's Advocate Pass | Uncertainty And Confidence Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Runtime Or Interface Surface | Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Data And State Model | Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Core Instrument Panel | Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Workflow Orchestration | Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface Review And Governance Gate","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Applied History - lab for using historical case study to inform contemporary policy Runtime Or Interface Surface | Applied History - lab for using historical case study to inform contemporary policy Data And State Model | Applied History - lab for using historical case study to inform contemporary policy Core Instrument Panel | Applied History - lab for using historical case study to inform contemporary policy Workflow Orchestration | Applied History - lab for using historical case study to inform contemporary policy Review And Governance Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-berlin,Berlin Occupation Zones and Refugee Crisis,retrieval or evidence-evaluation platform,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,Berlin Occupation Zones and Refugee Crisis Runtime Or Interface Surface | Berlin Occupation Zones and Refugee Crisis Data And State Model | Berlin Occupation Zones and Refugee Crisis Core Instrument Panel | Berlin Occupation Zones and Refugee Crisis Workflow Orchestration | Berlin Occupation Zones and Refugee Crisis Review And Governance Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman Runtime Or Interface Surface | Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman Data And State Model | Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman Core Instrument Panel | Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman Workflow Orchestration | Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman Review And Governance Gate,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-trilogy-showcase-atlas,Book Trilogy Atlas,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,11,5.0,5,L5 execution-ready proof capsule: 11,11,11,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Canonical Chapter Identity | ReaderEdition Rewrite Target | FinalProof Argument Backbone | ConstructionKit Shape Scaffold | PassageTargets Sentence-Pressure Reservoir,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","This is a full-build plan, not a claim that the full operational system has already been completed.",
trilogy,Book Trilogy Manuscript Governance System,manuscript governance and chapter-upgrade system,T1 flagship operational demonstrator,11,5.0,5,L5 execution-ready proof capsule: 11,11,11,execution-ready flagship proof capsule,Chapter dossier and visual-title governance demonstrator,"Build one representative chapter dossier per book with title rationale, argument backbone, voice/register rule, source state, visual logic, handoff, and remaining gap.",Three chapter dossiers proving the books are governed as distinct writing regimes rather than generic manuscript pages.,Canonical Chapter Identity | ReaderEdition Rewrite Target | FinalProof Argument Backbone | ConstructionKit Shape Scaffold | PassageTargets Sentence-Pressure Reservoir,Build one complete representative dossier per book and then scale the same fields across all 72 chapters.,"This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/trilogy_source_engine.html
native-trilogy-showcase,Book Trilogy Showcase,manuscript or editorial governance system,T3 governed content system,11,5.0,5,L5 execution-ready proof capsule: 11,11,11,instrumented proof set,Chapter dossier demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"chapter-specific title, visual, source, argument, rewrite decision",Canonical Chapter Identity | ReaderEdition Rewrite Target | FinalProof Argument Backbone | ConstructionKit Shape Scaffold | PassageTargets Sentence-Pressure Reservoir,"Add chapter-level dossiers showing title logic, argument skeleton, source role, rewrite decision, and visual specificity for representative chapters.","This is a full-build plan, not a claim that the full operational system has already been completed.",
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption Artifact Identity Register | Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption Extraction And Manifest Layer | Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption Mechanism Or Claim Distillation | Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption Proof Boundary | Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption Promotion Route,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-capstone-defense,Cognitive Firewalls Capstone Defense,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Cognitive Firewalls Capstone Defense Runtime Or Interface Surface | Cognitive Firewalls Capstone Defense Data And State Model | Cognitive Firewalls Capstone Defense Core Instrument Panel | Cognitive Firewalls Capstone Defense Workflow Orchestration | Cognitive Firewalls Capstone Defense Review And Governance Gate,Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.,"This is a full-build plan, not a claim that the full operational system has already been completed.",
native-capstone-defense-noland,Cognitive Firewalls Defense Room,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Cognitive Firewalls Defense Room Artifact Identity Register | Cognitive Firewalls Defense Room Extraction And Manifest Layer | Cognitive Firewalls Defense Room Mechanism Or Claim Distillation | Cognitive Firewalls Defense Room Proof Boundary | Cognitive Firewalls Defense Room Promotion Route,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.","This is a full-build plan, not a claim that the full operational system has already been completed.",
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software module,T2 platform module,11,5.0,5,L5 execution-ready proof capsule: 11,11,11,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments Runtime Or Interface Surface | Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments Data And State Model | Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments Core Instrument Panel | Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments Workflow Orchestration | Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments Review And Governance Gate","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-cmanalysis,Collection Management Analysis,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Collection Management Analysis Runtime Or Interface Surface | Collection Management Analysis Data And State Model | Collection Management Analysis Core Instrument Panel | Collection Management Analysis Workflow Orchestration | Collection Management Analysis Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-africa,Colonial Encounter in Africa,research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Colonial Encounter in Africa Runtime Or Interface Surface | Colonial Encounter in Africa Data And State Model | Colonial Encounter in Africa Core Instrument Panel | Colonial Encounter in Africa Workflow Orchestration | Colonial Encounter in Africa Review And Governance Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions Artifact Identity Register | Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions Extraction And Manifest Layer | Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions Mechanism Or Claim Distillation | Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions Proof Boundary | Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions Promotion Route,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Conversation capture with structured JSON handoff Handoff Identity | Conversation capture with structured JSON handoff Room Task Model | Conversation capture with structured JSON handoff Data Schema And Persistence Plan | Conversation capture with structured JSON handoff Interface And Instrument Plane | Conversation capture with structured JSON handoff Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
row8,Counter-Terror Analysis - 13-page counter-terror analytical narrative arc,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Counter-Terror Analysis - 13-page counter-terror analytical narrative arc Runtime Or Interface Surface | Counter-Terror Analysis - 13-page counter-terror analytical narrative arc Data And State Model | Counter-Terror Analysis - 13-page counter-terror analytical narrative arc Core Instrument Panel | Counter-Terror Analysis - 13-page counter-terror analytical narrative arc Workflow Orchestration | Counter-Terror Analysis - 13-page counter-terror analytical narrative arc Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
