project_id,product_name,proof_status,average_maturity_score,distinctive_component_to_build,what_it_must_prove,observable_output_required,next_full_build_step,claim_boundary
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",instrumented proof set,4.0,Structured-analytic technique replay: CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLU...,"Select one method or template from CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-... and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-chamber-of-record-handoff,Chamber of Record,instrumented proof set,4.0,Packet promotion decision proof: Chamber of Record,"Select one artifact from Chamber of Record and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-chamber-handoff,Chamber of Refractions,instrumented proof set,4.0,Packet promotion decision proof: Chamber of Refractions,"Select one artifact from Chamber of Refractions and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),instrumented proof set,4.0,Packet promotion decision proof: Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),"Select one artifact from Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,instrumented proof set,4.0,Packet promotion decision proof: Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,"Select one artifact from Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-codex-prism-handoff-v1,Codex Prism,instrumented proof set,4.0,Packet promotion decision proof: Codex Prism,"Select one artifact from Codex Prism and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),instrumented proof set,4.0,Packet promotion decision proof: Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),"Select one artifact from Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,instrumented proof set,4.0,Packet promotion decision proof: Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,"Select one artifact from Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",instrumented proof set,4.0,"Packet promotion decision proof: Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""","Select one artifact from Compact flat reference; 14 numbered authority docs; ""Workspace Depth I"" and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,instrumented proof set,4.0,Comparative atrocity-analysis matrix: Comparative Genocide Systems Lab,"Route one case or variable from Comparative Genocide Systems Lab through comparison dimensions, rival interpretation, evidence sufficiency, and public-claim restraint.","case variable, comparison dimension, rival explanation, evidence boundary, and approved judgment","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,instrumented proof set,4.0,Room instrument transition proof: Dialectic Lab,"Select one room or instrument promise from Dialectic Lab and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-handoff-2026,Doctrine Forge Codex,instrumented proof set,4.0,Briefing-to-release proof: Doctrine Forge Codex,"Take one briefing element from Doctrine Forge Codex through source intake, drafting, review brake, release decision, and revision requirement.","briefing input, source support, release brake decision, revision task, and approved public wording","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,instrumented proof set,4.0,Packet promotion decision proof: Earliest pack; high-standard 3-column delta map,"Select one artifact from Earliest pack; high-standard 3-column delta map and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-emt,Emergency Triage Simulator,instrumented proof set,4.0,Packet promotion decision proof: Emergency Triage Simulator,"Select one artifact from Emergency Triage Simulator and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,instrumented proof set,4.0,Room instrument transition proof: Failure Doctrine Lab,"Select one room or instrument promise from Failure Doctrine Lab and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,instrumented proof set,4.0,Packet promotion decision proof: Fifth Dimension,"Select one artifact from Fifth Dimension and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,instrumented proof set,4.0,Packet promotion decision proof: First fully-exploded Master_Package tree; Baltic Grey Zone materials,"Select one artifact from First fully-exploded Master_Package tree; Baltic Grey Zone materials and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-fractal-keep-handoff-v1,Fractal Keep,instrumented proof set,4.0,Packet promotion decision proof: Fractal Keep,"Select one artifact from Fractal Keep and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",instrumented proof set,4.0,"Packet promotion decision proof: Frozen ""Durable Analytical Core""; 12/13-field models per surface","Select one artifact from Frozen ""Durable Analytical Core""; 12/13-field models per surface and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,instrumented proof set,4.0,Packet promotion decision proof: Full portfolio build: 2 casefiles + 8-work product wargame product +...,"Select one artifact from Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,instrumented proof set,4.0,Packet promotion decision proof: Glass Hearth,"Select one artifact from Glass Hearth and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,instrumented proof set,4.0,Packet promotion decision proof: Glass Scriptorium,"Select one artifact from Glass Scriptorium and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-glass-station-handoff,Glass Station,instrumented proof set,4.0,Packet promotion decision proof: Glass Station,"Select one artifact from Glass Station and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,instrumented proof set,4.0,Packet promotion decision proof: Glassworks of Correspondence,"Select one artifact from Glassworks of Correspondence and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,instrumented proof set,4.0,Packet promotion decision proof: House of Light and Doom,"Select one artifact from House of Light and Doom and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,instrumented proof set,4.0,Packet promotion decision proof: Human Terrain & Statecraft,"Select one artifact from Human Terrain & Statecraft and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-infragard-handoff,InfraGard preparatory note (minimal),instrumented proof set,4.0,Packet promotion decision proof: InfraGard preparatory note (minimal),"Select one artifact from InfraGard preparatory note (minimal) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-insinuationengineroom-handoff-done,Insinuation Engine,instrumented proof set,4.0,Room instrument transition proof: Insinuation Engine,"Select one room or instrument promise from Insinuation Engine and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-001,Internal Operating Support Packet 001,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 001,"Select one artifact from Internal Operating Support Packet 001 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-002,Internal Operating Support Packet 002,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 002,"Select one artifact from Internal Operating Support Packet 002 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-005,Internal Operating Support Packet 005,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 005,"Select one artifact from Internal Operating Support Packet 005 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-006,Internal Operating Support Packet 006,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 006,"Select one artifact from Internal Operating Support Packet 006 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-009,Internal Operating Support Packet 009,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 009,"Select one artifact from Internal Operating Support Packet 009 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-010,Internal Operating Support Packet 010,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 010,"Select one artifact from Internal Operating Support Packet 010 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-013,Internal Operating Support Packet 013,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 013,"Select one artifact from Internal Operating Support Packet 013 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-014,Internal Operating Support Packet 014,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 014,"Select one artifact from Internal Operating Support Packet 014 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-017,Internal Operating Support Packet 017,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 017,"Select one artifact from Internal Operating Support Packet 017 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-018,Internal Operating Support Packet 018,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 018,"Select one artifact from Internal Operating Support Packet 018 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-021,Internal Operating Support Packet 021,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 021,"Select one artifact from Internal Operating Support Packet 021 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-022,Internal Operating Support Packet 022,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 022,"Select one artifact from Internal Operating Support Packet 022 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-025,Internal Operating Support Packet 025,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 025,"Select one artifact from Internal Operating Support Packet 025 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-026,Internal Operating Support Packet 026,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 026,"Select one artifact from Internal Operating Support Packet 026 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-029,Internal Operating Support Packet 029,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 029,"Select one artifact from Internal Operating Support Packet 029 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-030,Internal Operating Support Packet 030,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 030,"Select one artifact from Internal Operating Support Packet 030 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-033,Internal Operating Support Packet 033,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 033,"Select one artifact from Internal Operating Support Packet 033 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-034,Internal Operating Support Packet 034,instrumented proof set,4.0,Packet promotion decision proof: Internal Operating Support Packet 034,"Select one artifact from Internal Operating Support Packet 034 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,instrumented proof set,4.0,Packet promotion decision proof: Introduces Vivarium codename; contradiction-graph table,"Select one artifact from Introduces Vivarium codename; contradiction-graph table and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,instrumented proof set,4.0,Packet promotion decision proof: Judgment/status pass; L-01..L-04 non-blocking limitations,"Select one artifact from Judgment/status pass; L-01..L-04 non-blocking limitations and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,instrumented proof set,4.0,Packet promotion decision proof: Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deter...,"Select one artifact from Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
