project_id,product_name,object_family,instrument,workbench_href,claim_status,full_operational,remaining_gap
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,research/publication,Source-and-claim review instrument,apps/cognitive-firewall-instruments/index.html,local_review_instrument_built,no,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification."
master-bundle-atlas,Master Bundle Packet Promotion Atlas,source/archive governance,Source-and-claim review instrument,apps/master-bundle-atlas/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-amfp,Washington-Jefferson Era Foreign Policy,source/archive governance,Source-and-claim review instrument,apps/native-amfp/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-trilogy-showcase,Book Trilogy Showcase,manuscript/publication,Manuscript readiness review instrument,apps/native-trilogy-showcase/index.html,local_review_instrument_built,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
native-trilogy-showcase-atlas,Book Trilogy Atlas,manuscript/publication,Manuscript readiness review instrument,apps/native-trilogy-showcase-atlas/index.html,local_review_instrument_built,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,source/archive governance,Source-and-claim review instrument,apps/reflexive-control-chamber/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,research/publication,Source-and-claim review instrument,apps/row2/index.html,local_review_instrument_built,no,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification."
trilogy,Book Trilogy Manuscript Governance System,manuscript/publication,Manuscript readiness review instrument,apps/trilogy/index.html,local_review_instrument_built,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,analytic instrument,Project proof review instrument,apps/bias-atlas/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,analytic instrument,Project proof review instrument,apps/genocide-lab/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,manuscript/publication,Manuscript readiness review instrument,apps/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/index.html,local_review_instrument_built,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
native-aifailure-tax,AI Failure Taxonomy,analytic instrument,Project proof review instrument,apps/native-aifailure-tax/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-aimodel-assess,AI Model Assessment,source/archive governance,Source-and-claim review instrument,apps/native-aimodel-assess/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiosintnarr,AI OSINT Narrative Analysis,source/archive governance,Source-and-claim review instrument,apps/native-aiosintnarr/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-atanalysis,Analysis Tradecraft,analytic instrument,Project proof review instrument,apps/native-atanalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-cmanalysis,Collection Management Analysis,analytic instrument,Project proof review instrument,apps/native-cmanalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-cyanalysis,Cyber Analysis,analytic instrument,Project proof review instrument,apps/native-cyanalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-ddianalysis,Directorate Analysis Method,analytic instrument,Project proof review instrument,apps/native-ddianalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-etanalysis,Emerging Technology Analysis,analytic instrument,Project proof review instrument,apps/native-etanalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-fwanalysis,Foreign Warning Analysis,analytic instrument,Project proof review instrument,apps/native-fwanalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-hsanalysis,Homeland Security Analysis,analytic instrument,Project proof review instrument,apps/native-hsanalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-icanalysis,Intelligence Community Analysis,analytic instrument,Project proof review instrument,apps/native-icanalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-psanalysis,Political Strategy Analysis,analytic instrument,Project proof review instrument,apps/native-psanalysis/index.html,local_review_instrument_built,no,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-wargaming,Alliance Crisis Wargaming,source/archive governance,Source-and-claim review instrument,apps/native-wargaming/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,source/archive governance,Source-and-claim review instrument,apps/wargaming/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source/archive governance,Source-and-claim review instrument,apps/critical-functions-observatory/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,source/archive governance,Source-and-claim review instrument,apps/mb-russia-security-handoff-packet-done/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,source/archive governance,Source-and-claim review instrument,apps/mb-narrative-furnace-handoff-pack-2026-04-14/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),source/archive governance,Source-and-claim review instrument,apps/mb-redteamlab-proper-handoff-zip-2026-04-14/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,source/archive governance,Source-and-claim review instrument,apps/mb-six-project-hardening-handoff-done-v1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",source/archive governance,Source-and-claim review instrument,apps/mb-speechwriting-handoff-packet/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,source/archive governance,Source-and-claim review instrument,apps/mb-cognitive-firewalls-foundry-handoff-v1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,source/archive governance,Source-and-claim review instrument,apps/mb-redteamlab-packet1-proper-handoff-done/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-london,Colonial Archive Explorer,source/archive governance,Source-and-claim review instrument,apps/native-london/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-hearthglass-handoff-v1,HearthGlass,source/archive governance,Source-and-claim review instrument,apps/mb-hearthglass-handoff-v1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,source/archive governance,Source-and-claim review instrument,apps/mb-isc-symposium-command-room-handoff-pass3-done/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,source/archive governance,Source-and-claim review instrument,apps/mb-the-interval-chamber-of-refraction-handoff-v1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,source/archive governance,Source-and-claim review instrument,apps/mb-counter-idiom-lab-proper-handoff-done/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,source/archive governance,Source-and-claim review instrument,apps/mb-foreign-affairs-lexicon-handoff-v1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,source/archive governance,Source-and-claim review instrument,apps/mb-georgetown-ic-handoff-done/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,source/archive governance,Source-and-claim review instrument,apps/mb-gotham-lossless-replacement-archive-2026-04-15/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-003,Internal Operating Support Packet 003,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-003/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-004,Internal Operating Support Packet 004,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-004/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-007,Internal Operating Support Packet 007,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-007/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-008,Internal Operating Support Packet 008,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-008/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-011,Internal Operating Support Packet 011,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-011/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-012,Internal Operating Support Packet 012,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-012/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-015,Internal Operating Support Packet 015,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-015/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-016,Internal Operating Support Packet 016,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-016/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-019,Internal Operating Support Packet 019,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-019/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-020,Internal Operating Support Packet 020,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-020/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-023,Internal Operating Support Packet 023,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-023/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-024,Internal Operating Support Packet 024,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-024/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-027,Internal Operating Support Packet 027,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-027/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-028,Internal Operating Support Packet 028,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-028/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-031,Internal Operating Support Packet 031,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-031/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-032,Internal Operating Support Packet 032,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-032/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-035,Internal Operating Support Packet 035,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-035/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-036,Internal Operating Support Packet 036,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-036/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",source/archive governance,Source-and-claim review instrument,apps/mb-sophisticated-expression-lexicon-handoff/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,source/archive governance,Source-and-claim review instrument,apps/mb-ic-analyst-portfolio-handoff-pass1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,source/archive governance,Source-and-claim review instrument,apps/mb-individual-democratic-dialectic-final-handoff-done/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,source/archive governance,Source-and-claim review instrument,apps/mb-ukraine-handoff-packet/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),source/archive governance,Source-and-claim review instrument,apps/mb-briefingforgeroom-handoff-pass4-done/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,source/archive governance,Source-and-claim review instrument,apps/mb-comparative-genocide-systems-lab-handoff-v1-0/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),source/archive governance,Source-and-claim review instrument,apps/mb-comparative-rhetoric-final/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-fractal-keep-handoff-v1,Fractal Keep,source/archive governance,Source-and-claim review instrument,apps/mb-fractal-keep-handoff-v1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-001,Internal Operating Support Packet 001,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-001/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-002,Internal Operating Support Packet 002,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-002/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-005,Internal Operating Support Packet 005,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-005/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-006,Internal Operating Support Packet 006,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-006/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-009,Internal Operating Support Packet 009,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-009/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-010,Internal Operating Support Packet 010,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-010/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-013,Internal Operating Support Packet 013,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-013/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-014,Internal Operating Support Packet 014,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-014/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-017,Internal Operating Support Packet 017,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-017/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-018,Internal Operating Support Packet 018,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-018/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-021,Internal Operating Support Packet 021,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-021/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-022,Internal Operating Support Packet 022,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-022/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-025,Internal Operating Support Packet 025,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-025/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-026,Internal Operating Support Packet 026,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-026/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-029,Internal Operating Support Packet 029,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-029/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-030,Internal Operating Support Packet 030,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-030/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-033,Internal Operating Support Packet 033,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-033/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-034,Internal Operating Support Packet 034,source/archive governance,Source-and-claim review instrument,apps/mb-internal-operating-support-034/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,source/archive governance,Source-and-claim review instrument,apps/mb-redteamlab-proper-handoff-package-2026-04-14/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),manuscript/publication,Manuscript readiness review instrument,apps/mb-rfp-handoff-ch01-02-done/index.html,local_review_instrument_built,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,source/archive governance,Source-and-claim review instrument,apps/mb-wargaming-handoff-pass1/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-applied-history-lab,Applied History Lab,source/archive governance,Source-and-claim review instrument,apps/native-applied-history-lab/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-emt,Emergency Triage Simulator,source/archive governance,Source-and-claim review instrument,apps/native-emt/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-habitat,Volunteer Build-Day Coordination,source/archive governance,Source-and-claim review instrument,apps/native-habitat/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-master-bundle-pages,Master Bundle Pages,source/archive governance,Source-and-claim review instrument,apps/native-master-bundle-pages/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-pharm,Vaccine Distribution Planner,source/archive governance,Source-and-claim review instrument,apps/native-pharm/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-respite,Recovery Respite Facility Operations,source/archive governance,Source-and-claim review instrument,apps/native-respite/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-uscri,Refugee Resettlement Resource Allocation,source/archive governance,Source-and-claim review instrument,apps/native-uscri/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,source/archive governance,Source-and-claim review instrument,apps/red-team-lab/index.html,local_review_instrument_built,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
