project_id,closure_lane,vault_href,required_slot_count,present_slot_count,validation_status,promotion_allowed,vault_hash
mb-redteamlab-proper-handoff-zip-2026-04-14,source_verification_external_review,vaults/mb-redteamlab-proper-handoff-zip-2026-04-14/index.html,4,0,evidence_missing,no,29c440f2353fd637
mb-six-project-hardening-handoff-done-v1,source_verification_external_review,vaults/mb-six-project-hardening-handoff-done-v1/index.html,4,0,evidence_missing,no,237cc6adc80d70d6
mb-speechwriting-handoff-packet,source_verification_external_review,vaults/mb-speechwriting-handoff-packet/index.html,4,0,evidence_missing,no,cd30ad303ca3d1a8
mb-cognitive-firewalls-foundry-handoff-v1,source_verification_external_review,vaults/mb-cognitive-firewalls-foundry-handoff-v1/index.html,4,0,evidence_missing,no,493e4679900437ff
mb-redteamlab-packet1-proper-handoff-done,source_verification_external_review,vaults/mb-redteamlab-packet1-proper-handoff-done/index.html,4,0,evidence_missing,no,88229d85872f0154
native-london,source_verification_external_review,vaults/native-london/index.html,4,0,evidence_missing,no,ec08c37a7af11fcc
mb-hearthglass-handoff-v1,source_verification_external_review,vaults/mb-hearthglass-handoff-v1/index.html,4,0,evidence_missing,no,fb20ef7d3c5a97c6
mb-isc-symposium-command-room-handoff-pass3-done,source_verification_external_review,vaults/mb-isc-symposium-command-room-handoff-pass3-done/index.html,4,0,evidence_missing,no,753c26768d323b8c
mb-the-interval-chamber-of-refraction-handoff-v1,source_verification_external_review,vaults/mb-the-interval-chamber-of-refraction-handoff-v1/index.html,4,0,evidence_missing,no,f9028b45a84965fe
mb-counter-idiom-lab-proper-handoff-done,source_verification_external_review,vaults/mb-counter-idiom-lab-proper-handoff-done/index.html,4,0,evidence_missing,no,d8ea30056fed33d1
mb-foreign-affairs-lexicon-handoff-v1,source_verification_external_review,vaults/mb-foreign-affairs-lexicon-handoff-v1/index.html,4,0,evidence_missing,no,190ec81f8718f0a3
mb-georgetown-ic-handoff-done,source_verification_external_review,vaults/mb-georgetown-ic-handoff-done/index.html,4,0,evidence_missing,no,5b2bda70cc3e91c2
mb-gotham-lossless-replacement-archive-2026-04-15,source_verification_external_review,vaults/mb-gotham-lossless-replacement-archive-2026-04-15/index.html,4,0,evidence_missing,no,16d44338ffd881b9
mb-internal-operating-support-003,source_verification_external_review,vaults/mb-internal-operating-support-003/index.html,4,0,evidence_missing,no,499925e3863c0074
mb-internal-operating-support-004,source_verification_external_review,vaults/mb-internal-operating-support-004/index.html,4,0,evidence_missing,no,a52fae3f73476ca4
mb-internal-operating-support-007,source_verification_external_review,vaults/mb-internal-operating-support-007/index.html,4,0,evidence_missing,no,2eb9a07ce2919234
mb-internal-operating-support-008,source_verification_external_review,vaults/mb-internal-operating-support-008/index.html,4,0,evidence_missing,no,14837fe4a07fd5b3
mb-internal-operating-support-011,source_verification_external_review,vaults/mb-internal-operating-support-011/index.html,4,0,evidence_missing,no,51561de615be8308
mb-internal-operating-support-012,source_verification_external_review,vaults/mb-internal-operating-support-012/index.html,4,0,evidence_missing,no,0bb376b1a3f15eb9
mb-internal-operating-support-015,source_verification_external_review,vaults/mb-internal-operating-support-015/index.html,4,0,evidence_missing,no,4605ed79e2ea7f60
mb-internal-operating-support-016,source_verification_external_review,vaults/mb-internal-operating-support-016/index.html,4,0,evidence_missing,no,8e5b36750e9e8777
mb-internal-operating-support-019,source_verification_external_review,vaults/mb-internal-operating-support-019/index.html,4,0,evidence_missing,no,5c3b61a1448abee1
mb-internal-operating-support-020,source_verification_external_review,vaults/mb-internal-operating-support-020/index.html,4,0,evidence_missing,no,833cd3f254adc458
mb-internal-operating-support-023,source_verification_external_review,vaults/mb-internal-operating-support-023/index.html,4,0,evidence_missing,no,085ee14a446073f5
mb-internal-operating-support-024,source_verification_external_review,vaults/mb-internal-operating-support-024/index.html,4,0,evidence_missing,no,9d98b53ff6142498
mb-internal-operating-support-027,source_verification_external_review,vaults/mb-internal-operating-support-027/index.html,4,0,evidence_missing,no,c0479e14bfe25b0a
mb-internal-operating-support-028,source_verification_external_review,vaults/mb-internal-operating-support-028/index.html,4,0,evidence_missing,no,13d877e116dc431e
mb-internal-operating-support-031,source_verification_external_review,vaults/mb-internal-operating-support-031/index.html,4,0,evidence_missing,no,5b940326f0d8a035
mb-internal-operating-support-032,source_verification_external_review,vaults/mb-internal-operating-support-032/index.html,4,0,evidence_missing,no,861d7e447082bc83
mb-internal-operating-support-035,source_verification_external_review,vaults/mb-internal-operating-support-035/index.html,4,0,evidence_missing,no,76e7315c0d5c8ad4
mb-internal-operating-support-036,source_verification_external_review,vaults/mb-internal-operating-support-036/index.html,4,0,evidence_missing,no,d96bcde082777b31
mb-sophisticated-expression-lexicon-handoff,source_verification_external_review,vaults/mb-sophisticated-expression-lexicon-handoff/index.html,4,0,evidence_missing,no,540550824ef404a1
mb-ic-analyst-portfolio-handoff-pass1,source_verification_external_review,vaults/mb-ic-analyst-portfolio-handoff-pass1/index.html,4,0,evidence_missing,no,7d86a3827511fbe5
mb-individual-democratic-dialectic-final-handoff-done,source_verification_external_review,vaults/mb-individual-democratic-dialectic-final-handoff-done/index.html,4,0,evidence_missing,no,89e6123d2da03d08
mb-ukraine-handoff-packet,source_verification_external_review,vaults/mb-ukraine-handoff-packet/index.html,4,0,evidence_missing,no,5629123b08bfd063
mb-briefingforgeroom-handoff-pass4-done,source_verification_external_review,vaults/mb-briefingforgeroom-handoff-pass4-done/index.html,4,0,evidence_missing,no,af188b2f6bc00539
mb-comparative-genocide-systems-lab-handoff-v1-0,source_verification_external_review,vaults/mb-comparative-genocide-systems-lab-handoff-v1-0/index.html,4,0,evidence_missing,no,2fe1af097577c033
mb-comparative-rhetoric-final,source_verification_external_review,vaults/mb-comparative-rhetoric-final/index.html,4,0,evidence_missing,no,53f9e1fa82b0526d
mb-fractal-keep-handoff-v1,source_verification_external_review,vaults/mb-fractal-keep-handoff-v1/index.html,4,0,evidence_missing,no,b6a796591e90dab5
mb-internal-operating-support-001,source_verification_external_review,vaults/mb-internal-operating-support-001/index.html,4,0,evidence_missing,no,40648d9b512229c8
mb-internal-operating-support-002,source_verification_external_review,vaults/mb-internal-operating-support-002/index.html,4,0,evidence_missing,no,fdb0d7324b9c74cc
mb-internal-operating-support-005,source_verification_external_review,vaults/mb-internal-operating-support-005/index.html,4,0,evidence_missing,no,4405fe26600e51b9
mb-internal-operating-support-006,source_verification_external_review,vaults/mb-internal-operating-support-006/index.html,4,0,evidence_missing,no,025a9fce4aabe55e
mb-internal-operating-support-009,source_verification_external_review,vaults/mb-internal-operating-support-009/index.html,4,0,evidence_missing,no,07439e1dca07438e
mb-internal-operating-support-010,source_verification_external_review,vaults/mb-internal-operating-support-010/index.html,4,0,evidence_missing,no,f7035ccc483e8061
mb-internal-operating-support-013,source_verification_external_review,vaults/mb-internal-operating-support-013/index.html,4,0,evidence_missing,no,d581489338612ee1
mb-internal-operating-support-014,source_verification_external_review,vaults/mb-internal-operating-support-014/index.html,4,0,evidence_missing,no,2e05d7fd995c682f
mb-internal-operating-support-017,source_verification_external_review,vaults/mb-internal-operating-support-017/index.html,4,0,evidence_missing,no,f305518067c3e236
mb-internal-operating-support-018,source_verification_external_review,vaults/mb-internal-operating-support-018/index.html,4,0,evidence_missing,no,7f946d9c0faa3718
mb-internal-operating-support-021,source_verification_external_review,vaults/mb-internal-operating-support-021/index.html,4,0,evidence_missing,no,3105caf85d22ce6a
mb-internal-operating-support-022,source_verification_external_review,vaults/mb-internal-operating-support-022/index.html,4,0,evidence_missing,no,f61480cd03a8640d
mb-internal-operating-support-025,source_verification_external_review,vaults/mb-internal-operating-support-025/index.html,4,0,evidence_missing,no,995eb07b4d30a199
mb-internal-operating-support-026,source_verification_external_review,vaults/mb-internal-operating-support-026/index.html,4,0,evidence_missing,no,242f9351e63827e1
mb-internal-operating-support-029,source_verification_external_review,vaults/mb-internal-operating-support-029/index.html,4,0,evidence_missing,no,14c472fedb5bb6f2
mb-internal-operating-support-030,source_verification_external_review,vaults/mb-internal-operating-support-030/index.html,4,0,evidence_missing,no,c5334fd13d4f1f8e
mb-internal-operating-support-033,source_verification_external_review,vaults/mb-internal-operating-support-033/index.html,4,0,evidence_missing,no,d67d753fe71d4ad8
mb-internal-operating-support-034,source_verification_external_review,vaults/mb-internal-operating-support-034/index.html,4,0,evidence_missing,no,86846e6c57cfb238
mb-redteamlab-proper-handoff-package-2026-04-14,source_verification_external_review,vaults/mb-redteamlab-proper-handoff-package-2026-04-14/index.html,4,0,evidence_missing,no,0e399567a6b071bf
mb-rfp-handoff-ch01-02-done,manuscript_editorial_completion,vaults/mb-rfp-handoff-ch01-02-done/index.html,4,0,evidence_missing,no,11159125df125f00
mb-wargaming-handoff-pass1,source_verification_external_review,vaults/mb-wargaming-handoff-pass1/index.html,4,0,evidence_missing,no,7ef49c9f26b3fa08
native-applied-history-lab,source_verification_external_review,vaults/native-applied-history-lab/index.html,4,0,evidence_missing,no,c77e97cf89bc7c4b
native-emt,source_verification_external_review,vaults/native-emt/index.html,4,0,evidence_missing,no,5c60f5e6e4c141dd
native-habitat,source_verification_external_review,vaults/native-habitat/index.html,4,0,evidence_missing,no,d3df2e7db58bf9f4
native-master-bundle-pages,source_verification_external_review,vaults/native-master-bundle-pages/index.html,4,0,evidence_missing,no,8de3340ce38215ad
native-pharm,source_verification_external_review,vaults/native-pharm/index.html,4,0,evidence_missing,no,2e4f17aff1ce9d30
native-respite,source_verification_external_review,vaults/native-respite/index.html,4,0,evidence_missing,no,aab70a668f2356e4
native-uscri,source_verification_external_review,vaults/native-uscri/index.html,4,0,evidence_missing,no,83b8f2902e2fc2fe
red-team-lab,source_verification_external_review,vaults/red-team-lab/index.html,4,0,evidence_missing,no,7576135614bd7fa6
