project_id,product_name,evidence_standard,must_capture_next,tests_required,blocking_gaps,proof_needed_before_fully_operational_claim
master-bundle-atlas,Master Bundle Packet Promotion Atlas,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.",Run one packet through canonical/derivative/archive/build-now classification and capture the next action.,"run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,"Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-fractal-keep-handoff-v1,Fractal Keep,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-hearthglass-handoff-v1,HearthGlass,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,"Argument outline, chapter or section text, source state, revision protocol, continuity checks, reader-facing sample, and editorial acceptance criteria.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-infragard-handoff,InfraGard preparatory note (minimal),"Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-insinuationengineroom-handoff-done,Insinuation Engine,"Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-001,Internal Operating Support Packet 001,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-002,Internal Operating Support Packet 002,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-003,Internal Operating Support Packet 003,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-004,Internal Operating Support Packet 004,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-005,Internal Operating Support Packet 005,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-006,Internal Operating Support Packet 006,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-007,Internal Operating Support Packet 007,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-008,Internal Operating Support Packet 008,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-009,Internal Operating Support Packet 009,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-010,Internal Operating Support Packet 010,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-011,Internal Operating Support Packet 011,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-012,Internal Operating Support Packet 012,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-013,Internal Operating Support Packet 013,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-014,Internal Operating Support Packet 014,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
