operational_contract_id,project_id,product_name,final_object_type,object_family,build_mode,operationalization_score,operational_status,fully_operational,readiness_score,component_count,execution_ready_components,instrumented_or_better_components,package_verifiable_runs,instrumented_runs_needing_capture,source_applications,human_verified_source_integrations,remaining_gaps,next_operational_build,tests_required_for_full_standing,contract_href,claim_boundary
NOC-3B1FEAEC9667,native-analyst-assurance-desk,Analyst Assurance Desk,analytic method or human-AI evaluation module,software/app,software or application build,93,near-operational proof package; not fully operational,no,98,8,8,8,8,0,6,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-analyst-assurance-desk/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-304F03A7E7B8,native-berlin,Berlin Occupation Zones and Refugee Crisis,retrieval or evidence-evaluation platform,software/app,software or application build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-berlin/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-7EF090E2EEB6,native-cicc,ICC Complementarity Case Room,portfolio room or research surface,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-cicc/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-FD5A50064FD1,native-crusades,Crusades and Mediterranean Order,portfolio room or research surface,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-crusades/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-4E5B648D39B2,native-peace,Track II Diplomacy and Peacebuilding,portfolio room or research surface,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-peace/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-F9401FB20C29,native-russia,Russia,research workflow software module,software/app,software or application build,93,near-operational proof package; not fully operational,no,98,17,17,17,17,0,6,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-russia/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-63DE7BF6FB7C,native-russia-history-room,Russia Historical Context Room,research workflow software module,software/app,software or application build,93,near-operational proof package; not fully operational,no,98,8,8,8,8,0,6,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-russia-history-room/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-8D8BA7378964,native-war-theory,War Theory and Strategic Culture,portfolio room or research surface,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-war-theory/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-EB0544B38798,row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,retrieval or evidence-evaluation platform,software/app,software or application build,93,near-operational proof package; not fully operational,no,100,10,10,10,10,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/row6/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-B6C1FA84E5C1,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,source governance or packet-routing system,research/publication,research publication build,92,near-operational proof package; not fully operational,no,89,17,17,17,17,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/cognitive-firewall-instruments/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-F73721AFCCF8,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software module,software/app,software or application build,92,near-operational proof package; not fully operational,no,95,11,11,11,11,0,5,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/cognitive-warfare/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-C8BAFF3A3DF6,historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",research workflow software module,software/app,software or application build,92,near-operational proof package; not fully operational,no,89,10,10,10,10,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/historical-studies/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-0B63DB480151,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,research workflow software module,software/app,software or application build,92,near-operational proof package; not fully operational,no,95,17,17,17,17,0,5,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/ir-lexicon/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-3C0B716D9C32,master-bundle-atlas,Master Bundle Packet Promotion Atlas,source packet governance and project-routing system,source/archive governance,source governance build,92,near-operational proof package; not fully operational,no,89,17,17,17,17,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,Run one packet through canonical/derivative/archive/build-now classification and capture the next action.,"run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/master-bundle-atlas/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-0CB1A56422D2,native-africa,Colonial Encounter in Africa,research workflow software module,software/app,software or application build,92,near-operational proof package; not fully operational,no,95,17,17,17,17,0,5,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-africa/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-0FA736A7E897,native-amfp,Washington-Jefferson Era Foreign Policy,portfolio room or research surface,source/archive governance,source governance build,92,near-operational proof package; not fully operational,no,89,17,17,17,17,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-amfp/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-D94C031177D3,native-east-asia,East Asian War and Strategic Tradition,research workflow software module,software/app,software or application build,92,near-operational proof package; not fully operational,no,95,17,17,17,17,0,5,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-east-asia/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-A32157ADEB5B,native-mideast,Ottoman Palestine and Early Zionism,research workflow software module,software/app,software or application build,92,near-operational proof package; not fully operational,no,95,17,17,17,17,0,5,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-mideast/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-CA2FF55D6343,native-mongol,Mongol Empire Military Systems,research workflow software module,software/app,software or application build,92,near-operational proof package; not fully operational,no,95,17,17,17,17,0,5,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-mongol/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-6144BBC671EE,native-trilogy-showcase,Book Trilogy Showcase,manuscript or editorial governance system,manuscript/publication,manuscript and publication system,92,near-operational proof package; not fully operational,no,89,11,11,11,11,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add chapter-level dossiers showing title logic, argument skeleton, source role, rewrite decision, and visual specificity for representative chapters.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-trilogy-showcase/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-8AA6D8CB84BE,native-trilogy-showcase-atlas,Book Trilogy Atlas,analytic method or human-AI evaluation module,manuscript/publication,manuscript and publication system,92,near-operational proof package; not fully operational,no,89,11,11,11,11,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-trilogy-showcase-atlas/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-61D589D760C1,native-western,Western Political Thought and the Ideal State,research workflow software module,software/app,software or application build,92,near-operational proof package; not fully operational,no,95,17,17,17,17,0,5,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-western/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-10282E753D67,reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,source governance or packet-routing system,source/archive governance,source governance build,92,near-operational proof package; not fully operational,no,89,17,17,17,17,0,8,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add one source-to-judgment chain: source family, analytic variable, competing interpretation, confidence boundary, and policy implication.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/reflexive-control-chamber/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-83F5AD7834A9,row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,research project or professional workbench,research/publication,research publication build,92,near-operational proof package; not fully operational,no,89,17,17,17,17,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/row2/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-C0022583C1E3,russia-desk,Russia Source-To-Judgment Desk,regional analytic workstation,software/app,software or application build,92,near-operational proof package; not fully operational,no,89,8,8,8,8,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,Run one source family into a visible source-to-variable-to-judgment chain.,"run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/russia-desk/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-FBDEB41FEB7B,trilogy,Book Trilogy Manuscript Governance System,manuscript governance and chapter-upgrade system,manuscript/publication,manuscript and publication system,92,near-operational proof package; not fully operational,no,89,11,11,11,11,0,7,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,Build one complete representative dossier per book and then scale the same fields across all 72 chapters.,"run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/trilogy/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-FC6D31BF1375,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",research workflow software module,software/app,software or application build,91,near-operational proof package; not fully operational,no,84,17,17,17,17,0,5,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/analytical-methodology/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-60A13D7CB0A7,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,analytic method or human-AI evaluation module,analytic instrument,analytic instrument build,91,near-operational proof package; not fully operational,no,87,17,17,17,17,0,6,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/bias-atlas/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-E2D9B7BA1C9C,genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,analytic method or human-AI evaluation module,analytic instrument,analytic instrument build,91,near-operational proof package; not fully operational,no,87,17,17,17,17,0,6,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/genocide-lab/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-32D4CEE6630B,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,analytic method or human-AI evaluation module,manuscript/publication,manuscript and publication system,91,near-operational proof package; not fully operational,no,87,17,17,17,17,0,6,0,human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
