project_id,product_name,final_object_type,owner_lane,exclusion_reason
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,source governance or packet-routing system,active_non_overlap,
mb-hearthglass-handoff-v1,HearthGlass,source governance or packet-routing system,active_non_overlap,
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,source governance or packet-routing system,active_non_overlap,
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,analytic method or human-AI evaluation module,active_non_overlap,
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,source governance or packet-routing system,active_non_overlap,
mb-infragard-handoff,InfraGard preparatory note (minimal),retrieval or evidence-evaluation platform,active_non_overlap,
mb-insinuationengineroom-handoff-done,Insinuation Engine,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-001,Internal Operating Support Packet 001,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-002,Internal Operating Support Packet 002,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-003,Internal Operating Support Packet 003,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-004,Internal Operating Support Packet 004,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-005,Internal Operating Support Packet 005,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-006,Internal Operating Support Packet 006,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-007,Internal Operating Support Packet 007,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-008,Internal Operating Support Packet 008,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-009,Internal Operating Support Packet 009,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-010,Internal Operating Support Packet 010,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-011,Internal Operating Support Packet 011,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-012,Internal Operating Support Packet 012,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-013,Internal Operating Support Packet 013,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-014,Internal Operating Support Packet 014,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-015,Internal Operating Support Packet 015,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-016,Internal Operating Support Packet 016,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-017,Internal Operating Support Packet 017,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-018,Internal Operating Support Packet 018,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-019,Internal Operating Support Packet 019,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-020,Internal Operating Support Packet 020,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-021,Internal Operating Support Packet 021,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-022,Internal Operating Support Packet 022,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-023,Internal Operating Support Packet 023,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-024,Internal Operating Support Packet 024,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-025,Internal Operating Support Packet 025,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-026,Internal Operating Support Packet 026,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-027,Internal Operating Support Packet 027,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-028,Internal Operating Support Packet 028,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-029,Internal Operating Support Packet 029,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-030,Internal Operating Support Packet 030,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-031,Internal Operating Support Packet 031,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-032,Internal Operating Support Packet 032,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-033,Internal Operating Support Packet 033,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-034,Internal Operating Support Packet 034,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-035,Internal Operating Support Packet 035,source governance or packet-routing system,active_non_overlap,
mb-internal-operating-support-036,Internal Operating Support Packet 036,source governance or packet-routing system,active_non_overlap,
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,source governance or packet-routing system,active_non_overlap,
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,source governance or packet-routing system,active_non_overlap,
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source governance or packet-routing system,active_non_overlap,
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,source governance or packet-routing system,active_non_overlap,
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,source governance or packet-routing system,active_non_overlap,
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),source governance or packet-routing system,active_non_overlap,
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),manuscript or editorial governance system,active_non_overlap,
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source governance or packet-routing system,active_non_overlap,
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,source governance or packet-routing system,active_non_overlap,
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,source governance or packet-routing system,active_non_overlap,
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,source governance or packet-routing system,active_non_overlap,
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",source governance or packet-routing system,active_non_overlap,
mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",source governance or packet-routing system,active_non_overlap,
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,source governance or packet-routing system,active_non_overlap,
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,source governance or packet-routing system,active_non_overlap,
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source governance or packet-routing system,active_non_overlap,
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,source governance or packet-routing system,active_non_overlap,
native-africa,Colonial Encounter in Africa,research workflow software module,active_non_overlap,
native-aifailure-tax,AI Failure Taxonomy,analytic method or human-AI evaluation module,active_non_overlap,
native-aigov-nav,AI Governance Navigator,source governance or packet-routing system,active_non_overlap,
native-aiintel-cycle,AI Intelligence Cycle,source governance or packet-routing system,active_non_overlap,
native-aiknowledge-prod,AI Knowledge Production,source governance or packet-routing system,active_non_overlap,
native-aimodel-assess,AI Model Assessment,source governance or packet-routing system,active_non_overlap,
native-aiosintnarr,AI OSINT Narrative Analysis,source governance or packet-routing system,active_non_overlap,
native-aiprompt-eng,AI Prompt Engineering,source governance or packet-routing system,active_non_overlap,
native-aishared-instruments,AI Shared Instruments,source governance or packet-routing system,active_non_overlap,
native-amfp,Washington-Jefferson Era Foreign Policy,portfolio room or research surface,active_non_overlap,
native-analyst-assurance-desk,Analyst Assurance Desk,analytic method or human-AI evaluation module,active_non_overlap,
native-applied-history-lab,Applied History Lab,source governance or packet-routing system,active_non_overlap,
native-atanalysis,Analysis Tradecraft,analytic method or human-AI evaluation module,active_non_overlap,
native-berlin,Berlin Occupation Zones and Refugee Crisis,retrieval or evidence-evaluation platform,active_non_overlap,
native-cicc,ICC Complementarity Case Room,portfolio room or research surface,active_non_overlap,
native-cmanalysis,Collection Management Analysis,analytic method or human-AI evaluation module,active_non_overlap,
native-crusades,Crusades and Mediterranean Order,portfolio room or research surface,active_non_overlap,
native-cyanalysis,Cyber Analysis,analytic method or human-AI evaluation module,active_non_overlap,
native-ddianalysis,Directorate Analysis Method,analytic method or human-AI evaluation module,active_non_overlap,
native-east-asia,East Asian War and Strategic Tradition,research workflow software module,active_non_overlap,
native-emt,Emergency Triage Simulator,research project or professional workbench,active_non_overlap,
native-etanalysis,Emerging Technology Analysis,analytic method or human-AI evaluation module,active_non_overlap,
native-fwanalysis,Foreign Warning Analysis,analytic method or human-AI evaluation module,active_non_overlap,
native-habitat,Volunteer Build-Day Coordination,research project or professional workbench,active_non_overlap,
native-hsanalysis,Homeland Security Analysis,analytic method or human-AI evaluation module,active_non_overlap,
native-icanalysis,Intelligence Community Analysis,analytic method or human-AI evaluation module,active_non_overlap,
native-london,Colonial Archive Explorer,source governance or packet-routing system,active_non_overlap,
native-master-bundle-pages,Master Bundle Pages,source governance or packet-routing system,active_non_overlap,
native-mideast,Ottoman Palestine and Early Zionism,research workflow software module,active_non_overlap,
native-mongol,Mongol Empire Military Systems,research workflow software module,active_non_overlap,
native-peace,Track II Diplomacy and Peacebuilding,portfolio room or research surface,active_non_overlap,
native-pharm,Vaccine Distribution Planner,research project or professional workbench,active_non_overlap,
native-psanalysis,Political Strategy Analysis,analytic method or human-AI evaluation module,active_non_overlap,
native-respite,Recovery Respite Facility Operations,research project or professional workbench,active_non_overlap,
native-russia,Russia,research workflow software module,active_non_overlap,
native-russia-history-room,Russia Historical Context Room,research workflow software module,active_non_overlap,
native-russia-security-desk,Russia Security Desk,research workflow software module,active_non_overlap,
native-trilogy-showcase,Book Trilogy Showcase,manuscript or editorial governance system,active_non_overlap,
native-trilogy-showcase-atlas,Book Trilogy Atlas,analytic method or human-AI evaluation module,active_non_overlap,
native-uscri,Refugee Resettlement Resource Allocation,research project or professional workbench,active_non_overlap,
native-war-theory,War Theory and Strategic Culture,portfolio room or research surface,active_non_overlap,
native-wargaming,Alliance Crisis Wargaming,research project or professional workbench,active_non_overlap,
native-western,Western Political Thought and the Ideal State,research workflow software module,active_non_overlap,
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,source governance or packet-routing system,active_non_overlap,
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,source governance or packet-routing system,active_non_overlap,
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",research workflow software module,active_non_overlap,
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,research project or professional workbench,active_non_overlap,
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,retrieval or evidence-evaluation platform,active_non_overlap,
russia-desk,Russia Source-To-Judgment Desk,regional analytic workstation,active_non_overlap,
trilogy,Book Trilogy Manuscript Governance System,manuscript governance and chapter-upgrade system,active_non_overlap,
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,research project or professional workbench,active_non_overlap,
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,analytic method or human-AI evaluation module,excluded_other_chat,CI / CT family
analytical-methods,Structured Analytic Technique Studio,method-composition and evaluation software,excluded_other_chat,explicitly excluded by user ownership boundary
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,analytic method or human-AI evaluation module,excluded_other_chat,explicitly excluded by user ownership boundary
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,research project or professional workbench,excluded_other_chat,CI / CT family
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,source governance or packet-routing system,excluded_other_chat,SAT Studio
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),analytic method or human-AI evaluation module,excluded_other_chat,explicitly excluded by user ownership boundary
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",source governance or packet-routing system,excluded_other_chat,Capstone family
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-chamber-handoff,Chamber of Refractions,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-chamber-of-record-handoff,Chamber of Record,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-codex-prism-handoff-v1,Codex Prism,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-glass-station-handoff,Glass Station,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-handoff-2026,Doctrine Forge Codex,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-prism-foundry-handoff,Prism Foundry,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-room-handoff-v1,Room template v1,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-murano-speechcraft-studio-handoff,Speechcraft Studio,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-prism-chamber-murano-ready-package-2026-04-14,Prism Chamber,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-build02-final-proper-handoff-2026-04-11,Only one WITHOUT the 802 KB nested archive; Build 02 scope,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-continuation-handoff-2026-04-11,Smallest addendum wrapper; 5-surface Core Analytical Workflow,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-execution-ready-handoff-archive-2026-04-11,Only one with Build_02-Build_05 sequenced operator guides,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-lab-handoff-package-2026-04-17,"Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore""",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-phase-ii-handoff-2026-04-15,Smallest doc-pack; paired .md + .rs/.ts draft patches,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-phase-iii-a-handoff-2026-04-11,"Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-phaseii-handoff-2026-04-14,Posture Compass 5-axis instrument; framing_tensions/rival_framing columns,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces × 10 modes; claim-evidence-confidence governance,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-package-2026-04-11,Only one with 07_Derivative_Handoff/; richest SQL DDL,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-the-interval-handoff-v0-1,The Interval (remote violence),research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-muranoos-western-myth-codex-phase-i-stub-pack,Western Myth Codex,research workflow software module,excluded_other_chat,MuranoOS / Murano internal rooms
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,source governance or packet-routing system,excluded_other_chat,SAT Studio
native-aisatvis,AI Structured Analysis Visualization,source governance or packet-routing system,excluded_other_chat,SAT Studio
native-capstone-defense,Cognitive Firewalls Capstone Defense,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
native-capstone-defense-noland,Cognitive Firewalls Defense Room,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
native-capstone-quantitative,Quantitative Capstone Workbench,source governance or packet-routing system,excluded_other_chat,explicitly excluded by user ownership boundary
native-cianalysis,Counterintelligence Analysis,analytic method or human-AI evaluation module,excluded_other_chat,explicitly excluded by user ownership boundary
native-coanalysis,Counterintelligence Operations Analysis,analytic method or human-AI evaluation module,excluded_other_chat,explicitly excluded by user ownership boundary
