project_id,product_name,runtime_path,vault_path,desktop_screenshot_path,mobile_screenshot_path,hosted_smoke_path,reviewer_note_path
native-africa,Colonial Encounter in Africa,non_overlap_runtime_slices/apps/native-africa/index.html,non_overlap_residual_evidence_vaults/vaults/native-africa/index.html,non_overlap_residual_evidence_vaults/vaults/native-africa/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-africa/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-africa/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-africa/reviewer_validation_note.md
native-east-asia,East Asian War and Strategic Tradition,non_overlap_runtime_slices/apps/native-east-asia/index.html,non_overlap_residual_evidence_vaults/vaults/native-east-asia/index.html,non_overlap_residual_evidence_vaults/vaults/native-east-asia/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-east-asia/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-east-asia/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-east-asia/reviewer_validation_note.md
native-mideast,Ottoman Palestine and Early Zionism,non_overlap_runtime_slices/apps/native-mideast/index.html,non_overlap_residual_evidence_vaults/vaults/native-mideast/index.html,non_overlap_residual_evidence_vaults/vaults/native-mideast/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-mideast/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-mideast/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-mideast/reviewer_validation_note.md
native-mongol,Mongol Empire Military Systems,non_overlap_runtime_slices/apps/native-mongol/index.html,non_overlap_residual_evidence_vaults/vaults/native-mongol/index.html,non_overlap_residual_evidence_vaults/vaults/native-mongol/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-mongol/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-mongol/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-mongol/reviewer_validation_note.md
native-western,Western Political Thought and the Ideal State,non_overlap_runtime_slices/apps/native-western/index.html,non_overlap_residual_evidence_vaults/vaults/native-western/index.html,non_overlap_residual_evidence_vaults/vaults/native-western/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-western/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-western/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-western/reviewer_validation_note.md
russia-desk,Russia Source-To-Judgment Desk,non_overlap_runtime_slices/apps/russia-desk/index.html,non_overlap_residual_evidence_vaults/vaults/russia-desk/index.html,non_overlap_residual_evidence_vaults/vaults/russia-desk/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/russia-desk/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/russia-desk/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/russia-desk/reviewer_validation_note.md
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",non_overlap_runtime_slices/apps/analytical-methodology/index.html,non_overlap_residual_evidence_vaults/vaults/analytical-methodology/index.html,non_overlap_residual_evidence_vaults/vaults/analytical-methodology/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/analytical-methodology/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/analytical-methodology/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/analytical-methodology/reviewer_validation_note.md
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",non_overlap_runtime_slices/apps/regional-studies/index.html,non_overlap_residual_evidence_vaults/vaults/regional-studies/index.html,non_overlap_residual_evidence_vaults/vaults/regional-studies/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/regional-studies/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/regional-studies/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/regional-studies/reviewer_validation_note.md
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,non_overlap_runtime_slices/apps/decision-advantage-system/index.html,non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/index.html,non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/reviewer_validation_note.md
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,non_overlap_runtime_slices/apps/mb-dialectic-engine-room-pass1-handoff/index.html,non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/index.html,non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/reviewer_validation_note.md
native-russia-security-desk,Russia Security Desk,non_overlap_runtime_slices/apps/native-russia-security-desk/index.html,non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/index.html,non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/reviewer_validation_note.md
mb-infragard-handoff,InfraGard preparatory note (minimal),non_overlap_runtime_slices/apps/mb-infragard-handoff/index.html,non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/index.html,non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/reviewer_validation_note.md
mb-insinuationengineroom-handoff-done,Insinuation Engine,non_overlap_runtime_slices/apps/mb-insinuationengineroom-handoff-done/index.html,non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/index.html,non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/desktop_screenshot.png,non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/mobile_screenshot.png,non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/hosted_deployment_smoke.json,non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/reviewer_validation_note.md
