project_id,product_name,build_tranche,binding_count,source_count,source_roles,modules_strengthened,source_strategy,source_utilization_gap,next_source_build_step
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-berlin,Berlin Occupation Zones and Refugee Crisis,T2 platform module,17,4,adversarial model | counter-source or limitation | domain grounding | evaluation standard | technical mechanism,defense decision | fixture registry | retrieval trace,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,T2 platform module,17,1,method authority,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,T4 portfolio-backed research surface,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),T3 governed content system,17,3,domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,T3 governed content system,17,4,close-read requirement | counter-source or limitation | domain grounding | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,T2 platform module,17,1,method authority,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),T4 portfolio-backed research surface,17,1,method authority,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",T3 governed content system,17,1,method authority,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-chamber-of-record-handoff,Chamber of Record,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-chamber-handoff,Chamber of Refractions,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),T3 governed content system,17,1,method authority,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-codex-prism-handoff-v1,Codex Prism,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,T3 governed content system,17,1,method authority,source registry,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-capstone-defense,Cognitive Firewalls Capstone Defense,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-capstone-defense-noland,Cognitive Firewalls Defense Room,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),T2 platform module,17,1,method authority,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-cmanalysis,Collection Management Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-london,Colonial Archive Explorer,T3 governed content system,17,3,domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-africa,Colonial Encounter in Africa,T2 platform module,17,1,technical mechanism,state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,T3 governed content system,17,1,technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,T3 governed content system,17,3,domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
row8,Counter-Terror Analysis - 13-page counter-terror analytical narrative arc,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-cianalysis,Counterintelligence Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-coanalysis,Counterintelligence Operations Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-iscproposals,Counterintelligence Surveillance Framework,T4 portfolio-backed research surface,17,4,adversarial model | close-read requirement | counter-source or limitation | domain grounding,input fixture | review gate,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-crusades,Crusades and Mediterranean Order,T4 portfolio-backed research surface,17,4,close-read requirement | domain grounding | evaluation standard | method authority,input fixture | review gate,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-cyanalysis,Cyber Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,T2 platform module,17,3,adversarial model | counter-source or limitation | technical mechanism,export gate | state model,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),T2 platform module,17,4,adversarial model | counter-source or limitation | domain grounding | evaluation standard | technical mechanism,defense decision | fixture registry | retrieval trace,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
planning,"Development Process - how projects move from idea to built, reviewed work",T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,T2 platform module,17,1,technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-ddianalysis,Directorate Analysis Method,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
