source_candidate,project_count,binding_count,roles,modules,bibliographic_status,bibliographic_note,utilization_rule
A Tradecraft Primer Structured Analytic Techniques,5,24,close-read requirement | domain grounding | method authority,SAT method registry | item registry | structured review,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
A Companion to Narrative Theory James Phelan et al,2,23,domain grounding | method authority,item registry | source registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Routledge Handbook of European Security Law and Policy Elena Conde et al,5,20,close-read requirement | domain grounding | evaluation standard,input fixture | review gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
2aMassage Techniques and Effects Presentation PDOC,2,19,method authority,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),5,19,counter-source or limitation | evaluation standard | method authority,item registry | retrieval trace | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,9,18,close-read requirement | domain grounding,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"God, Time, and Knowledge William Hasker",18,18,close-read requirement,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
2020 10 06 homeland threat assessment,1,17,method authority,source registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",1,17,method authority,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
American Political Development and Poli,1,17,method authority,source registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Atlas of World Architecture Markus Sebastian Braun,1,17,method authority,source registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al,1,17,method authority,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Cooking as a Chemical Reaction Culinary Science With Experiments Z. Sibel Ozilgen,1,17,method authority,source registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC,1,17,method authority,source registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,1,17,technical mechanism,state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,3,17,domain grounding | technical mechanism,item registry | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu",1,17,method authority,source registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Routledge Handbook of European Security Law and Policy Elena Conde et al (2),3,17,close-read requirement | evaluation standard,input fixture | review gate,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
A History of Western Political Thought J. S. McClelland et al,1,16,technical mechanism,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Gancels Culinary Encyclopedia of Modern Cooking 1920 Gancel, Joseph. [from old catalog]",1,16,technical mechanism,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,5,16,adversarial model | counter-source or limitation | domain grounding,input fixture | item registry | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker; source title is not ideal for professional-facing citation without verification,Use as routing/design input until close-read verification creates passage-level support.
(Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,6,15,adversarial model | close-read requirement | counter-source or limitation | method authority,export gate | item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
A Tradecraft Primer Structured Analytic Techniques (2),2,15,method authority,item registry | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Intelligence Analysis: A Target-Centric Approach,1,15,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
OceanofPDF.com The Sources of Military Doctrine France Britain and Germany Between the World Wars Barry R Posen PDOC,1,15,technical mechanism,state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
"Wartime Captivity in the 20th Century Archives, Stories, Memories Anne Marie Pathé et al",1,15,technical mechanism,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
2015.219.Russian Thinkers text PDOC,1,12,method authority,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
A Companion to Andrei Platonov's the Foundation Pit Thomas Seifrid,1,11,technical mechanism,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Analyzing Intelligence: Origins, Obstacles, and Innovations",1,11,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,5,11,domain grounding | technical mechanism,fixture registry | item registry | retrieval trace,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Political Methodology,1,11,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The SAGE Handbook of Research Methods in Political Science and International Relations,3,11,counter-source or limitation | method authority | technical mechanism,Bridge mechanism-transfer mapper | citation/export boundary | packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
AID Framework - Statement Builder,1,10,counter-source or limitation,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Challenges in Intelligence Analysis: Lessons From 1300 BCE to the Present,1,10,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Critical Thinking Skills,3,10,method authority | technical mechanism,Bridge mechanism-transfer mapper | SAT method registry | packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Creating a Constitution Transcrip (2021 01 02 03 51 07 UTC),2,9,method authority,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd,2,9,close-read requirement | evaluation standard,item registry | state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Promise of Reason: Studies in the New Rhetoric,1,9,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown,1,8,method authority,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),2,8,adversarial model | counter-source or limitation,export gate | item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
"Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo",1,8,evaluation standard,review gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Qualitative Research,1,8,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC,2,7,counter-source or limitation | evaluation standard | method authority,retrieval trace | source registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker; source title is not ideal for professional-facing citation without verification,Use as routing/design input until close-read verification creates passage-level support.
National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva,3,7,close-read requirement | counter-source or limitation,item registry | review gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Routledge Handbook of Psychoanalytic Political Theory,1,7,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Dialectic of Enlightenment Theodor W. Adorno et al,1,6,method authority,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Libraries of the Mind,2,6,method authority | technical mechanism,Bridge mechanism-transfer mapper | packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Atlas of World Architecture Markus Sebastian Braun (2),1,5,method authority,state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Intelligence and Information Policy for National Security: Key Terms and Concepts,3,5,adversarial model | evaluation standard | technical mechanism,evidence scoring | index and retrieval service | indexing and retrieval trace | packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Literacy as Involvement: The Acts of Writers, Readers, and Texts",1,5,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
the routledge handbook of european security law and policy 9781138609990 9780429465918 compress,2,5,close-read requirement,input fixture,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
(Military Profiles) Dennis Showalter William J. Astore Hindenburg Icon of German Militarism Potomac Books Inc. (2005) PDOC,1,4,close-read requirement,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
A Critical Cinema PDOC,1,4,method authority,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
"Artificial Intelligence, Management and Trust",4,4,method authority | technical mechanism,annex scenario registry | index and retrieval service | indexing and retrieval trace | state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Dialectic of Enlightenment Theodor W. Adorno et al (2),1,4,close-read requirement,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Russia's Security Policy under Putin Aglaya Snetkov,1,4,close-read requirement,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Safeguarding Democratic Capitalism U.S. Foreign Policy and National Security, 1920 2015 Melvyn P. Leffler",1,4,close-read requirement,input fixture,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Creative Industries,1,4,method authority,Bridge mechanism-transfer mapper,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Governance and Limited Statehood Thomas Risse et al,1,4,evaluation standard,retrieval trace,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
2aMassage Techniques and Effects Presentation,2,3,domain grounding,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
A Companion to Environmental Thought Peter Hay,1,3,technical mechanism,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
A Companion to Narrative Theory James Phelan et al (2),1,3,method authority,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
A Critical Companion to Beowulf Andy Orchard,1,3,close-read requirement,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC,1,3,close-read requirement,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,1,3,method authority,SAT method registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Battle Ready (2004) Clancy, Tom Nf Commanders",1,3,close-read requirement,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Beekeeping for Dummies David Wiscombe et al,1,3,close-read requirement,item registry,needs bibliographic verification before public citation,source title is not ideal for professional-facing citation without verification,Use as routing/design input until close-read verification creates passage-level support.
"Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond",1,3,domain grounding,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,1,3,method authority,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Cognitive Linguistics Basic Readings Dirk Geeraerts (2),1,3,method authority,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Deception: Counterdeception and Counterintelligence,2,3,method authority,SAT method registry | annex scenario registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Disinformation and Counternarratives in International Security Cognitive Competition Gustavo Díaz Matey, Pablo Moral",1,3,evaluation standard,retrieval trace,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Encyclopedia of GIS,1,3,method authority | technical mechanism,packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 1991 Willard C Matthias PDOC,1,3,close-read requirement,input fixture,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
On the History of Film Style,1,3,technical mechanism,packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Routledge Handbook on Cooperation, Interdependencies and Security in the Mediterranean Elena Calandri, Karolina Golemo, Jesús Ventura Fernández",1,3,domain grounding,input fixture,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Guatemalan Military Project: A Violence Called Democracy,1,3,domain grounding | technical mechanism,source state and close-read queue,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Palgrave Handbook of Malicious Use of AI and Psychological Security,2,3,domain grounding | method authority,annex scenario registry | source-admission gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
A Companion to Middle High German Literature to the 14th Century Francis G. Gentry,1,2,close-read requirement,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
American Cancer Research Food Nutrition Physical Activity,1,2,adversarial model,defense decision,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
American Cancer Research Food Nutrition Physical Activity PDOC,1,2,counter-source or limitation,retrieval trace,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2),1,2,adversarial model,defense decision,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Bridging the Gap between Collection and Analysis: Intelligence Information Processing and Data Governance,2,2,domain grounding | technical mechanism,corpus registry | packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Brief Answers to the Big Questions by Stephen Hawking (2021 01 02 03 51 07 UTC),1,2,method authority,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China's Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen",1,2,method authority,review gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
By Way of Deception,1,2,domain grounding | evaluation standard,source-admission gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Cognitive Linguistics Basic Readings Dirk Geeraerts,1,2,domain grounding,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Computational Techniques for Intelligence Analysis: A Cognitive Approach,2,2,domain grounding | method authority,annex scenario registry | corpus registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Divergent Memories: Opinion Leaders and the Asia-Pacific War,1,2,adversarial model,chapter dossier registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Encyclopedia of World History,1,2,close-read requirement | technical mechanism,packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Hybrid Intelligence for Image Analysis and Understanding,1,2,technical mechanism,packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Omega and the End of the Universe,1,2,close-read requirement,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Routledge Handbook of International Organization,1,2,technical mechanism,state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Russian Grand Strategy: Rhetoric and Reality,1,2,method authority,source-family registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Nutritional Hierarchy of Importance Nutrient Timing PDOC,1,2,close-read requirement,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
The Oxford Companion to Classical Civilization,1,2,counter-source or limitation | evaluation standard,citation/export boundary | evidence scoring,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of AI Governance,2,2,close-read requirement | method authority,annex scenario registry | source-admission gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Critical Management Studies,1,2,technical mechanism,state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Ethics of AI,1,2,adversarial model | evaluation standard,adversarial fixture registry | source-admission gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Routledge Handbook of Gender and Security,1,2,counter-source or limitation | source-to-output bridge,chapter dossier registry | source state and close-read queue,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3),1,1,method authority,state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
1601017 Conley KremlinPlaybook Web,1,1,method authority,source-family registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
2015.219.Russian Thinkers text,1,1,domain grounding,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown (2),1,1,close-read requirement,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar,1,1,domain grounding,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
A History of Western Political Thought J. S. McClelland et al (2),1,1,counter-source or limitation,state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick,1,1,technical mechanism,retrieval trace,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Armies of Russia's War in Ukraine,1,1,method authority,source-family registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Artificial Intelligence for Business Creativity,1,1,adversarial model,index and retrieval service,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Attachment and Bonding A New Synthesis C. Sue Carter,1,1,domain grounding,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Baking and Pastry Mastering the Art and Craft Culinary Institute Of America,1,1,method authority,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Carl von Clausewitz's On War,1,1,counter-source or limitation,chapter dossier registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Clausewitz in the Twenty-First Century,1,1,counter-source or limitation,chapter dossier registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Cognitive Linguistics Dirk Geeraerts PDOC,1,1,close-read requirement,item registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
"Corporate Security Management: Challenges, Risks, and Strategies",1,1,technical mechanism,state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
