binding_id,project_id,product_name,assigned_source_candidate,bibliographic_status,bibliographic_note,required_action,claim_blocked_until_done
SB-0BCF5A27C795,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-E385A21F6D91,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-9C3EDC025512,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-0092128A2FF9,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-ACDA4398CC8F,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-361A3745532A,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-80B84909C1A8,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-296C44CE8609,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-4DC9BCDBE39D,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-7D3EB8094A55,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-DC26B0A1B24E,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,A Critical Cinema PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-D1916B512BF1,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,A Critical Cinema PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-5A50CB8AFAD2,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-37B15B58FA38,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,043 Historical Documents Harvard Classics PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-F331B7B97C20,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-9F31EBA64BD3,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,A Critical Companion to Beowulf Andy Orchard,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-92F8E570BDBE,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-D9935B3B01C5,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-4F11ECF587CE,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-5B5322E0F53F,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,A Critical Companion to Beowulf Andy Orchard,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-D725443F1B6B,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-4F472CF49158,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,043 Historical Documents Harvard Classics PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-2002CB2446CA,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,A Critical Cinema PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-75D05693EAFA,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,A Critical Companion to Beowulf Andy Orchard,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-813226098E05,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-E89CD096EB8E,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-0FA74EE63BC2,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,A Critical Cinema PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-3A4AEB0A1F8A,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-CD7BCD974A30,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker; source title is not ideal for professional-facing citation without verification,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-C4C4F8DC6273,historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",The SAGE Handbook of Research Methods in Political Science and International Relations Luigi Curini et al,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-59498B2C14F5,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-9F52C68CA760,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-4F4B05729E14,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-3E8BB29C33B1,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-D731B35E706A,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-4613EBFB90B0,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-B7A3B492BCE3,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-480194047CEA,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-21FF4A6DC83A,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-C4CA1F240CC5,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-42EE5944A49C,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-754B94D967CB,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-698192D38088,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-7BEEFC704B3A,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-349F026DF81F,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-BDA27DD8A58F,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-060806BDA0CB,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-8ABC8153D969,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker; source title is not ideal for professional-facing citation without verification,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-0D916264ADE9,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,The Routledge Handbook of European Security Law and Policy Elena Conde et al,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-A12B83A83290,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker; source title is not ideal for professional-facing citation without verification,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-9D301A4CB481,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker; source title is not ideal for professional-facing citation without verification,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-CC0839793765,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,The Routledge Handbook of European Security Law and Policy Elena Conde et al,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-6CE32C343D28,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker; source title is not ideal for professional-facing citation without verification,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-5CAEEEE79967,master-bundle-atlas,Master Bundle Packet Promotion Atlas,Encyclopedia of World History,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-47F7468F2777,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,Documents on the Rape of Nanking Timothy Brook PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-99D8E7C6B463,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,Documents on the Rape of Nanking Timothy Brook PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-60B01A9035C2,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,043 Historical Documents Harvard Classics PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-E03C624C43E6,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-2121730AE69D,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,043 Historical Documents Harvard Classics PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-B5687D740A7F,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,Documents on the Rape of Nanking Timothy Brook PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-C97FF6A5BED2,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-AA5CCF19348B,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,043 Historical Documents Harvard Classics PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-3912FC32CF3F,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,Documents on the Rape of Nanking Timothy Brook PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-F04B15FC0FC3,mb-ar-sat-room-handoff-v0-1,AR-SAT Room,043 Historical Documents Harvard Classics PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
