capture_id,execution_run_id,proof_capsule_id,project_id,product_name,proof_artifact,capture_type,fixture_hash,operation_hash,expected_output_hash,acceptance_hash,falsifier_hash,acceptance_result,simulated_observation,source_gate,claim_after_capture,next_live_capture_step
PCS-6ECC36C13CF9,PER-58AD0461076E,PC-0AE3EC569062,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,8ede54ab587bb5de,9c34ce360e4cc1f4,b2b0a0154da2c87a,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-D75260214559,PER-AC647E278AD5,PC-180971E1D3F4,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,6614160b82b7daa9,356c342242e260d6,de67f89b7128dfdb,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-8322C16B6F34,PER-8004A2A03314,PC-13E824F56D0E,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,3457952efdb484fc,c1bda6cb21080f17,ccff885e4b29f7b2,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-8F249599C788,PER-2959862D4BDC,PC-550BD8D2D293,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,b6739bee86652d38,316f5a2a5e699446,be7567106810d514,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-DD505EC40A39,PER-205231B61D45,PC-60A86CA01C18,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,1e9600ae9e219737,e7c6a5e218e72deb,9799b74efed9759f,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-C8A5CDF6C9FC,PER-87FC68953E15,PC-C96FC326CB69,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,f01e3dddb886aec0,57810d179c369c79,c99e34b9b4bd0c12,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-D3EF13B7A6F9,PER-C5B11CD10739,PC-BD3543E146EC,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,5b489ad38280ea4a,0bcd4fd1a5c9c79c,fe41727736fe7fd2,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-7A8D794A4B63,PER-8387DF5E624F,PC-5AFE1B9F5EA1,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,072c26ba03772ece,400787434dc350b0,c47a50f06eca8050,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-B3D6211AAFAA,PER-B336B0CDDB55,PC-E644ED1386F1,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,eb2e09992aa64ae4,4d41fd6f4cae937f,f6d63951979f9a9d,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-921BD500B3AF,PER-CB086B53A744,PC-F2EBA36C7E45,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,4b42d239d00e1e0b,0ddd4fd9fbc2105b,758964ab3c020dc3,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-42FC4C9A276F,PER-03B3245744BE,PC-F22393827DF4,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,edab76d3667d13f7,dc01e09c9176d676,0b3726340c8b5145,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-BE70289D6507,PER-0032CCE86FED,PC-06D518EE50D7,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,626733f479ff7de0,a7499cd91fe35652,100770afccbebe77,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-81D519DD60E0,PER-37DAC3D8E5B7,PC-1AF683720559,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,95b7cb071b0f15aa,4b568af5c98e7d0b,fcd40278ce52c172,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-2A8B89F211CF,PER-89E7F638B591,PC-90FC2DBF8E18,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,8b9ad243e774ca09,afd8ad3556d0b591,d3d572c7fce22ba7,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-650A4DC581EC,PER-770AF97316DD,PC-20CDB16BCB02,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,9ba45acceef6247d,8595281473ddb443,1ecfb6e9d1d05b07,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-3E9DD0B5DA0D,PER-5A9E16B407F2,PC-9040DDD3F309,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,d37ab411beb73348,fe5c183c8a4658e9,d7ce7accfc799f93,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-36E8ED0BA446,PER-837F9A25C270,PC-54220E5637AF,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,76935aa6d93643b3,3086d7615186f5dd,65895220261f2f7c,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-F1276A998C5F,PER-03E2FAB96FBC,PC-46AF27A7AEAA,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,8ede54ab587bb5de,69233203ca5059d2,b2b0a0154da2c87a,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-C1CE6F49ADF2,PER-59B02D1CC5E0,PC-96252A979E91,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,6614160b82b7daa9,acd1e4609c6ba421,de67f89b7128dfdb,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-5A67EDEB2D39,PER-01E8E64E6E81,PC-BF38771C5779,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,3457952efdb484fc,134dd2590c0118fd,ccff885e4b29f7b2,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-E52F3801C5E4,PER-87EC2065663A,PC-EE1E65CB8953,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,b6739bee86652d38,33c4016af414564f,be7567106810d514,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-2FB6D5EFFE7B,PER-3E90C003A608,PC-8BB3982C60D4,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,1e9600ae9e219737,2568934684302586,9799b74efed9759f,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-03A17B111FC5,PER-BAA9F0175388,PC-9AA84250E552,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,f01e3dddb886aec0,829a540e5b96a582,c99e34b9b4bd0c12,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-1C5B30E64C0E,PER-E3E10C85C6CF,PC-E34A118AADAC,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",state transition proof record,package-verification receipt,5b489ad38280ea4a,1dcd9aa8ae61d590,fe41727736fe7fd2,827a5da2cf53f8bf,696597cd620b4f99,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms state transition proof record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-4C640ADA5B9B,PER-0DE94BF05D29,PC-03527F8EBCF5,analytical-methods,Structured Analytic Technique Studio,human-AI delta comparison record,package-verification receipt,549ec073422a7f07,0f4fb20cf4c5f763,17e2e9d3af153a94,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-A18BD9F7B82B,PER-D2295EEE35E9,PC-859B37A2A08E,analytical-methods,Structured Analytic Technique Studio,human-AI delta comparison record,package-verification receipt,a76ccce0d87c6c31,1126872d3f6172e5,9efdd1a0ecd30f29,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-82BF425ED390,PER-EEFF1A7A1B7D,PC-C1A7F359DCE4,analytical-methods,Structured Analytic Technique Studio,human-AI delta comparison record,package-verification receipt,d3ab502f56079333,f9b9763e85a50038,3b27def4e5653bd4,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-A3C890814FB1,PER-B9DD74D48F9A,PC-2F224B01D2BA,analytical-methods,Structured Analytic Technique Studio,human-AI delta comparison record,package-verification receipt,7a6a7ded72b949e7,7dd09f619d503ffa,3cc55caaf2acf47a,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
