source_note_id,source_candidate,locator_status,public_file_label,extension,collection_hint,match_score,matched_tokens,extraction_status,pages_total,pages_scanned,scan_scope,extractor,top_terms,candidate_phrase_cues,concept_family,passage_contract_count,claim_boundary
SCN-05585BDF61B2,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown (2),candidate_file_found,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC - Sean Brown (2).pdf,.pdf,Kindle/PDF source library candidate,216.0,"6e72397078c34c7486448cd590cb0df7, brown, historical, pdoc, putin, russians, sean, ukranians, unity, vladimir",extracted,82,82,full_document_scan,PyMuPDF,"ukraine, russian, russia, putin, ukrainian, people, russians, ukrainians, historical, vladimir","russians ukrainians, vladimir putin, historical unity, unity russians, serhii plokhy, russia ukraine",Russia/security-domain grounding,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-8562DD50764F,A Companion to Andrei Platonov's the Foundation Pit Thomas Seifrid,candidate_file_found,A Companion to Andrei Platonov's the Foundation Pit - Thomas Seifrid.pdf,.pdf,Kindle/PDF source library candidate,176.0,"andrei, companion, foundation, platonov, seifrid, thomas",extracted,205,120,capped_first_120_pages,PyMuPDF,"platonov, soviet, russian, revolution, literary, proletarian, foundation, moscow, writers, literature","andrei platonov, proletarian writers, intellectual influences, influences platonov, context foundation, fellow travelers",Russia/security-domain grounding,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-58C9C8E2A732,A Companion to Environmental Thought Peter Hay,candidate_file_found,A Companion to Environmental Thought - Peter Hay.pdf,.pdf,Kindle/PDF source library candidate,156.0,"companion, environmental, peter, thought",extracted,410,120,capped_first_120_pages,PyMuPDF,"nature, human, ecology, within, ecological, thought, value, movement, wilderness, environmental","ecological impulse, intrinsic value, environment movement, environmental thought, sylvan bennett, animal liberation",general source strengthening,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-B3F9223E9C27,A Companion to Middle High German Literature to the 14th Century Francis G. Gentry,candidate_file_found,A Companion to Middle High German Literature to the 14th Century - Francis G. Gentry.pdf,.pdf,Kindle/PDF source library candidate,206.0,"14th, century, companion, francis, gentry, german, high, literature, middle",extracted,515,120,capped_first_120_pages,PyMuPDF,"german, germanic, century, middle, empire, henry, latin, language, texts, medieval","middle german, german literature, german texts, medieval germany, medieval german, germanic tribes","interpretive, narrative, or democratic-formation frame",1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-CA0BAD52076E,A Companion to Narrative Theory James Phelan et al,candidate_file_found,A Companion to Narrative Theory - James Phelan et al.pdf,.pdf,Kindle/PDF source library candidate,166.0,"companion, james, narrative, phelan, theory",extracted,594,120,capped_first_120_pages,PyMuPDF,"narrative, theory, narratology, james, university, fiction, literature, story, studies, history","narrative theory, james phelan, peter rabinowitz, david herman, wellek warren, phelan peter",security strategy and institutional constraint,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-AF9C89389D55,A Companion to Narrative Theory James Phelan et al (2),candidate_file_found,A Companion to Narrative Theory - James Phelan et al (2).pdf,.pdf,Kindle/PDF source library candidate,166.0,"companion, james, narrative, phelan, theory",extracted,594,120,capped_first_120_pages,PyMuPDF,"narrative, theory, narratology, james, university, fiction, literature, story, studies, history","narrative theory, james phelan, peter rabinowitz, david herman, wellek warren, phelan peter",security strategy and institutional constraint,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-80C6BF04C0DE,A Critical Cinema PDOC,candidate_file_found,A Critical Cinema PDOC.pdf,.pdf,Kindle/PDF source library candidate,146.0,"cinema, critical, pdoc",extracted,462,120,capped_first_120_pages,PyMuPDF,"anger, cinema, macdonald, critical, music, those, where, little, things, conrad","critical cinema, kenneth anger, scorpio rising, sound track, avant garde, mickey mouse",general source strengthening,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-1960A4A67353,A Critical Companion to Beowulf Andy Orchard,candidate_file_found,A Critical Companion to Beowulf - Andy Orchard.pdf,.pdf,Kindle/PDF source library candidate,166.0,"andy, beowulf, companion, critical, orchard",extracted,417,120,capped_first_120_pages,PyMuPDF,"beowulf, manuscript, lines, english, letter, scribe, kiernan, example, texts, anglo","beowulf manuscript, anglo saxon, critical companion, companion beowulf, orchard pride, pride prodigies",general source strengthening,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-FB6574A4B247,A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar,candidate_file_found,A Historical Companion to Postcolonial Literatures - Continental Europe and Its Empires - Prem Poddar.pdf,.pdf,Kindle/PDF source library candidate,206.0,"companion, continental, empires, europe, historical, literatures, poddar, postcolonial, prem",extracted,688,120,capped_first_120_pages,PyMuPDF,"university, colonial, congo, africa, belgian, europe, historical, america, literary, south","south america, selective chronology, chronology historical, historical literary, literary events, belgian congo","interpretive, narrative, or democratic-formation frame",1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-5BB9D6F47DD1,A History of Western Political Thought J. S. McClelland et al,candidate_file_found,A History of Western Political Thought - J. S. McClelland et al.pdf,.pdf,Kindle/PDF source library candidate,166.0,"history, mcclelland, political, thought, western",extracted,809,120,capped_first_120_pages,PyMuPDF,"plato, political, state, justice, socrates, world, thought, aristotle, democracy, knowledge","political thought, western political, history western, ideal state, socrates plato, greek political",general source strengthening,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-8941B35A8C5F,A History of Western Political Thought J. S. McClelland et al (2),candidate_file_found,A History of Western Political Thought - J. S. McClelland et al (2).pdf,.pdf,Kindle/PDF source library candidate,166.0,"history, mcclelland, political, thought, western",extracted,809,120,capped_first_120_pages,PyMuPDF,"plato, political, state, justice, socrates, world, thought, aristotle, democracy, knowledge","political thought, western political, history western, ideal state, socrates plato, greek political",general source strengthening,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-59F78823ACAB,A Military Atlas of the First World War Arthur S. Banks et al,candidate_file_found,A Military Atlas of the First World War - Arthur S. Banks et al.pdf,.pdf,Kindle/PDF source library candidate,166.0,"arthur, atlas, banks, military, world",extracted_no_text,327,120,capped_first_120_pages,PyMuPDF,,,security strategy and institutional constraint,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-5ACDAF3817B8,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC,candidate_file_found,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning - Candace Schlein PDOC.pdf,.pdf,Kindle/PDF source library candidate,216.0,"candace, critical, intercultural, learning, lenses, narrative, pdoc, reader, schlein, teaching",extracted,246,120,capped_first_120_pages,PyMuPDF,"intercultural, program, teacher, teachers, students, teaching, education, abroad, learning, experiences","preservice teachers, intercultural teaching, teacher education, teaching learning, abroad program, social justice","interpretive, narrative, or democratic-formation frame",1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-7E0AC3CDB83C,A Tradecraft Primer Structured Analytic Techniques,candidate_file_found,A Tradecraft Primer Structured Analytic Techniques.pdf,.pdf,Kindle/PDF source library candidate,156.0,"primer, structured, techniques, tradecraft",extracted,45,45,full_document_scan,PyMuPDF,"analysts, information, might, assumptions, techniques, evidence, hypotheses, group, intelligence, ideas","devil advocacy, value added, united states, assumptions check, competing hypotheses, impact probability",intelligence-analysis method and warning,3,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-DFBEB15F84CA,A Tradecraft Primer Structured Analytic Techniques (2),candidate_file_found,A Tradecraft Primer Structured Analytic Techniques (2).pdf,.pdf,Kindle/PDF source library candidate,156.0,"primer, structured, techniques, tradecraft",extracted,45,45,full_document_scan,PyMuPDF,"analysts, information, might, assumptions, techniques, evidence, hypotheses, group, intelligence, ideas","devil advocacy, value added, united states, assumptions check, competing hypotheses, impact probability",intelligence-analysis method and warning,2,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-F1A84FB521AC,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",candidate_file_found,"AI, Authorship, & Copyright - Artificial Intelligence (Generative) Resources - Guides at Georgetown University.pdf",.pdf,Kindle/PDF source library candidate,206.0,"artificial, authorship, copyright, generative, georgetown, guides, intelligence, resources, university",extracted,8,8,full_document_scan,PyMuPDF,"copyright, generative, georgetown, guides, artificial, intelligence, resources, authorship, university, tools","artificial intelligence, generative resources, copyright artificial, intelligence generative, authorship copyright, georgetown university",intelligence-analysis method and warning,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-60315D0DF139,AID Framework - Statement Builder,candidate_file_found,comparative - grand - strategy - a - framework - and - cases - 0198840845 - 9780198840848 compress.pdf,.pdf,Kindle/PDF source library candidate,10.333,framework,extracted,367,120,capped_first_120_pages,PyMuPDF,"strategy, grand, security, national, university, american, military, international, states, policy","grand strategy, national security, united states, foreign policy, comparative grand, grand strategies",security strategy and institutional constraint,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-CFCD4FE754B5,"America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936-1991 Willard C. Matthias",candidate_file_found,OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,.pdf,Kindle/PDF source library candidate,120.889,"blunders, intelligence, matthias, national, policy, security, strategic, willard",extracted,373,120,capped_first_120_pages,PyMuPDF,"soviet, military, intelligence, world, japanese, german, communist, europe, states, united","united states, america strategic, strategic blunders, soviet union, pearl harbor, intelligence triumphs",Russia/security-domain grounding,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-EC59009B9C56,"America's Strategic Blunders: Intelligence Analysis and National Security Policy, 1936-1991",candidate_file_found,OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,.pdf,Kindle/PDF source library candidate,100.857,"blunders, intelligence, national, policy, security, strategic",extracted,373,120,capped_first_120_pages,PyMuPDF,"soviet, military, intelligence, world, japanese, german, communist, europe, states, united","united states, america strategic, strategic blunders, soviet union, pearl harbor, intelligence triumphs",Russia/security-domain grounding,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-A918AE76821D,American Political Development and Poli,candidate_file_found,American Political Development and Poli.pdf,.pdf,Kindle/PDF source library candidate,156.0,"american, development, poli, political",extracted,18,18,full_document_scan,PyMuPDF,"political, american, history, university, state, historians, cambridge, development, social, princeton","political history, american political, political development, american state, political historians, cambridge university",general source strengthening,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-1396D405AA6B,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick,candidate_file_found,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,.pdf,Kindle/PDF source library candidate,206.0,"american, cold, espionage, michael, present, spies, states, sulick, united",extracted,385,120,capped_first_120_pages,PyMuPDF,"soviet, espionage, spies, american, united, states, intelligence, soviets, information, security","united states, national security, american spies, soviet union, intelligence services, soviet intelligence",Russia/security-domain grounding,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-301C752470B3,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2),candidate_file_found,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,.pdf,Kindle/PDF source library candidate,206.0,"american, cold, espionage, michael, present, spies, states, sulick, united",extracted,385,120,capped_first_120_pages,PyMuPDF,"soviet, espionage, spies, american, united, states, intelligence, soviets, information, security","united states, national security, american spies, soviet union, intelligence services, soviet intelligence",Russia/security-domain grounding,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-84B8CA0A7718,"Analyzing Intelligence: Origins, Obstacles, and Innovations",candidate_file_found,"Analyzing Intelligence Origins, Obstacles, and Innovations - Roger Z. George (2).pdf",.pdf,Kindle/PDF source library candidate,166.0,"analyzing, innovations, intelligence, obstacles, origins",extracted,353,120,capped_first_120_pages,PyMuPDF,"intelligence, analysts, soviet, national, military, policy, information, policymakers, community, president","intelligence community, national security, national intelligence, intelligence agency, intelli gence, central intelligence",Russia/security-domain grounding,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-E037F1687489,Another Bloody Century: Future Warfare,candidate_file_found,Another Bloody Century Future Warfare - Colin S. Gray.pdf,.pdf,Kindle/PDF source library candidate,156.0,"bloody, century, future, warfare",extracted,444,120,capped_first_120_pages,PyMuPDF,"warfare, future, political, military, context, history, strategic, century, world, cultural","future warfare, political context, united states, social cultural, strategic history, cultural context",security strategy and institutional constraint,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-CEEF3457F411,Art and Fear,candidate_file_found,Art and Fear - David Bayles et al.pdf,.pdf,Kindle/PDF source library candidate,126.0,fear,extracted,125,120,capped_first_120_pages,PyMuPDF,"artists, artist, world, making, those, piece, others, artmaking, things, people","outside world, conceptual worlds, fears yourself, academic world, fears others, every artist",general source strengthening,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-87F1F384520E,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,candidate_file_found,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis.pdf,.pdf,Kindle/PDF source library candidate,146.0,"article, safeguardingobjectivityinintelligenceanalysis, zulauf",extracted,6,6,full_document_scan,PyMuPDF,"intelligence, analysts, politicization, objectivity, leaders, ombudsperson, zulauf, policy, standards, political","united states, moral courage, studies intelligence, former ombudsperson, ombudsperson perspective, perspective studies",intelligence-analysis method and warning,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-2426A027689A,Artificial Intelligence for Business Creativity,candidate_file_found,Artificial Intelligence for Business Creativity - Margherita Pagani et al.pdf,.pdf,Kindle/PDF source library candidate,156.0,"artificial, business, creativity, intelligence",extracted,285,120,capped_first_120_pages,PyMuPDF,"creativity, systems, creative, intelligence, business, human, artificial, ideas, innovation, venture","artificial intelligence, margherita pagani, machine learning, generative systems, venture ideas, renaud champion",intelligence-analysis method and warning,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-C43602873769,"Artificial Intelligence, Management and Trust",candidate_file_found,"Artificial Intelligence, Management and Trust - Mariusz Sołtysik et al.pdf",.pdf,Kindle/PDF source library candidate,156.0,"artificial, intelligence, management, trust",extracted,222,120,capped_first_120_pages,PyMuPDF,"trust, management, https, human, social, artificial, intelligence, technology, knowledge, organizational","artificial intelligence, decision making, management https, mariusz tysik, magda owska, bartlomiej sniezynski",intelligence-analysis method and warning,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-DBF9F5E801CB,Atlas of World Architecture Markus Sebastian Braun,candidate_file_found,Atlas of World Architecture - Markus Sebastian Braun.pdf,.pdf,Kindle/PDF source library candidate,176.0,"architecture, atlas, braun, markus, sebastian, world",extracted,257,120,capped_first_120_pages,PyMuPDF,"building, architect, space, design, entrance, photo, completion, floor, spaces, interior","completion photo, north america, ground floor, residential completion, educational completion, cultural completion",general source strengthening,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-17814D0E920F,Atlas of World Architecture Markus Sebastian Braun (2),candidate_file_found,Atlas of World Architecture - Markus Sebastian Braun (2).pdf,.pdf,Kindle/PDF source library candidate,176.0,"architecture, atlas, braun, markus, sebastian, world",extracted,312,120,capped_first_120_pages,PyMuPDF,"world, empire, around, trade, europe, history, south, early, africa, farming","world history, south america, history university, university london, million years, hunting farming",general source strengthening,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-337741B9ED40,Attachment and Bonding A New Synthesis C. Sue Carter,candidate_file_found,Attachment and Bonding A New Synthesis - C. Sue Carter.pdf,.pdf,Kindle/PDF source library candidate,156.0,"attachment, bonding, carter, synthesis",extracted,509,120,capped_first_120_pages,PyMuPDF,"social, attachment, human, engagement, behaviors, neural, behavior, bonding, development, infant","social engagement, attachment bonding, social behavior, cooperative breeding, social bonds, engagement behaviors",general source strengthening,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-6D7D292D7A7F,Baking and Pastry Mastering the Art and Craft Culinary Institute Of America,candidate_file_found,Baking and Pastry Mastering the Art and Craft - Culinary Institute Of America.pdf,.pdf,Kindle/PDF source library candidate,186.0,"america, baking, craft, culinary, institute, mastering, pastry",extracted,1139,120,capped_first_120_pages,PyMuPDF,"chocolate, pastry, cream, baking, flavor, flour, sugar, available, butter, white","baking pastry, baker pastry, stainless steel, professional baker, white chocolate, baked goods",general source strengthening,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-CDBE2043E228,"Battle Ready (2004) Clancy, Tom Nf Commanders",candidate_file_found,"Battle Ready (2004) - Clancy, Tom - Nf - Commanders (2021 01 02 03 51 07 UTC).pdf",.pdf,Kindle/PDF source library candidate,156.0,"battle, clancy, commanders, ready",extracted,45,45,full_document_scan,PyMuPDF,"zinni, vietnamese, marines, enemy, marine, battalion, company, though, commander, where","vietnamese marines, company commander, vietnamese marine, marine corps, clancy center, clancy force",security strategy and institutional constraint,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-2AB361F5B8B2,"Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond",candidate_file_found,"Beyond Hegel and Dialectic Speculation, Cult, and Comedy - William Desmond.pdf",.pdf,Kindle/PDF source library candidate,196.0,"beyond, comedy, cult, desmond, dialectic, hegel, speculation, william",extracted,374,120,capped_first_120_pages,PyMuPDF,"hegel, philosophy, history, thought, speculative, reason, itself, historical, dialectical, otherness","speculative philosophy, dialectical mediation, thought thinking, dialectical middle, thinking itself, instrumental reason","interpretive, narrative, or democratic-formation frame",1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
