project_id,product_name,source_applications,extracted_sources,roles_covered,concept_families,next_source_action
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aisatvis,AI Structured Analysis Visualization,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aishared-instruments,AI Shared Instruments,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-amfp,Washington-Jefferson Era Foreign Policy,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-berlin,Berlin Occupation Zones and Refugee Crisis,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-capstone-defense,Cognitive Firewalls Capstone Defense,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"Russia/security-domain grounding | general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-capstone-defense-noland,Cognitive Firewalls Defense Room,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"Russia/security-domain grounding | general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-cicc,ICC Complementarity Case Room,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-crusades,Crusades and Mediterranean Order,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-iscproposals,Counterintelligence Surveillance Framework,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-peace,Track II Diplomacy and Peacebuilding,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | security strategy and institutional constraint | technical/adversarial system mechanism,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,7,7,adversarial model | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-trilogy-showcase,Book Trilogy Showcase,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,"Russia/security-domain grounding | general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-trilogy-showcase-atlas,Book Trilogy Atlas,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-war-theory,War Theory and Strategic Culture,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
russia-desk,Russia Source-To-Judgment Desk,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
trilogy,Book Trilogy Manuscript Governance System,7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
analytical-methods,Structured Analytic Technique Studio,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,6,6,counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | method/evaluation standard | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,6,6,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge,intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,6,6,counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,6,6,adversarial model | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-fractal-keep-handoff-v1,Fractal Keep,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-hearthglass-handoff-v1,HearthGlass,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,6,6,adversarial model | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-infragard-handoff,InfraGard preparatory note (minimal),6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-insinuationengineroom-handoff-done,Insinuation Engine,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-001,Internal Operating Support Packet 001,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-002,Internal Operating Support Packet 002,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-003,Internal Operating Support Packet 003,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-004,Internal Operating Support Packet 004,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-005,Internal Operating Support Packet 005,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-006,Internal Operating Support Packet 006,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-007,Internal Operating Support Packet 007,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-008,Internal Operating Support Packet 008,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-009,Internal Operating Support Packet 009,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-010,Internal Operating Support Packet 010,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-011,Internal Operating Support Packet 011,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
