source_candidate,public_file_label,extraction_status,scan_scope,gap_reason,next_action
A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning - Candace Schlein PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
AID Framework - Statement Builder,comparative - grand - strategy - a - framework - and - cases - 0198840845 - 9780198840848 compress.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936-1991 Willard C. Matthias",OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"America's Strategic Blunders: Intelligence Analysis and National Security Policy, 1936-1991",OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2),American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Analyzing Intelligence: Origins, Obstacles, and Innovations","Analyzing Intelligence Origins, Obstacles, and Innovations - Roger Z. George (2).pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Another Bloody Century: Future Warfare,Another Bloody Century Future Warfare - Colin S. Gray.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Art and Fear,Art and Fear - David Bayles et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Artificial Intelligence for Business Creativity,Artificial Intelligence for Business Creativity - Margherita Pagani et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Artificial Intelligence, Management and Trust","Artificial Intelligence, Management and Trust - Mariusz Sołtysik et al.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Atlas of World Architecture Markus Sebastian Braun,Atlas of World Architecture - Markus Sebastian Braun.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Atlas of World Architecture Markus Sebastian Braun (2),Atlas of World Architecture - Markus Sebastian Braun (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Attachment and Bonding A New Synthesis C. Sue Carter,Attachment and Bonding A New Synthesis - C. Sue Carter.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Baking and Pastry Mastering the Art and Craft Culinary Institute Of America,Baking and Pastry Mastering the Art and Craft - Culinary Institute Of America.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond","Beyond Hegel and Dialectic Speculation, Cult, and Comedy - William Desmond.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Building Imaginary Worlds,Building Imaginary Worlds - Mark J. P. Wolf.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
By Way of Deception,By Way of Deception - Victor Ostrovsky et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth - Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World - Palgrav...,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Challenges in Intelligence Analysis: Lessons From 1300 BCE to the Present,Challenges in Intelligence Analysis Lessons From 1300 BCE to the Present - Timothy Walton.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive - Sharon Kangisser Cohen et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Clausewitz in the Twenty-First Century,Clausewitz in the Twenty - First Century - Hew Strachan et al (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Cognitive Linguistics Basic Readings Dirk Geeraerts (2),Cognitive Linguistics Basic Readings - Dirk Geeraerts (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Cognitive Linguistics Dirk Geeraerts PDOC,Cognitive Linguistics - Dirk Geeraerts PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al,Conflict Management and Peacebuilding Pillars of a New American Grand Strategy - Dr. Volker C. Franke et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Cooking as a Chemical Reaction Culinary Science With Experiments Z. Sibel Ozilgen,Cooking as a Chemical Reaction Culinary Science With Experiments - Z. Sibel Ozilgen.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Corporate Security Management: Challenges, Risks, and Strategies","Corporate Security Management Challenges, Risks, and Strategies - Marko Cabric.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Critical Thinking Skills,Critical Thinking Skills - Stella Cottrell (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Cultural Histories of Democracy Studies in Political Culture Since the 19th Century - Germany and Beyond Thomas Mergel,"God, Tsar, and People The Political Culture of Early Modern Russia - Daniel B. Rowland.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Dialectic of Enlightenment Theodor W. Adorno et al,Dialectic of Enlightenment - Theodor W. Adorno et al (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Dialectic of Enlightenment Theodor W. Adorno et al (2),Dialectic of Enlightenment - Theodor W. Adorno et al (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,Discourse of Race in Modern China - Frank Dikotter Dikotter PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Encyclopedia of Cryptography and Security,Encyclopedia of Cryptography and Security - Henk C. A. van Tilborg.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Encyclopedia of GIS,Encyclopedia of GIS - Shashi Shekhar (4).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Encyclopedia of World History,Encyclopedia of World History - Marsha E. Ackermann et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Gancels Culinary Encyclopedia of Modern Cooking 1920 Gancel, Joseph. [from old catalog]","Gancels Culinary Encyclopedia of Modern Cooking 1920 - Gancel, Joseph. [from old catalog].pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"God, Time, and Knowledge William Hasker","God, Time, and Knowledge - William Hasker.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Handbook of Artificial Intelligence and Wearables: Applications and Case Studies,Handbook of Artificial Intelligence and Wearables Applications and Case Studies - Edited by Hemachandran K et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Handbook of Attachment: Theory, Research, and Clinical Applications","Handbook of Attachment Theory, Research, and Clinical Applications - Jude Cassidy et al.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Hidden Genocides: Power, Knowledge, Memory","Hidden Genocides Power, Knowledge, Memory - Alexander Laban Hinton et al.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Historical Dictionary of Signals Intelligence,Historical Dictionary of Signals Intelligence - Nigel West.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Human Rights and War Through Civilian Eyes Thomas W Smith,Human Rights and War Through Civilian Eyes - Thomas W Smith.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Hybrid Intelligence for Image Analysis and Understanding,Hybrid Intelligence for Image Analysis and Understanding - Siddhartha Bhattacharyya et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Innovation and the Arms Race How the United States and the Soviet Union Develop New Military Technologies Matthew Evangelista,Innovation and the Arms Race How the United States and the Soviet Union Develop New Military Technologies - Matthew Evangelista.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Intelligence and Information Policy for National Security: Key Terms and Concepts,Intelligence and Information Policy for National Security Key Terms and Concepts - Jan Goldman et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Intelligence and Intelligence Analysis,Intelligence and Intelligence Analysis - Patrick F. Walsh (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
International Encyclopedia of Social & Behavioral Sciences,International Encyclopedia of Social & Behavioral Sciences - N. J. Smelser et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Libraries of the Mind,Libraries of the Mind - William Marx.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Literacy as Involvement: The Acts of Writers, Readers, and Texts","Literacy as Involvement The Acts of Writers, Readers, and Texts - Deborah Brandt.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva,National Security and Counterintelligence in the Era of Cyber Espionage - Eugenie de Silva.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"National, European and Human Security: From Co-Existence to Convergence","National, European and Human Security From Co - Existence to Convergence - Mary Martin et al.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 1991 Willard C Matthias PDOC,OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,OceanofPDF.com Security Assurances and Nuclear Nonproliferation - Jeffrey W Knopf PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
OceanofPDF.com The Sources of Military Doctrine France Britain and Germany Between the World Wars Barry R Posen PDOC,OceanofPDF.com The Sources of Military Doctrine France Britain and Germany Between the World Wars - Barry R Posen PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
On the History of Film Style,On the History of Film Style - David Bordwell.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Peace Education From the Grassroots,Peace Education From the Grassroots - Ian M. Harris.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Pherso Counterintelligence Structured Analytic Techniques,Pherso Counterintelligence Structured Analytic Techniques.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Principles of Microeconomics,Principles of Microeconomics - N. Gregory Mankiw.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Propaganda - Made - to - Measure - How - Our - Vulnerabilities - Facilitate - Russian - Influence,Propaganda - Made - to - Measure - How - Our - Vulnerabilities - Facilitate - Russian - Influence.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Psychology of Intelligence Analysis,Psychology of Intelligence Analysis - Richard Heuer.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Putin and the Oligarch,"Putin and the Oligarch - Sakwa, Richard; (2).pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Return to the Motherland: Displaced Soviets in WWII and the Cold War,Return to the Motherland Displaced Soviets in WWII and the Cold War - Seth Bernstein.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Routledge Handbook of Forest Ecology,Routledge Handbook of Forest Ecology - Kelvin S. - H. Peh et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Routledge Handbook of Psychoanalytic Political Theory,Routledge Handbook of Psychoanalytic Political Theory - Yannis Stavrakakis.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Russian Grand Strategy: Rhetoric and Reality,Russian Grand Strategy Rhetoric and Reality - Samuel Charap et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Safeguarding Democratic Capitalism U.S. Foreign Policy and National Security, 1920 2015 Melvyn P. Leffler","Safeguarding Democratic Capitalism U.S. Foreign Policy and National Security, 1920 - 2015 - Melvyn P. Leffler.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
Spies: The Rise and Fall of the KGB in America,Spies The Rise and Fall of the KGB in America - John Earl Haynes; Harvey Klehr; Alexander Vassiliev.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Statebuilding and Counterinsurgency in Oman Political, Military and Diplomatic Relations at the End of Empire James Worrall","Statebuilding and Counterinsurgency in Oman Political, Military and Diplomatic Relations at the End of Empire - James Worrall.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Cossacks and Religion in Early Modern Ukraine,The Cossacks and Religion in Early Modern Ukraine - Serhii Plokhy.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Guatemalan Military Project: A Violence Called Democracy,The Guatemalan Military Project A Violence Called Democracy - Jennifer Schirmer.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Handbook of Communication Skills,The Handbook of Communication Skills - Owen Hargie.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Companion to Classical Civilization,The Oxford Companion to Classical Civilization - Simon Hornblower et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Guide to Etymology,The Oxford Guide to Etymology - Philip Durkin.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Handbook of Critical Management Studies,The Oxford Handbook of Critical Management Studies - Mats Alvesson et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Handbook of Cyberpsychology,The Oxford Handbook of Cyberpsychology - Alison Attrill - Smith et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Handbook of Ethics of AI,The Oxford Handbook of Ethics of AI - Markus Dirk Dubber et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Handbook of Governance and Limited Statehood Thomas Risse et al,The Oxford Handbook of Governance and Limited Statehood - Thomas Risse et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Handbook of Political Methodology,The Oxford Handbook of Political Methodology - Janet M. Box - Steffensmeier et al.pdf,extracted_no_text,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Handbook of Qualitative Research,The Oxford Handbook of Qualitative Research - Patricia Leavy.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Handbook of Sociolinguistics,The Oxford Handbook of Sociolinguistics - Robert Bayley et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"The Oxford Handbook of Work Engagement, Motivation, and Self-Determination Theory","The Oxford Handbook of Work Engagement, Motivation, and Self - Determination Theory - Marylène Gagné.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Oxford Handbook on Atrocity Crimes,The Oxford Handbook on Atrocity Crimes - Barbora Holá et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Palgrave Handbook of Animals and Literature,The Palgrave Handbook of Animals and Literature - Susan McHugh et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
