source_depth_id,project_id,product_name,source_role,source_candidate,source_note_id,quote_candidate_id,utilization_depth_level,utilization_depth_score,depth_status_plain,locator_status,extraction_status,scan_scope,concept_family,concept_detail_cues,quote_candidate_status,artifact_to_change,test_to_update,not_maxed_out_because,next_close_read_action,public_claim_allowed_now
SUD-AF55B5DF83BC,analytical-methods,Structured Analytic Technique Studio,method authority,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-8A00128B4142,analytical-methods,Structured Analytic Technique Studio,technical mechanism,Deception: Counterdeception and Counterintelligence,SCN-20AD7B00DF57,QCN-CABF10A5FAF2,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,intelligence-analysis method and warning,"science publishers, publishers incorporated, century counterintelligence, deady science, copyright science, rights reserved",duplicate_source_uses_canonical_quote_candidate,"module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-65342E9C271B,analytical-methods,Structured Analytic Technique Studio,adversarial model,Critical Thinking Skills,SCN-B9FF410A03A5,QCN-B9FF410A03A5,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,general source strengthening,"critical thinking, thinking skills, stella cottrell, skills palgrave, palgrave macmillan, cottrell critical",candidate_short_excerpt_selected,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.",human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-CF18CE746C9C,analytical-methods,Structured Analytic Technique Studio,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-9569B1BA4BD8,analytical-methods,Structured Analytic Technique Studio,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-6E2FD77FC6AB,analytical-methods,Structured Analytic Technique Studio,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-3D47EFC4F68F,applied-history,Applied History - lab for using historical case study to inform contemporary policy,method authority,The Oxford Handbook of Political Methodology,SCN-483CDA336DC0,QCN-483CDA336DC0,L3_machine_extracted,3,"Source text was machine extracted, but concept selection is still weak.",candidate_file_found,extracted_no_text,capped_first_120_pages,method/evaluation standard,,no_quote_candidate_selected,"method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,candidate passage or short quote selection; human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-EB261702257B,applied-history,Applied History - lab for using historical case study to inform contemporary policy,domain grounding,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,SCN-03752F0D04C4,QCN-03752F0D04C4,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,Russia/security-domain grounding,"united states, foreign policy, great power, russian federation, latin america, great powers",candidate_short_excerpt_selected,"domain variables, case framing, project examples, terminology, or scenario fixtures",source test: metadata-routed sources require close reading before citation or quotation,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-A8602188C24A,applied-history,Applied History - lab for using historical case study to inform contemporary policy,technical mechanism,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),SCN-8FCC5F65DFC6,QCN-8FCC5F65DFC6,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,security strategy and institutional constraint,"military justice, court martial, courts martial, judge advocate, summary court, united states",candidate_short_excerpt_selected,"module contract, data contract, proof artifact, runtime trace, or failure-handling rule",state-transition test: visible input changes recorded state and output,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-757388E06B62,applied-history,Applied History - lab for using historical case study to inform contemporary policy,evaluation standard,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,SCN-03752F0D04C4,QCN-03752F0D04C4,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,Russia/security-domain grounding,"united states, foreign policy, great power, russian federation, latin america, great powers",candidate_short_excerpt_selected,"test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-FDE2A0C4DAB4,applied-history,Applied History - lab for using historical case study to inform contemporary policy,counter-source or limitation,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,SCN-6CB2529BF5F6,QCN-8FCC5F65DFC6,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,security strategy and institutional constraint,"military justice, court martial, courts martial, judge advocate, summary court, united states",duplicate_source_uses_canonical_quote_candidate,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",claim ceiling test: public claims cannot exceed built evidence,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-BD5C37F0113A,applied-history,Applied History - lab for using historical case study to inform contemporary policy,source-to-output bridge,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,SCN-6CB2529BF5F6,QCN-8FCC5F65DFC6,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,security strategy and institutional constraint,"military justice, court martial, courts martial, judge advocate, summary court, united states",duplicate_source_uses_canonical_quote_candidate,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-2899314BCA75,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method authority,A Military Atlas of the First World War Arthur S. Banks et al,SCN-59F78823ACAB,QCN-59F78823ACAB,L3_machine_extracted,3,"Source text was machine extracted, but concept selection is still weak.",candidate_file_found,extracted_no_text,capped_first_120_pages,security strategy and institutional constraint,,no_quote_candidate_selected,"method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,candidate passage or short quote selection; human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-99ED0F6E3B64,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,adversarial model,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,SCN-87F1F384520E,QCN-87F1F384520E,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,intelligence-analysis method and warning,"united states, moral courage, studies intelligence, former ombudsperson, ombudsperson perspective, perspective studies",candidate_short_excerpt_selected,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.",human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-422975D56D56,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,evaluation standard,A Military Atlas of the First World War Arthur S. Banks et al,SCN-59F78823ACAB,QCN-59F78823ACAB,L3_machine_extracted,3,"Source text was machine extracted, but concept selection is still weak.",candidate_file_found,extracted_no_text,capped_first_120_pages,security strategy and institutional constraint,,no_quote_candidate_selected,"test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,candidate passage or short quote selection; human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-C4E26671D400,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,counter-source or limitation,A Military Atlas of the First World War Arthur S. Banks et al,SCN-59F78823ACAB,QCN-59F78823ACAB,L3_machine_extracted,3,"Source text was machine extracted, but concept selection is still weak.",candidate_file_found,extracted_no_text,capped_first_120_pages,security strategy and institutional constraint,,no_quote_candidate_selected,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,candidate passage or short quote selection; human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-6A6B1F5B575A,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,source-to-output bridge,A Military Atlas of the First World War Arthur S. Banks et al,SCN-59F78823ACAB,QCN-59F78823ACAB,L3_machine_extracted,3,"Source text was machine extracted, but concept selection is still weak.",candidate_file_found,extracted_no_text,capped_first_120_pages,security strategy and institutional constraint,,no_quote_candidate_selected,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,candidate passage or short quote selection; human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-C5A2D995E9F4,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,close-read requirement,Deception: Counterdeception and Counterintelligence,SCN-20AD7B00DF57,QCN-CABF10A5FAF2,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,intelligence-analysis method and warning,"science publishers, publishers incorporated, century counterintelligence, deady science, copyright science, rights reserved",duplicate_source_uses_canonical_quote_candidate,"close-read note, citation record, passage ledger, or blocked-claim release condition",No strong citation claim is released until passage-level evidence exists.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-D5F9707A99E3,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,method authority,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-184C60668D6C,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,adversarial model,"Artificial Intelligence, Management and Trust",SCN-C43602873769,QCN-C43602873769,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"artificial intelligence, decision making, management https, mariusz tysik, magda owska, bartlomiej sniezynski",candidate_short_excerpt_selected,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.",human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-0C0B1744B069,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-D4C73784E526,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
