close_read_task_id,project_id,product_name,source_role,source_candidate,quote_candidate_id,current_depth_level,required_action,output_to_update,test_to_update,completion_evidence_required
CRT-AF55B5DF83BC,analytical-methods,Structured Analytic Technique Studio,method authority,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-8A00128B4142,analytical-methods,Structured Analytic Technique Studio,technical mechanism,Deception: Counterdeception and Counterintelligence,QCN-CABF10A5FAF2,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-65342E9C271B,analytical-methods,Structured Analytic Technique Studio,adversarial model,Critical Thinking Skills,QCN-B9FF410A03A5,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-CF18CE746C9C,analytical-methods,Structured Analytic Technique Studio,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-9569B1BA4BD8,analytical-methods,Structured Analytic Technique Studio,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-6E2FD77FC6AB,analytical-methods,Structured Analytic Technique Studio,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-3D47EFC4F68F,applied-history,Applied History - lab for using historical case study to inform contemporary policy,method authority,The Oxford Handbook of Political Methodology,QCN-483CDA336DC0,L3_machine_extracted,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-EB261702257B,applied-history,Applied History - lab for using historical case study to inform contemporary policy,domain grounding,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,QCN-03752F0D04C4,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","domain variables, case framing, project examples, terminology, or scenario fixtures",source test: metadata-routed sources require close reading before citation or quotation,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-A8602188C24A,applied-history,Applied History - lab for using historical case study to inform contemporary policy,technical mechanism,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),QCN-8FCC5F65DFC6,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule",state-transition test: visible input changes recorded state and output,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-757388E06B62,applied-history,Applied History - lab for using historical case study to inform contemporary policy,evaluation standard,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,QCN-03752F0D04C4,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-FDE2A0C4DAB4,applied-history,Applied History - lab for using historical case study to inform contemporary policy,counter-source or limitation,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,QCN-8FCC5F65DFC6,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-BD5C37F0113A,applied-history,Applied History - lab for using historical case study to inform contemporary policy,source-to-output bridge,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,QCN-8FCC5F65DFC6,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-2899314BCA75,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method authority,A Military Atlas of the First World War Arthur S. Banks et al,QCN-59F78823ACAB,L3_machine_extracted,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-99ED0F6E3B64,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,adversarial model,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,QCN-87F1F384520E,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-422975D56D56,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,evaluation standard,A Military Atlas of the First World War Arthur S. Banks et al,QCN-59F78823ACAB,L3_machine_extracted,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-C4E26671D400,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,counter-source or limitation,A Military Atlas of the First World War Arthur S. Banks et al,QCN-59F78823ACAB,L3_machine_extracted,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-6A6B1F5B575A,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,source-to-output bridge,A Military Atlas of the First World War Arthur S. Banks et al,QCN-59F78823ACAB,L3_machine_extracted,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-C5A2D995E9F4,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,close-read requirement,Deception: Counterdeception and Counterintelligence,QCN-CABF10A5FAF2,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","close-read note, citation record, passage ledger, or blocked-claim release condition",No strong citation claim is released until passage-level evidence exists.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-D5F9707A99E3,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,method authority,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-184C60668D6C,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,adversarial model,"Artificial Intelligence, Management and Trust",QCN-C43602873769,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-0C0B1744B069,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-D4C73784E526,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-2BCC01740973,capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-B1BDBE53C6CC,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,method authority,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu",QCN-5786CD3D712F,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-4787FCBC25FD,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,technical mechanism,International Encyclopedia of Social & Behavioral Sciences,QCN-B527DF087E32,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-EC9C2EECDC38,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,adversarial model,Principles of Microeconomics,QCN-7852F76C67EA,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-E19EA11C2948,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,evaluation standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu",QCN-5786CD3D712F,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-3EAC0A88C5E8,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,counter-source or limitation,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu",QCN-5786CD3D712F,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-CEDB9B67E486,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,source-to-output bridge,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu",QCN-5786CD3D712F,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-AF697D3C38D1,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,close-read requirement,Art and Fear,QCN-CEEF3457F411,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","close-read note, citation record, passage ledger, or blocked-claim release condition",No strong citation claim is released until passage-level evidence exists.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-FACC34AB161B,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",method authority,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,QCN-B24D46420432,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-27A79E833479,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",technical mechanism,Critical Thinking Skills,QCN-B9FF410A03A5,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.","close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-606232D094A7,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",evaluation standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,QCN-B24D46420432,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-1706A9EE9B38,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",counter-source or limitation,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,QCN-B24D46420432,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-3F746962FD42,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",source-to-output bridge,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,QCN-B24D46420432,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-A128E0CCCA56,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,method authority,A Critical Cinema PDOC,QCN-80C6BF04C0DE,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-DC819D48CE9A,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,technical mechanism,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,QCN-B24D46420432,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule",claim ceiling test: public claims cannot exceed built evidence,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-0A6E29AC560E,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,evaluation standard,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,QCN-B24D46420432,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-302BBE49B3D9,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,counter-source or limitation,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,QCN-B24D46420432,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-2F6C400BAD1E,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source-to-output bridge,A Critical Companion to Beowulf Andy Orchard,QCN-1960A4A67353,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-CC4BDA426B6E,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,close-read requirement,A Critical Companion to Beowulf Andy Orchard,QCN-1960A4A67353,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","close-read note, citation record, passage ledger, or blocked-claim release condition",source test: metadata-routed sources require close reading before citation or quotation,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-EB73EFE7B35D,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,method authority,The Handbook of Communication Skills,QCN-76BA3E41C3E7,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-C6834ECDB455,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,domain grounding,Historical Dictionary of Signals Intelligence,QCN-72A95A69B2B0,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","domain variables, case framing, project examples, terminology, or scenario fixtures",The project would be visibly wrong or thinner if the domain source were removed.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-E4987878589B,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,technical mechanism,Deception Counterdeception and Counterintelligence Robert M. Clark et al,QCN-CABF10A5FAF2,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule",state-transition test: visible input changes recorded state and output,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-23029C64228F,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,evaluation standard,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),QCN-523D4902EF24,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
CRT-36EA3D224106,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,counter-source or limitation,Deception Counterdeception and Counterintelligence Robert M. Clark et al,QCN-CABF10A5FAF2,L5_source_level_machine_quote_candidate,"Human close read: verify bibliographic identity, exact passage wording, context, location, and how the passage changes the project artifact.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,"close-read note, exact citation location, before/after artifact diff, and updated claim ceiling"
