quote_candidate_id,source_note_id,source_candidate,public_file_label,quote_candidate_status,canonical_quote_candidate_id,candidate_short_excerpt,candidate_excerpt_word_count,candidate_location,quote_scan_status,quote_scan_scope,quote_extractor,selection_basis,human_verification_status,claim_boundary
QCN-59F78823ACAB,SCN-59F78823ACAB,A Military Atlas of the First World War Arthur S. Banks et al,A Military Atlas of the First World War - Arthur S. Banks et al.pdf,no_quote_candidate_selected,,,0,,scanned,first_80_pages,PyMuPDF,"No short, clean, source-relevant sentence met the automatic candidate standard.",not_human_verified,Requires manual close reading before quotation or page-specific citation.
QCN-5ACDAF3817B8,SCN-5ACDAF3817B8,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning - Candace Schlein PDOC.pdf,candidate_short_excerpt_selected,QCN-5ACDAF3817B8,An inclusive vision of education for equity and social justice engag - es teacher educators and future teachers in...,18,p.60,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 9; score: 100.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-7E0AC3CDB83C,SCN-7E0AC3CDB83C,A Tradecraft Primer Structured Analytic Techniques,A Tradecraft Primer Structured Analytic Techniques.pdf,candidate_short_excerpt_selected,QCN-7E0AC3CDB83C,"VALUE ADDED Like Devil's Advocacy and Team A / Team B techniques, Red Team analysis is aimed at freeing...",18,p.35,scanned,first_45_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-DFBEB15F84CA,SCN-DFBEB15F84CA,A Tradecraft Primer Structured Analytic Techniques (2),A Tradecraft Primer Structured Analytic Techniques (2).pdf,candidate_short_excerpt_selected,QCN-DFBEB15F84CA,"VALUE ADDED Like Devil's Advocacy and Team A / Team B techniques, Red Team analysis is aimed at freeing...",18,p.35,scanned,first_45_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-F1A84FB521AC,SCN-F1A84FB521AC,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","AI, Authorship, & Copyright - Artificial Intelligence (Generative) Resources - Guides at Georgetown University.pdf",candidate_short_excerpt_selected,QCN-F1A84FB521AC,Disclosing the Use of Generative AI As the use of generative AI resources throughout all stages of research...,18,p.7,scanned,first_8_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 3; score: 52.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-60315D0DF139,SCN-60315D0DF139,AID Framework - Statement Builder,comparative - grand - strategy - a - framework - and - cases - 0198840845 - 9780198840848 compress.pdf,candidate_short_excerpt_selected,QCN-60315D0DF139,"She is a member of the Council on Foreign Relations, Women in International Security, Inter - national Studies Association...",18,p.12,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-CFCD4FE754B5,SCN-CFCD4FE754B5,"America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936-1991 Willard C. Matthias",OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,candidate_short_excerpt_selected,QCN-CFCD4FE754B5,"America's Strategic Blunders: intelligence analysis and national security policy, 1936-1991 / Willard C.",12,p.4,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-EC59009B9C56,SCN-EC59009B9C56,"America's Strategic Blunders: Intelligence Analysis and National Security Policy, 1936-1991",OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,duplicate_source_uses_canonical_quote_candidate,QCN-CFCD4FE754B5,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
QCN-A918AE76821D,SCN-A918AE76821D,American Political Development and Poli,American Political Development and Poli.pdf,candidate_short_excerpt_selected,QCN-A918AE76821D,' The Burdens of Urban History: The Theory of the State in Recent American Social History. ' Studies in American...,18,p.15,scanned,first_18_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 70.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-1396D405AA6B,SCN-1396D405AA6B,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,candidate_short_excerpt_selected,QCN-1396D405AA6B,The Cold War rivalry between the United States and the Soviet Union affected every facet of America's interaction...,18,p.21,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 92.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-301C752470B3,SCN-301C752470B3,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2),American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,duplicate_source_uses_canonical_quote_candidate,QCN-1396D405AA6B,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
QCN-84B8CA0A7718,SCN-84B8CA0A7718,"Analyzing Intelligence: Origins, Obstacles, and Innovations","Analyzing Intelligence Origins, Obstacles, and Innovations - Roger Z. George (2).pdf",candidate_short_excerpt_selected,QCN-84B8CA0A7718,"See John Helgerson, Getting to Know the President: CIA Brie ﬁ ngs of Presidential Can - didates 1952-1992 ( Washington, D....",18,p.67,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-E037F1687489,SCN-E037F1687489,Another Bloody Century: Future Warfare,Another Bloody Century Future Warfare - Colin S. Gray.pdf,candidate_short_excerpt_selected,QCN-E037F1687489,"Because of its wealth, strategic significance and cultural dynamism, the United States is wont to scoop the pool...",18,p.41,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-CEEF3457F411,SCN-CEEF3457F411,Art and Fear,Art and Fear - David Bayles et al.pdf,candidate_short_excerpt_selected,QCN-CEEF3457F411,"In a general way, fears about yourself prevent you from doing your best work, while fears about your...",18,p.29,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 4; score: 60.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-87F1F384520E,SCN-87F1F384520E,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis.pdf,candidate_short_excerpt_selected,QCN-87F1F384520E,Safeguarding Objectivity in Intelligence Analysis Barry Zulauf From a Former ODNI Ombudsperson's Perspective Studies in Intelligence Vol.,17,p.1,scanned,first_6_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 7; score: 73.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-2426A027689A,SCN-2426A027689A,Artificial Intelligence for Business Creativity,Artificial Intelligence for Business Creativity - Margherita Pagani et al.pdf,candidate_short_excerpt_selected,QCN-2426A027689A,24 MARGHERITA PAGANI AND RENAUD CHAMPION PART TWO From individual creativity toward business creativity 45 3 When Artificial...,18,p.9,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 12; score: 124.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-C43602873769,SCN-C43602873769,"Artificial Intelligence, Management and Trust","Artificial Intelligence, Management and Trust - Mariusz Sołtysik et al.pdf",candidate_short_excerpt_selected,QCN-C43602873769,"Title: Artificial intelligence, management and trust / edited by Mariusz So ł tysik, Magda Gaw ł owska, Bartlomiej Sniezynski and Artur...",18,p.5,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 10; score: 99.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-DBF9F5E801CB,SCN-DBF9F5E801CB,Atlas of World Architecture Markus Sebastian Braun,Atlas of World Architecture - Markus Sebastian Braun.pdf,candidate_short_excerpt_selected,QCN-DBF9F5E801CB,North America 14 15 Residential Completion Date: 2009 Photo: Bittoni design studio Architect: Bittoni design studio USA Los...,18,p.8,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 92.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-17814D0E920F,SCN-17814D0E920F,Atlas of World Architecture Markus Sebastian Braun (2),Atlas of World Architecture - Markus Sebastian Braun (2).pdf,candidate_short_excerpt_selected,QCN-17814D0E920F,"THE HUMAN REVOLUTION: 5 MILLION YEARS AGO TO 10, 000 BC 1 CONTINUOUS GENE FLOW MODEL Some experts...",18,p.16,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-337741B9ED40,SCN-337741B9ED40,Attachment and Bonding A New Synthesis C. Sue Carter,Attachment and Bonding A New Synthesis - C. Sue Carter.pdf,candidate_short_excerpt_selected,QCN-337741B9ED40,"If social bonds were dependent upon voluntary motor behaviors, then the newborn infant would be greatly disadvantaged because...",18,p.51,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-6D7D292D7A7F,SCN-6D7D292D7A7F,Baking and Pastry Mastering the Art and Craft Culinary Institute Of America,Baking and Pastry Mastering the Art and Craft - Culinary Institute Of America.pdf,candidate_short_excerpt_selected,QCN-6D7D292D7A7F,48 the professional baker and pastry chef part one toolS for BrEad BaKing A lame is a thin-arced...,18,p.70,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-CDBE2043E228,SCN-CDBE2043E228,"Battle Ready (2004) Clancy, Tom Nf Commanders","Battle Ready (2004) - Clancy, Tom - Nf - Commanders (2021 01 02 03 51 07 UTC).pdf",candidate_short_excerpt_selected,QCN-CDBE2043E228,Now he had been ordered to Binh Dinh Province in the northern part of the II CTZ ( Corps...,18,p.4,scanned,first_45_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-2AB361F5B8B2,SCN-2AB361F5B8B2,"Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond","Beyond Hegel and Dialectic Speculation, Cult, and Comedy - William Desmond.pdf",candidate_short_excerpt_selected,QCN-2AB361F5B8B2,I agree that there are urgent questions for post ­ Hegelian philosophy in relation to Hegel's dialectical middle and...,18,p.67,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 92.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-B5CB6240FF13,SCN-B5CB6240FF13,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy.pdf,candidate_short_excerpt_selected,QCN-B5CB6240FF13,"As the situation worsened and significant amounts of information and data were either lost or became irretrievable, analysts...",18,p.7,scanned,first_13_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-4DA2A157587F,SCN-4DA2A157587F,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy (2).pdf,candidate_short_excerpt_selected,QCN-4DA2A157587F,"As the situation worsened and significant amounts of information and data were either lost or became irretrievable, analysts...",18,p.7,scanned,first_13_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-D2A46BDA0EBB,SCN-D2A46BDA0EBB,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy.pdf,duplicate_source_uses_canonical_quote_candidate,QCN-B5CB6240FF13,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
