sequence,project_id,slug,project_name,status,instrument_count,acceptance_count,all_instruments_passed,all_acceptance_passed,package_workbench_built,package_operational_slice_built,full_underlying_system_complete,pass,receipt_sha256,url
46,decision-advantage-system,decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,acceptance_checked,4,4,True,True,True,True,False,True,368b111bde62f8b72b8cbbf171156f36cb13c83b18300196f992daa3329cf015,room_project_workbenches/projects/decision-advantage-system/index.html
47,isc-proposals,isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,acceptance_checked,4,3,True,True,True,True,False,True,1c572979ce7a56840e8f36f67492ca326a992adb4fb46c1db692828185bd00e3,room_project_workbenches/projects/isc-proposals/index.html
48,mb-redteamlab-proper-handoff-zip-2026-04-14,mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),acceptance_checked,4,4,True,True,True,True,False,True,6378ea663acf5e5eeaf4acf400cdc73811f50bf1380777065b93a17dc6688118,room_project_workbenches/projects/mb-redteamlab-proper-handoff-zip-2026-04-14/index.html
49,native-iscproposals,native-iscproposals,Counterintelligence Surveillance Framework,acceptance_checked,4,3,True,True,True,True,False,True,72c352820e7702953fafadad40f8b17446cf61ba4b08c4e006ce31e7a0e33790,room_project_workbenches/projects/native-iscproposals/index.html
50,cognitive-firewall-instruments,cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,acceptance_checked,4,3,True,True,True,True,False,True,3d7a6de15bc970bc366bbe7968270957d3caca5cc8462ef3ede75cbfb6fe613a,room_project_workbenches/projects/cognitive-firewall-instruments/index.html
51,critical-functions-observatory,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,acceptance_checked,4,4,True,True,True,True,False,True,3260cc49a64f67964c19baa56bdb4b52ed5178302159938929b518e0d8c71b48,room_project_workbenches/projects/critical-functions-observatory/index.html
52,historical-studies,historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",acceptance_checked,4,4,True,True,True,True,False,True,57d80639fe54cd8b589dff998f98584ab30fe72595ba6eba2340e6c8c00804ca,room_project_workbenches/projects/historical-studies/index.html
53,mb-capstone-handoff-package,mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,acceptance_checked,4,4,True,True,True,True,False,True,fbd91cc50dd96ee97c2d75def14675c509563ad424a9f673f89b1bc2cbab8d33,room_project_workbenches/projects/mb-capstone-handoff-package/index.html
54,mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",acceptance_checked,4,4,True,True,True,True,False,True,940948c564b3c8c0bcf513ce20318c4a3391cd2d29211e9f0edcdb7cde1feaab,room_project_workbenches/projects/mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11/index.html
55,mb-sat-handoff-v1,mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,acceptance_checked,4,4,True,True,True,True,False,True,d222239d821b59b5b1a860a2f08242a2da851d41d4af6a8af9a0920bbf3e48a1,room_project_workbenches/projects/mb-sat-handoff-v1/index.html
56,native-aisatvis,native-aisatvis,AI Structured Analysis Visualization,acceptance_checked,4,3,True,True,True,True,False,True,85751647a3b4380915d6efc2b3f8315bc62cab609c162e7aae0021fda185995f,room_project_workbenches/projects/native-aisatvis/index.html
57,native-amfp,native-amfp,Washington-Jefferson Era Foreign Policy,acceptance_checked,4,3,True,True,True,True,False,True,22d6430cb45fe928111dd1d259e2ad3f521223a66f0e58fab1fb70cf2643e326,room_project_workbenches/projects/native-amfp/index.html
58,native-capstone-defense,native-capstone-defense,Cognitive Firewalls Capstone Defense,acceptance_checked,4,3,True,True,True,True,False,True,6e480c70ea1f14e0e891328c3d2c00877f64fc2e9c9bd9a418c1cdd306909606,room_project_workbenches/projects/native-capstone-defense/index.html
59,native-capstone-defense-noland,native-capstone-defense-noland,Cognitive Firewalls Defense Room,acceptance_checked,4,3,True,True,True,True,False,True,f5b6c4a05ac86e6e7c5fa66fe3eada282ab304d8f2c51aaf8f84767c11847bad,room_project_workbenches/projects/native-capstone-defense-noland/index.html
60,native-trilogy-showcase,native-trilogy-showcase,Book Trilogy Showcase,acceptance_checked,4,4,True,True,True,True,False,True,e7dc7c2122ec949fbb6f64d967a98d38ce3d1a03cf1f4c0bc7be3abcb5fd29d8,room_project_workbenches/projects/native-trilogy-showcase/index.html
61,native-trilogy-showcase-atlas,native-trilogy-showcase-atlas,Book Trilogy Atlas,acceptance_checked,4,4,True,True,True,True,False,True,21f6eddd62edf289ab2461fcf7de852efe4279a7517937201496725bb5272601,room_project_workbenches/projects/native-trilogy-showcase-atlas/index.html
62,reflexive-control-chamber,reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,acceptance_checked,4,3,True,True,True,True,False,True,0a375b87da1aadb548001e85fc1950d40d9a5092d58c55b6246022d694ba9abe,room_project_workbenches/projects/reflexive-control-chamber/index.html
63,row11,row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,acceptance_checked,4,4,True,True,True,True,False,True,f60a8ea7ed0bdb2b17777ab88bcf40c9f4cc5dcb26d5101dcd39b70cc052571f,room_project_workbenches/projects/row11/index.html
64,row14,row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,acceptance_checked,4,4,True,True,True,True,False,True,3f046d761cc5214c78466cce9c720f6354c449d67af08ae3f748b3e96cdc3872,room_project_workbenches/projects/row14/index.html
65,row2,row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,acceptance_checked,4,3,True,True,True,True,False,True,c539d7dab438dbbb2dc2ffdb824d5af1b4fa12035ddaae775c3cc43e4b7caf18,room_project_workbenches/projects/row2/index.html
66,structured-analysis-toolkit,structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,acceptance_checked,4,4,True,True,True,True,False,True,fbc3a91c0a089fa6604d8e80c257e99608dc46bddd2f19c9defe03601d89ee41,room_project_workbenches/projects/structured-analysis-toolkit/index.html
67,mb-ci-handoff-package,mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,acceptance_checked,4,4,True,True,True,True,False,True,aa164e92f0d0a8eb35d64e896ceaac03c8442d968272849402ef687f01f6fa18,room_project_workbenches/projects/mb-ci-handoff-package/index.html
68,mb-cognitive-firewalls-foundry-handoff-v1,mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,acceptance_checked,4,4,True,True,True,True,False,True,31a34d2d999cfa818696ed1473d981f3dd4cf69f59a20f43c570951890f436ab,room_project_workbenches/projects/mb-cognitive-firewalls-foundry-handoff-v1/index.html
69,mb-dialectic-engine-room-pass1-handoff,mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,acceptance_checked,4,4,True,True,True,True,False,True,d9414dd94c1caca3c06a84e2724ecc890fd5ba52ecffcc2f5f1e871d87741a58,room_project_workbenches/projects/mb-dialectic-engine-room-pass1-handoff/index.html
70,mb-georgetown-technique-registry-master-50-bundle,mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",acceptance_checked,4,4,True,True,True,True,False,True,7730fa1163a50737986e695581445cc15315c4ed6e9fb87330bdc8fc69203189,room_project_workbenches/projects/mb-georgetown-technique-registry-master-50-bundle/index.html
71,mb-narrative-furnace-handoff-pack-2026-04-14,mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,acceptance_checked,4,4,True,True,True,True,False,True,b36f151c54605ae6d17a984d951a18b2c1daf9e5d5759cfb989158ed9e3dea98,room_project_workbenches/projects/mb-narrative-furnace-handoff-pack-2026-04-14/index.html
72,native-russia-security-desk,native-russia-security-desk,Russia Security Desk,acceptance_checked,4,4,True,True,True,True,False,True,d13582d631581187879c28a396588177dd70bc3ac13ec175859d540b3a8a67d3,room_project_workbenches/projects/native-russia-security-desk/index.html
73,bias-atlas,bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,acceptance_checked,4,3,True,True,True,True,False,True,762c3a45030e74a5d7c9a3a0fc3afda8f37b8646c93db69d7f1fbb3dc148f8af,room_project_workbenches/projects/bias-atlas/index.html
74,genocide-lab,genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,acceptance_checked,4,4,True,True,True,True,False,True,569f8301be873566b4fb00cbd55fa9b0e3c128413193995f6ccb5dddb7bd5a0d,room_project_workbenches/projects/genocide-lab/index.html
75,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,acceptance_checked,4,4,True,True,True,True,False,True,b07ade45e2fc293efae8d83fe9e85c38e1af8d5dcc48591e627a7c34d33ece82,room_project_workbenches/projects/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/index.html
76,mb-muranoos-red-team-prism-observatory-handoff-package-v1,mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,acceptance_checked,4,4,True,True,True,True,False,True,7fb80772469db8bba6923a83b81c40a1ca584d24f8ef9e56f25f0fd3243be655,room_project_workbenches/projects/mb-muranoos-red-team-prism-observatory-handoff-package-v1/index.html
77,mb-muranoos-red-team-proper-handoff-package-pass-1,mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,acceptance_checked,4,4,True,True,True,True,False,True,82135849c4f95d5d5b3af440cf65cd0d0987b84d7e1fbe5f33cfb5d539c3fbc6,room_project_workbenches/projects/mb-muranoos-red-team-proper-handoff-package-pass-1/index.html
78,mb-redteamlab-packet1-proper-handoff-done,mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,acceptance_checked,4,4,True,True,True,True,False,True,537b0940ce4c238a0373bac7b477cdd00829b1569e8b6e219c1d9c7c4789984f,room_project_workbenches/projects/mb-redteamlab-packet1-proper-handoff-done/index.html
79,mb-six-project-hardening-handoff-done-v1,mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,acceptance_checked,4,4,True,True,True,True,False,True,73c2760fd9ed7918491c2215308fd598207b4094e9d38866ce64013fb5019cc9,room_project_workbenches/projects/mb-six-project-hardening-handoff-done-v1/index.html
80,mb-speechwriting-handoff-packet,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",acceptance_checked,4,4,True,True,True,True,False,True,a65179bbe6fad307f1dc5a41e8a9c5ad261e73ba7bc6f4c3a1e3accf1c5420a3,room_project_workbenches/projects/mb-speechwriting-handoff-packet/index.html
81,native-aifailure-tax,native-aifailure-tax,AI Failure Taxonomy,acceptance_checked,4,3,True,True,True,True,False,True,ebcc675c74a5f693190da02aec3d0262db93bd5b32556fea048df5caf6140610,room_project_workbenches/projects/native-aifailure-tax/index.html
82,native-aimodel-assess,native-aimodel-assess,AI Model Assessment,acceptance_checked,4,3,True,True,True,True,False,True,fbc05efdc767b2eb0524bd16ced4af5102239ffff6fd68d3417445cf20adc5f5,room_project_workbenches/projects/native-aimodel-assess/index.html
83,native-aiosintnarr,native-aiosintnarr,AI OSINT Narrative Analysis,acceptance_checked,4,3,True,True,True,True,False,True,e632c13351b00bf0d76f47f6589aaf609a347051502809223b2940a9a7f9a130,room_project_workbenches/projects/native-aiosintnarr/index.html
84,native-hsanalysis,native-hsanalysis,Homeland Security Analysis,acceptance_checked,4,4,True,True,True,True,False,True,9572b30481ba81c13565b254366da5d000330e0b94826b782c659e114f2fa1c4,room_project_workbenches/projects/native-hsanalysis/index.html
85,native-wargaming,native-wargaming,Alliance Crisis Wargaming,acceptance_checked,4,3,True,True,True,True,False,True,1d183c15870f85cd6ea6a70a967d4e1845d5796f407f6ec386ae229e16cfe77c,room_project_workbenches/projects/native-wargaming/index.html
86,planning,planning,"Development Process - how projects move from idea to built, reviewed work",acceptance_checked,4,3,True,True,True,True,False,True,72a7b66f16abf67e369ca93fdf6391eec4e9c56422a3de675491e6a7f9272a0f,room_project_workbenches/projects/planning/index.html
87,regional-studies,regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",acceptance_checked,4,4,True,True,True,True,False,True,d4a771fba0c2f34001b94889bab16996fd4681d41db4fe530c88f67568843b38,room_project_workbenches/projects/regional-studies/index.html
88,row3,row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",acceptance_checked,4,3,True,True,True,True,False,True,749564cd5f384100077da0f8d35f757e90f8cab0d101253dc7552f8162a53598,room_project_workbenches/projects/row3/index.html
89,wargaming,wargaming,Wargaming - theater-level alliance-crisis wargame workbench,acceptance_checked,4,3,True,True,True,True,False,True,302b7cc54512ad607f830ae9ee7a183662b2fdec514424c0589b6d22ad715db9,room_project_workbenches/projects/wargaming/index.html
90,warrant-chamber,warrant-chamber,Source & Evidence Review - tracking what supports each claim and what still needs review,acceptance_checked,4,4,True,True,True,True,False,True,a59024cbb353a898f3cb558474f25805708d66a8ff6b50dd01352bf486a14aa5,room_project_workbenches/projects/warrant-chamber/index.html
91,mb-ukraine-handoff-packet,mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,acceptance_checked,4,4,True,True,True,True,False,True,dd8230a7b465d12f841b57a037460a07e43608c7cce5332d81a7d4249b483ef4,room_project_workbenches/projects/mb-ukraine-handoff-packet/index.html
92,mb-hearthglass-handoff-v1,mb-hearthglass-handoff-v1,HearthGlass,acceptance_checked,4,4,True,True,True,True,False,True,0e559fe93a3d6ad7087c07025308829b5b1e79fb934a8b6e372dd9ef069a8269,room_project_workbenches/projects/mb-hearthglass-handoff-v1/index.html
93,mb-isc-symposium-command-room-handoff-pass3-done,mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,acceptance_checked,4,4,True,True,True,True,False,True,df0186e63632873124d631d23d51dc0cc6baa5c5dfade1167501731cfeebdcc7,room_project_workbenches/projects/mb-isc-symposium-command-room-handoff-pass3-done/index.html
94,mb-muranoos-red-team-handoff-hardened-2026-04-15,mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",acceptance_checked,4,4,True,True,True,True,False,True,ce515c71e8cb0b982500cb50d4ee20cb645633eaab66736b478c855883f64dcc,room_project_workbenches/projects/mb-muranoos-red-team-handoff-hardened-2026-04-15/index.html
95,mb-muranoos-red-team-handoff-package-v1-2026-04-11,mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,acceptance_checked,4,4,True,True,True,True,False,True,8353c8c2d1e6782e3d87a8e8dc816f6ecc33b85399cd4eec0752e40d8ad11e75,room_project_workbenches/projects/mb-muranoos-red-team-handoff-package-v1-2026-04-11/index.html
96,mb-the-interval-chamber-of-refraction-handoff-v1,mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,acceptance_checked,4,4,True,True,True,True,False,True,9373da5b730cf13ee6bdd3946b1dd6a33f33c6a4221549f2b23a3e2fa87b101a,room_project_workbenches/projects/mb-the-interval-chamber-of-refraction-handoff-v1/index.html
