project_id,case_id,case_type,expected_behavior,acceptance_decision,expected_behavior_met,full_operational_claim_allowed,trace_hash
mb-infragard-handoff,mb-infragard-handoff-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,824becbce5031b11
mb-insinuationengineroom-handoff-done,mb-insinuationengineroom-handoff-done-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,93715d56e2aa16af
mb-insinuationengineroom-handoff-done,mb-insinuationengineroom-handoff-done-challenge,challenge,accepted_with_caveat,PASS,yes,no,ab1d9cad7ffb0f7c
mb-insinuationengineroom-handoff-done,mb-insinuationengineroom-handoff-done-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,bc5da7063b7914ed
mb-nik-handoff-v1,mb-nik-handoff-v1-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,e6aeb5b6f3d79f2c
mb-nik-handoff-v1,mb-nik-handoff-v1-challenge,challenge,accept_only_with_boundary,PASS,yes,no,010657bcd6c8cdf8
mb-nik-handoff-v1,mb-nik-handoff-v1-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,c07f0b186045cc6c
mb-russia-intelligence-analysis-final-handoff,mb-russia-intelligence-analysis-final-handoff-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,9eea3ad1f6a66f5b
mb-russia-intelligence-analysis-final-handoff,mb-russia-intelligence-analysis-final-handoff-challenge,challenge,accept_only_with_boundary,PASS,yes,no,93f61e4c5d9b6a82
mb-russia-intelligence-analysis-final-handoff,mb-russia-intelligence-analysis-final-handoff-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,d1e28c6b019175b2
mb-russian-reference-handoff-final,mb-russian-reference-handoff-final-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,44aea9535fce5df3
mb-russian-reference-handoff-final,mb-russian-reference-handoff-final-challenge,challenge,accept_only_with_boundary,PASS,yes,no,1889b3c7e6ebb89d
mb-russian-reference-handoff-final,mb-russian-reference-handoff-final-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,fb11f54d8807a90e
mb-visible-chat-handoff-package,mb-visible-chat-handoff-package-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,0ad99575fef54acf
mb-visible-chat-handoff-package,mb-visible-chat-handoff-package-challenge,challenge,accept_only_with_boundary,PASS,yes,no,9e24ca3470b69548
mb-visible-chat-handoff-package,mb-visible-chat-handoff-package-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,ca1152168cacdcc2
native-aigov-nav,native-aigov-nav-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,3be75edc08e385cd
native-aigov-nav,native-aigov-nav-challenge,challenge,accept_only_with_boundary,PASS,yes,no,a10ba194a2ebbec9
native-aigov-nav,native-aigov-nav-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,e6f2868a3384b72f
native-aiintel-cycle,native-aiintel-cycle-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,34f01d4e191e7105
native-aiintel-cycle,native-aiintel-cycle-challenge,challenge,accept_only_with_boundary,PASS,yes,no,a5372a0f57f18559
native-aiintel-cycle,native-aiintel-cycle-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,50e3609f9432e8c4
native-aiknowledge-prod,native-aiknowledge-prod-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,12fc5366fe33dd05
native-aiknowledge-prod,native-aiknowledge-prod-challenge,challenge,accept_only_with_boundary,PASS,yes,no,396b57958b14d810
native-aiknowledge-prod,native-aiknowledge-prod-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,6ec7ec258856136b
native-aishared-instruments,native-aishared-instruments-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,3c44eb23b2766bf5
native-aishared-instruments,native-aishared-instruments-challenge,challenge,accept_only_with_boundary,PASS,yes,no,57747adb469ada97
native-aishared-instruments,native-aishared-instruments-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,20e507a228a24676
native-cicc,native-cicc-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,cd0f01b60f4c4833
native-cicc,native-cicc-challenge,challenge,accept_only_with_boundary,PASS,yes,no,b6ba3457622ea5f9
native-cicc,native-cicc-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,997bcc1ca1bcb274
native-crusades,native-crusades-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,2f767f63aab65926
native-crusades,native-crusades-challenge,challenge,accept_only_with_boundary,PASS,yes,no,5504dba68998429d
native-crusades,native-crusades-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,c1a55cc89cc22b9f
native-peace,native-peace-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,4e6e7b9d15907be7
native-peace,native-peace-challenge,challenge,accept_only_with_boundary,PASS,yes,no,1a406782b312b1dc
native-peace,native-peace-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,54238b4a3355b27d
native-war-theory,native-war-theory-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,99b2f65e15403dcb
native-war-theory,native-war-theory-challenge,challenge,accept_only_with_boundary,PASS,yes,no,41c4ce7da9f7c313
native-war-theory,native-war-theory-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,ddb95dfa14dbeba5
cognitive-firewall-instruments,cognitive-firewall-instruments-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,1df6220b939af56f
cognitive-firewall-instruments,cognitive-firewall-instruments-challenge,challenge,accept_only_with_boundary,PASS,yes,no,abdb68f233e8d05b
cognitive-firewall-instruments,cognitive-firewall-instruments-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,1378a97096c1146e
master-bundle-atlas,master-bundle-atlas-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,af6e895e436188be
master-bundle-atlas,master-bundle-atlas-challenge,challenge,accept_only_with_boundary,PASS,yes,no,dd987ac8213ff0cc
master-bundle-atlas,master-bundle-atlas-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,fd9f409993e3f3c8
native-amfp,native-amfp-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,9f60c9ec6bd95bd6
native-amfp,native-amfp-challenge,challenge,accept_only_with_boundary,PASS,yes,no,4656742707677d1e
native-amfp,native-amfp-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,19a7c6c14a1e4349
native-trilogy-showcase,native-trilogy-showcase-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,affb6de2b090a579
native-trilogy-showcase,native-trilogy-showcase-challenge,challenge,accept_only_with_boundary,PASS,yes,no,4b54b79097150140
native-trilogy-showcase,native-trilogy-showcase-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,eacfb8079ec3bfad
native-trilogy-showcase-atlas,native-trilogy-showcase-atlas-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,801076c961b47d05
native-trilogy-showcase-atlas,native-trilogy-showcase-atlas-challenge,challenge,accept_only_with_boundary,PASS,yes,no,fe58e3df774bf90a
native-trilogy-showcase-atlas,native-trilogy-showcase-atlas-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,0400956658341e3d
reflexive-control-chamber,reflexive-control-chamber-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,6b2169440e50ddc6
reflexive-control-chamber,reflexive-control-chamber-challenge,challenge,accept_only_with_boundary,PASS,yes,no,b0a6d85be72a3349
reflexive-control-chamber,reflexive-control-chamber-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,84c71a55ec93f150
row2,row2-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,f70192b1cdd64b67
row2,row2-challenge,challenge,accept_only_with_boundary,PASS,yes,no,c760d15096e0a63e
row2,row2-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,4563c8739c7cc06a
trilogy,trilogy-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,f52bd3c7d5dbbfff
trilogy,trilogy-challenge,challenge,accept_only_with_boundary,PASS,yes,no,f895f308e367bd1d
trilogy,trilogy-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,0a660712f77ad6b7
bias-atlas,bias-atlas-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,afe30b402f371219
bias-atlas,bias-atlas-challenge,challenge,accept_only_with_boundary,PASS,yes,no,c9356760d1854682
bias-atlas,bias-atlas-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,895f8a90b1357961
genocide-lab,genocide-lab-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,a6815d218e782f32
genocide-lab,genocide-lab-challenge,challenge,accept_only_with_boundary,PASS,yes,no,4ffc8829e549c1a1
genocide-lab,genocide-lab-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,8bacc2b5646130ca
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,033a3ad03fb65a04
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3-challenge,challenge,accept_only_with_boundary,PASS,yes,no,a21af3d0bd62fcb7
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,e803a2832472ad08
native-aifailure-tax,native-aifailure-tax-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,28cffe58f796e9a2
native-aifailure-tax,native-aifailure-tax-challenge,challenge,accept_only_with_boundary,PASS,yes,no,4b6caf033a7d4584
native-aifailure-tax,native-aifailure-tax-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,42cf48557ac5ae25
native-aimodel-assess,native-aimodel-assess-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,b2fd4d9ece35d77b
native-aimodel-assess,native-aimodel-assess-challenge,challenge,accept_only_with_boundary,PASS,yes,no,3eec9ad9d954ad56
native-aimodel-assess,native-aimodel-assess-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,ef9ebf97e9604211
native-aiosintnarr,native-aiosintnarr-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,e4e42e710a68ad8e
native-aiosintnarr,native-aiosintnarr-challenge,challenge,accept_only_with_boundary,PASS,yes,no,56c2b4d8f11b6a48
native-aiosintnarr,native-aiosintnarr-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,92d5cb972d98d2c9
native-atanalysis,native-atanalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,ba95a05c99f9a5ef
native-atanalysis,native-atanalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,38ceb37d353076a3
native-atanalysis,native-atanalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,431c7c318354cac1
native-cmanalysis,native-cmanalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,1c11472202572607
native-cmanalysis,native-cmanalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,59f26f6c108ad61e
native-cmanalysis,native-cmanalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,904e0e87bbb05b03
native-cyanalysis,native-cyanalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,1b0fcd5c3eaca035
native-cyanalysis,native-cyanalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,41ea721f0fe07923
native-cyanalysis,native-cyanalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,77d4fbe9c99d7a35
native-ddianalysis,native-ddianalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,0daa55cb61137e68
native-ddianalysis,native-ddianalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,f4b1e8bef934a948
native-ddianalysis,native-ddianalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,3e64e84ffe5d9890
native-etanalysis,native-etanalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,aedf0c227f87bd28
native-etanalysis,native-etanalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,e217bda32ee366f5
native-etanalysis,native-etanalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,232ecc3be7468c9d
native-fwanalysis,native-fwanalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,de99a65a1fca629a
native-fwanalysis,native-fwanalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,3e6f4cb9e88e7bc3
native-fwanalysis,native-fwanalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,fce31a3f2faa717c
native-hsanalysis,native-hsanalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,727349b53d5b973f
native-hsanalysis,native-hsanalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,0cc15d64664c497f
native-hsanalysis,native-hsanalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,f670726f78bed31b
native-icanalysis,native-icanalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,d201a03f27b6f696
native-icanalysis,native-icanalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,4111da24c494a1ea
native-icanalysis,native-icanalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,d7acd98b3a72fa05
native-psanalysis,native-psanalysis-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,43d56ee83338af6e
native-psanalysis,native-psanalysis-challenge,challenge,accept_only_with_boundary,PASS,yes,no,714628ab3d9ae1b0
native-psanalysis,native-psanalysis-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,f361feb3a24b226f
native-wargaming,native-wargaming-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,92d940d5558a39d0
native-wargaming,native-wargaming-challenge,challenge,accept_only_with_boundary,PASS,yes,no,f3d49cbf2f4cafaf
native-wargaming,native-wargaming-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,30fe9535ef99304b
wargaming,wargaming-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,18354a5d8741ba7a
wargaming,wargaming-challenge,challenge,accept_only_with_boundary,PASS,yes,no,03581ec6c4698922
wargaming,wargaming-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,6811fc952f89a699
critical-functions-observatory,critical-functions-observatory-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,845daf07eaa8727d
critical-functions-observatory,critical-functions-observatory-challenge,challenge,accept_only_with_boundary,PASS,yes,no,5a82246db3bdc801
critical-functions-observatory,critical-functions-observatory-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,e05b7fc620258646
mb-russia-security-handoff-packet-done,mb-russia-security-handoff-packet-done-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,581c313f7bd96851
mb-russia-security-handoff-packet-done,mb-russia-security-handoff-packet-done-challenge,challenge,accept_only_with_boundary,PASS,yes,no,32358472dee3ed13
mb-russia-security-handoff-packet-done,mb-russia-security-handoff-packet-done-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,7ac8cafdf4e7895a
mb-narrative-furnace-handoff-pack-2026-04-14,mb-narrative-furnace-handoff-pack-2026-04-14-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,05d85dfa5dd2b717
mb-narrative-furnace-handoff-pack-2026-04-14,mb-narrative-furnace-handoff-pack-2026-04-14-challenge,challenge,accept_only_with_boundary,PASS,yes,no,099e2350fb7ab85c
mb-narrative-furnace-handoff-pack-2026-04-14,mb-narrative-furnace-handoff-pack-2026-04-14-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,1cd319651b97fe28
mb-redteamlab-proper-handoff-zip-2026-04-14,mb-redteamlab-proper-handoff-zip-2026-04-14-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,6b85e260c07ad5f8
mb-redteamlab-proper-handoff-zip-2026-04-14,mb-redteamlab-proper-handoff-zip-2026-04-14-challenge,challenge,accept_only_with_boundary,PASS,yes,no,9e863cd090502abb
mb-redteamlab-proper-handoff-zip-2026-04-14,mb-redteamlab-proper-handoff-zip-2026-04-14-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,18d91dc5ee877a73
mb-six-project-hardening-handoff-done-v1,mb-six-project-hardening-handoff-done-v1-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,25125560613c1a0e
mb-six-project-hardening-handoff-done-v1,mb-six-project-hardening-handoff-done-v1-challenge,challenge,accept_only_with_boundary,PASS,yes,no,d303a8f18fa89851
mb-six-project-hardening-handoff-done-v1,mb-six-project-hardening-handoff-done-v1-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,e454753e496ddbc8
mb-speechwriting-handoff-packet,mb-speechwriting-handoff-packet-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,9208b6ec97d4d7e3
mb-speechwriting-handoff-packet,mb-speechwriting-handoff-packet-challenge,challenge,accept_only_with_boundary,PASS,yes,no,9c1a42359ec4b9a4
mb-speechwriting-handoff-packet,mb-speechwriting-handoff-packet-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,b9271d727787cd9d
mb-cognitive-firewalls-foundry-handoff-v1,mb-cognitive-firewalls-foundry-handoff-v1-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,df6d61a0a9da5068
mb-cognitive-firewalls-foundry-handoff-v1,mb-cognitive-firewalls-foundry-handoff-v1-challenge,challenge,accept_only_with_boundary,PASS,yes,no,5a1a5992448f94a0
mb-cognitive-firewalls-foundry-handoff-v1,mb-cognitive-firewalls-foundry-handoff-v1-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,9106bd67f1395a6a
mb-redteamlab-packet1-proper-handoff-done,mb-redteamlab-packet1-proper-handoff-done-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,90d8de8547665ebc
mb-redteamlab-packet1-proper-handoff-done,mb-redteamlab-packet1-proper-handoff-done-challenge,challenge,accept_only_with_boundary,PASS,yes,no,a3fa01b6f523c09e
mb-redteamlab-packet1-proper-handoff-done,mb-redteamlab-packet1-proper-handoff-done-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,ab53fb9d4d7b26f4
native-london,native-london-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,fb871e7f1c818c9f
native-london,native-london-challenge,challenge,accept_only_with_boundary,PASS,yes,no,5f18523d0847b526
native-london,native-london-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,ab1572b3c07476d9
mb-hearthglass-handoff-v1,mb-hearthglass-handoff-v1-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,4376aff9c960b2ec
mb-hearthglass-handoff-v1,mb-hearthglass-handoff-v1-challenge,challenge,accept_only_with_boundary,PASS,yes,no,35b4e0ec53673df0
mb-hearthglass-handoff-v1,mb-hearthglass-handoff-v1-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,7ac573706386d1ce
mb-isc-symposium-command-room-handoff-pass3-done,mb-isc-symposium-command-room-handoff-pass3-done-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,1648045c4ce5082d
mb-isc-symposium-command-room-handoff-pass3-done,mb-isc-symposium-command-room-handoff-pass3-done-challenge,challenge,accept_only_with_boundary,PASS,yes,no,3480b7612cfe8963
mb-isc-symposium-command-room-handoff-pass3-done,mb-isc-symposium-command-room-handoff-pass3-done-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,255c51976ab8d4ea
mb-the-interval-chamber-of-refraction-handoff-v1,mb-the-interval-chamber-of-refraction-handoff-v1-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,31e0dc7ced41c339
mb-the-interval-chamber-of-refraction-handoff-v1,mb-the-interval-chamber-of-refraction-handoff-v1-challenge,challenge,accept_only_with_boundary,PASS,yes,no,2e162e150cfc9ed7
mb-the-interval-chamber-of-refraction-handoff-v1,mb-the-interval-chamber-of-refraction-handoff-v1-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,d8aebc5b01edbcd8
mb-counter-idiom-lab-proper-handoff-done,mb-counter-idiom-lab-proper-handoff-done-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,12e0538de03d0d3b
mb-counter-idiom-lab-proper-handoff-done,mb-counter-idiom-lab-proper-handoff-done-challenge,challenge,accept_only_with_boundary,PASS,yes,no,191665e224a165fc
mb-counter-idiom-lab-proper-handoff-done,mb-counter-idiom-lab-proper-handoff-done-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,e3e8f1b2b88f194e
mb-foreign-affairs-lexicon-handoff-v1,mb-foreign-affairs-lexicon-handoff-v1-baseline,baseline,accepted_as_review_evidence,PASS,yes,no,2fb185b9bbff72f0
mb-foreign-affairs-lexicon-handoff-v1,mb-foreign-affairs-lexicon-handoff-v1-challenge,challenge,accept_only_with_boundary,PASS,yes,no,d4f0f821da954e23
