project_id,project_title,new_component,why_needed,input,operation,output,source_candidates,source_boundary,acceptance_test
genocide-lab,Comparative Genocide Lab — comparative analysis of mass political violence across ten canonical dimensions,Human-analytic delta demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy",Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse,Runtime state-transition demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
isc-proposals,Counterintelligence Surveillance Framework — Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary","National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC | National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva | No Place for Russia European Security Institutions Since 1989 Hill, William H",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
master-bundle-atlas,Master Bundle Atlas - 152 source and handoff packets,Source-to-output distinctiveness demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action","Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Pherso Counterintelligence Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | 2015.219.Russian Thinkers text | 2015.219.Russian Thinkers text PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Atlas of World Architecture Markus Sebastian Braun | Atlas of World Architecture Markus Sebastian Braun (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Cognitive Linguistics Basic Readings Dirk Geeraerts | Cognitive Linguistics Basic Readings Dirk Geeraerts (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) | A Companion to Comparative Literature (Blackwell Companions to Literature and Culture) ( PDFDrive ) PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action","043 Historical Documents Harvard Classics PDOC | Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond | Dialectic of Enlightenment Theodor W. Adorno et al",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms — 30 shortlist — 20 canon — 10 mini-theories,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-fractal-keep-handoff-v1,Fractal Keep,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | 2aMassage Techniques and Effects Presentation | 2aMassage Techniques and Effects Presentation PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-hearthglass-handoff-v1,HearthGlass,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold — AI-assisted methods,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Conflict Management and Peacebuilding Pillars of a New American Grand Strategy Dr. Volker C. Franke et al | Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-infragard-handoff,InfraGard preparatory note (minimal),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-insinuationengineroom-handoff-done,Insinuation Engine,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-001,Internal Operating Support Packet 001,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-002,Internal Operating Support Packet 002,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-003,Internal Operating Support Packet 003,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-004,Internal Operating Support Packet 004,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-005,Internal Operating Support Packet 005,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-006,Internal Operating Support Packet 006,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-007,Internal Operating Support Packet 007,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
