project_id,project_title,title,extension,route_score,routing_basis
native-aifailure-tax,AI Failure Taxonomy,"Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods, Practices, Tactics, and Techniques Robert J. Girod Sr.",.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
native-aifailure-tax,AI Failure Taxonomy,"Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods, Practices, Tactics, and Techniques Robert J. Girod Sr. (2)",.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
native-aifailure-tax,AI Failure Taxonomy,An Atlas of Interpersonal Situations Harold H. Kelley et al,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
native-murano,Murano,A Companion to Environmental Thought Peter Hay,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-murano,Murano,Designing Your Work Life Nik Murano,.epub,4,metadata/title keyword routing; close reading required before citation or quotation
native-murano,Murano,"God, Time, and Knowledge William Hasker",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-murano,Murano,"Hidden Genocides Power, Knowledge, Memory Alexander Laban Hinton et al",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-murano,Murano,"Limited Wants, Unlimited Means A Reader on Hunter Gatherer Economics and the Environment John Gowdy",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-murano,Murano,"Limited Wants, Unlimited Means A Reader on Hunter Gatherer Economics and the Environment John Gowdy (2)",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
row10,Analyst Workstation — eight-page interactive AI-augmented intelligence-analysis handbook,Pherso Counterintelligence Structured Analytic Techniques,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
row10,Analyst Workstation — eight-page interactive AI-augmented intelligence-analysis handbook,Routledge Handbook of Psychoanalytic Political Theory Yannis Stavrakakis,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
row10,Analyst Workstation — eight-page interactive AI-augmented intelligence-analysis handbook,Routledge Handbook of Psychoanalytic Political Theory Yannis Stavrakakis (2),.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
row10,Analyst Workstation — eight-page interactive AI-augmented intelligence-analysis handbook,routledge handbook of pyschoanalytic political theory 1138696315 9781138696310 1315524759 9781315524757 compress,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
row10,Analyst Workstation — eight-page interactive AI-augmented intelligence-analysis handbook,routledge handbook of pyschoanalytic political theory 1138696315 9781138696310 1315524759 9781315524757 compress PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
row10,Analyst Workstation — eight-page interactive AI-augmented intelligence-analysis handbook,routledge handbook of pyschoanalytic political theory 1138696315 9781138696310 1315524759 9781315524757 compress PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
trilogy,"Book Trilogy — Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",Deception Counterdeception and Counterintelligence Robert M. Clark et al,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
trilogy,"Book Trilogy — Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
trilogy,"Book Trilogy — Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",Intelligence and Information Policy for National Security Jan Goldman PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
trilogy,"Book Trilogy — Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",Intelligence and Information Policy for National Security Key Terms and Concepts Jan Goldman et al,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
trilogy,"Book Trilogy — Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
trilogy,"Book Trilogy — Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-capstone-quantitative,Quantitative Capstone Workbench,Cooking as a Chemical Reaction Culinary Science With Experiments Z. Sibel Ozilgen,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-capstone-quantitative,Quantitative Capstone Workbench,Experiments on Mass Communication C. I. Hovland et al,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-capstone-quantitative,Quantitative Capstone Workbench,OceanofPDF.com Experiments on Mass Communication C I Hovland PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-capstone-quantitative,Quantitative Capstone Workbench,cambridge handbook experimental polisci,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-capstone-quantitative,Quantitative Capstone Workbench,cambridge handbook experimental polisci PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-capstone-quantitative,Quantitative Capstone Workbench,03 FutureTrends,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
native-aigov-nav,AI Governance Navigator,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aigov-nav,AI Governance Navigator,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aigov-nav,AI Governance Navigator,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aigov-nav,AI Governance Navigator,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aigov-nav,AI Governance Navigator,Florian Bieber Post War Bosnia Ethnicity Inequality and Public Sector Governance (2006),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aigov-nav,AI Governance Navigator,Florian Bieber Post War Bosnia Ethnicity Inequality and Public Sector Governance (2006) PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,"No Place for Russia European Security Institutions Since 1989 Hill, William H",.epub,8,metadata/title keyword routing; close reading required before citation or quotation
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,The Routledge Handbook of European Security Law and Policy Elena Conde et al,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,The Routledge Handbook of European Security Law and Policy Elena Conde et al (2),.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,the routledge handbook of european security law and policy 9781138609990 9780429465918 compress,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,the routledge handbook of european security law and policy 9781138609990 9780429465918 compress PDOC,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,the routledge handbook of european security law and policy 9781138609990 9780429465918 compress PDOC,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
bias-atlas,Bias Atlas — cognitive-bias catalogue grounded in Heuer and Kahneman,A Military Atlas of the First World War Arthur S. Banks et al,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
bias-atlas,Bias Atlas — cognitive-bias catalogue grounded in Heuer and Kahneman,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
bias-atlas,Bias Atlas — cognitive-bias catalogue grounded in Heuer and Kahneman,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
bias-atlas,Bias Atlas — cognitive-bias catalogue grounded in Heuer and Kahneman,"Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods, Practices, Tactics, and Techniques Robert J. Girod Sr.",.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
bias-atlas,Bias Atlas — cognitive-bias catalogue grounded in Heuer and Kahneman,"Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods, Practices, Tactics, and Techniques Robert J. Girod Sr. (2)",.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
bias-atlas,Bias Atlas — cognitive-bias catalogue grounded in Heuer and Kahneman,An Atlas of Interpersonal Situations Harold H. Kelley et al,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
native-iscproposals,Counterintelligence Surveillance Framework,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-iscproposals,Counterintelligence Surveillance Framework,National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-iscproposals,Counterintelligence Surveillance Framework,"No Place for Russia European Security Institutions Since 1989 Hill, William H",.epub,8,metadata/title keyword routing; close reading required before citation or quotation
native-iscproposals,Counterintelligence Surveillance Framework,The Routledge Handbook of European Security Law and Policy Elena Conde et al,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-iscproposals,Counterintelligence Surveillance Framework,The Routledge Handbook of European Security Law and Policy Elena Conde et al (2),.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-iscproposals,Counterintelligence Surveillance Framework,the routledge handbook of european security law and policy 9781138609990 9780429465918 compress,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-aiintel-cycle,AI Intelligence Cycle,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiintel-cycle,AI Intelligence Cycle,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (2),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiintel-cycle,AI Intelligence Cycle,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiintel-cycle,AI Intelligence Cycle,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (4),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiintel-cycle,AI Intelligence Cycle,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiintel-cycle,AI Intelligence Cycle,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiknowledge-prod,AI Knowledge Production,DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiknowledge-prod,AI Knowledge Production,DAVID KAISER Cold War requisitions scientific manpower and the production of American physicists after World War II PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiknowledge-prod,AI Knowledge Production,"DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiknowledge-prod,AI Knowledge Production,"DAVID KAISER Cold War requisitions, scientific manpower, and the production of American physicists after World War II Unknown (2)",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiknowledge-prod,AI Knowledge Production,"God, Time, and Knowledge William Hasker",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiknowledge-prod,AI Knowledge Production,"Hidden Genocides Power, Knowledge, Memory Alexander Laban Hinton et al",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aimodel-assess,AI Model Assessment,2020 10 06 homeland threat assessment,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aimodel-assess,AI Model Assessment,2020 10 06 homeland threat assessment PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aimodel-assess,AI Model Assessment,A Guide to Clinical Assessment and Professional Report Writing Cyndi Stein Rubin PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aimodel-assess,AI Model Assessment,A Guide to Clinical Assessment and Professional Report Writing in Speech Language Pathology Cyndi Stein Rubin et al,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aimodel-assess,AI Model Assessment,Clinical Massage Therapy Assessment and Treatment of Orthopedic Conditions Steven E. Jurch,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aimodel-assess,AI Model Assessment,Clinical Massage Therapy Assessment and Treatment of Orthopedic Conditions Steven E. Jurch (2),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiosintnarr,AI OSINT Narrative Analysis,A Companion to Narrative Theory James Phelan et al,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiosintnarr,AI OSINT Narrative Analysis,A Companion to Narrative Theory James Phelan et al (2),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiosintnarr,AI OSINT Narrative Analysis,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiosintnarr,AI OSINT Narrative Analysis,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein et al,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiosintnarr,AI OSINT Narrative Analysis,A Reader's Guide to the Narrative and Lyric Poetry of Thomas Lovell Beddoes Rodney Stenning Edgecombe,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiosintnarr,AI OSINT Narrative Analysis,A Readers Guide to the Narrative and Lyric Poetry of Thomas Lovell Beddoes Rodney Stenning Edgecombe PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiprompt-eng,AI Prompt Engineering,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiprompt-eng,AI Prompt Engineering,Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aiprompt-eng,AI Prompt Engineering,"Workforce Development and Intelligence Analysis for National Security Purposes Proceedings of a Workshop National Academies of Sciences, Engineering et al",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aishared-instruments,AI Shared Instruments,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aishared-instruments,AI Shared Instruments,Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aisatvis,AI Structured Analysis Visualization,Pherso Counterintelligence Structured Analytic Techniques,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-aisatvis,AI Structured Analysis Visualization,A Tradecraft Primer Structured Analytic Techniques,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-aisatvis,AI Structured Analysis Visualization,A Tradecraft Primer Structured Analytic Techniques (2),.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-aisatvis,AI Structured Analysis Visualization,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-aisatvis,AI Structured Analysis Visualization,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-aisatvis,AI Structured Analysis Visualization,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,.pdf,6,metadata/title keyword routing; close reading required before citation or quotation
applied-history,Applied History — lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),.pdf,10,metadata/title keyword routing; close reading required before citation or quotation
applied-history,Applied History — lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,.pdf,10,metadata/title keyword routing; close reading required before citation or quotation
applied-history,Applied History — lab for using historical case study to inform contemporary policy,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,.pdf,10,metadata/title keyword routing; close reading required before citation or quotation
applied-history,Applied History — lab for using historical case study to inform contemporary policy,Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd,.pdf,10,metadata/title keyword routing; close reading required before citation or quotation
applied-history,Applied History — lab for using historical case study to inform contemporary policy,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen",.epub,8,metadata/title keyword routing; close reading required before citation or quotation
applied-history,Applied History — lab for using historical case study to inform contemporary policy,David Kaiser Pedagogy and the Practice of Science Historical and Contemporary Perspectives (Inside Technology) (2005),.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-mideast,Ottoman Palestine and Early Zionism,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-mideast,Ottoman Palestine and Early Zionism,American Cancer Research Food Nutrition Physical Activity,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-mideast,Ottoman Palestine and Early Zionism,American Cancer Research Food Nutrition Physical Activity PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-mideast,Ottoman Palestine and Early Zionism,Creativity Research Nik Murano,.epub,4,metadata/title keyword routing; close reading required before citation or quotation
native-mideast,Ottoman Palestine and Early Zionism,Creativity Research Nik Murano (1),.epub,4,metadata/title keyword routing; close reading required before citation or quotation
native-mideast,Ottoman Palestine and Early Zionism,Creativity Research Nik Murano (2),.epub,4,metadata/title keyword routing; close reading required before citation or quotation
native-atanalysis,Analysis Tradecraft,A Tradecraft Primer Structured Analytic Techniques,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-atanalysis,Analysis Tradecraft,A Tradecraft Primer Structured Analytic Techniques (2),.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-atanalysis,Analysis Tradecraft,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-atanalysis,Analysis Tradecraft,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-atanalysis,Analysis Tradecraft,Pherso Counterintelligence Structured Analytic Techniques,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-atanalysis,Analysis Tradecraft,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,.pdf,10,metadata/title keyword routing; close reading required before citation or quotation
native-cmanalysis,Collection Management Analysis,Pherso Counterintelligence Structured Analytic Techniques,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-cmanalysis,Collection Management Analysis,A Tradecraft Primer Structured Analytic Techniques,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-cmanalysis,Collection Management Analysis,A Tradecraft Primer Structured Analytic Techniques (2),.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-cmanalysis,Collection Management Analysis,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-cmanalysis,Collection Management Analysis,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
native-cmanalysis,Collection Management Analysis,"Artificial Intelligence, Management and Trust Mariusz Sołtysik et al",.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
row8,Counter-Terror Analysis — 13-page counter-terror analytical narrative arc,Pherso Counterintelligence Structured Analytic Techniques,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
row8,Counter-Terror Analysis — 13-page counter-terror analytical narrative arc,A Tradecraft Primer Structured Analytic Techniques,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
row8,Counter-Terror Analysis — 13-page counter-terror analytical narrative arc,A Tradecraft Primer Structured Analytic Techniques (2),.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
row8,Counter-Terror Analysis — 13-page counter-terror analytical narrative arc,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,8,metadata/title keyword routing; close reading required before citation or quotation
